Season,Lg,Tm,Voting,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,award
2000-01,NBA,1st,(V),Shaquille O'Neal C,Tim Duncan F,Chris Webber F,Allen Iverson G,Jason Kidd G,all_league_teams
2000-01,NBA,2nd,(V),Dikembe Mutombo C,Vince Carter F,Kevin Garnett F,Kobe Bryant G,Tracy McGrady G,all_league_teams
2000-01,NBA,3rd,(V),David Robinson C,Karl Malone F,Dirk Nowitzki F,Ray Allen G,Gary Payton G,all_league_teams
1999-00,NBA,1st,(V),Shaquille O'Neal C,Tim Duncan F,Kevin Garnett F,Jason Kidd G,Gary Payton G,all_league_teams
1999-00,NBA,2nd,(V),Alonzo Mourning C,Grant Hill F,Karl Malone F,Kobe Bryant G,Allen Iverson G,all_league_teams
1999-00,NBA,3rd,(V),David Robinson C,Vince Carter F,Chris Webber F,Eddie Jones G,Stephon Marbury G,all_league_teams
1998-99,NBA,1st,(V),Alonzo Mourning C,Tim Duncan F,Karl Malone F,Allen Iverson G,Jason Kidd G,all_league_teams
1998-99,NBA,2nd,(V),Shaquille O'Neal C,Grant Hill F,Chris Webber F,Tim Hardaway G,Gary Payton G,all_league_teams
1998-99,NBA,3rd,(V),Hakeem Olajuwon C,Kevin Garnett F,Antonio McDyess F,Kobe Bryant G,John Stockton G,all_league_teams
1997-98,NBA,1st,(V),Shaquille O'Neal C,Tim Duncan F,Karl Malone F,Michael Jordan G,Gary Payton G,all_league_teams
1997-98,NBA,2nd,(V),David Robinson C,Vin Baker F,Grant Hill F,Tim Hardaway G,Rod Strickland G,all_league_teams
1997-98,NBA,3rd,(V),Dikembe Mutombo C,Scottie Pippen F,Glen Rice F,Reggie Miller G,Mitch Richmond G,all_league_teams
1996-97,NBA,1st,(V),Hakeem Olajuwon C,Grant Hill F,Karl Malone F,Tim Hardaway G,Michael Jordan G,all_league_teams
1996-97,NBA,2nd,(V),Patrick Ewing C,Scottie Pippen F,Glen Rice F,Gary Payton G,Mitch Richmond G,all_league_teams
1996-97,NBA,3rd,(V),Shaquille O'Neal C,Vin Baker F,Anthony Mason F,Anfernee Hardaway G,John Stockton G,all_league_teams
1995-96,NBA,1st,(V),David Robinson C,Karl Malone F,Scottie Pippen F,Anfernee Hardaway G,Michael Jordan G,all_league_teams
1995-96,NBA,2nd,(V),Hakeem Olajuwon C,Grant Hill F,Shawn Kemp F,Gary Payton G,John Stockton G,all_league_teams
1995-96,NBA,3rd,(V),Shaquille O'Neal C,Charles Barkley F,Juwan Howard F,Reggie Miller G,Mitch Richmond G,all_league_teams
1994-95,NBA,1st,(V),David Robinson C,Karl Malone F,Scottie Pippen F,Anfernee Hardaway G,John Stockton G,all_league_teams
1994-95,NBA,2nd,(V),Shaquille O'Neal C,Charles Barkley F,Shawn Kemp F,Gary Payton G,Mitch Richmond G,all_league_teams
1994-95,NBA,3rd,(V),Hakeem Olajuwon C,Dennis Rodman F,Detlef Schrempf F,Clyde Drexler G,Reggie Miller G,all_league_teams
1993-94,NBA,1st,(V),Hakeem Olajuwon C,Karl Malone F,Scottie Pippen F,Latrell Sprewell G,John Stockton G,all_league_teams
1993-94,NBA,2nd,(V),David Robinson C,Charles Barkley F,Shawn Kemp F,Kevin Johnson G,Mitch Richmond G,all_league_teams
1993-94,NBA,3rd,(V),Shaquille O'Neal C,Derrick Coleman F,Dominique Wilkins F,Gary Payton G,Mark Price G,all_league_teams
1992-93,NBA,1st,(V),Hakeem Olajuwon C,Charles Barkley F,Karl Malone F,Michael Jordan G,Mark Price G,all_league_teams
1992-93,NBA,2nd,(V),Patrick Ewing C,Larry Johnson F,Dominique Wilkins F,Joe Dumars G,John Stockton G,all_league_teams
1992-93,NBA,3rd,(V),David Robinson C,Derrick Coleman F,Scottie Pippen F,Tim Hardaway G,Dražen Petrović G,all_league_teams
1991-92,NBA,1st,(V),David Robinson C,Karl Malone F,Chris Mullin F,Clyde Drexler G,Michael Jordan G,all_league_teams
1991-92,NBA,2nd,(V),Patrick Ewing C,Charles Barkley F,Scottie Pippen F,Tim Hardaway G,John Stockton G,all_league_teams
1991-92,NBA,3rd,(V),Brad Daugherty C,Dennis Rodman F,Kevin Willis F,Kevin Johnson G,Mark Price G,all_league_teams
1990-91,NBA,1st,(V),David Robinson C,Charles Barkley F,Karl Malone F,Magic Johnson G,Michael Jordan G,all_league_teams
1990-91,NBA,2nd,(V),Patrick Ewing C,Chris Mullin F,Dominique Wilkins F,Clyde Drexler G,Kevin Johnson G,all_league_teams
1990-91,NBA,3rd,(V),Hakeem Olajuwon C,Bernard King F,James Worthy F,Joe Dumars G,John Stockton G,all_league_teams
1989-90,NBA,1st,(V),Patrick Ewing C,Charles Barkley F,Karl Malone F,Magic Johnson G,Michael Jordan G,all_league_teams
1989-90,NBA,2nd,(V),Hakeem Olajuwon C,Larry Bird F,Tom Chambers F,Kevin Johnson G,John Stockton G,all_league_teams
1989-90,NBA,3rd,(V),David Robinson C,Chris Mullin F,James Worthy F,Clyde Drexler G,Joe Dumars G,all_league_teams
1988-89,NBA,1st,(V),Hakeem Olajuwon C,Charles Barkley F,Karl Malone F,Magic Johnson G,Michael Jordan G,all_league_teams
1988-89,NBA,2nd,(V),Patrick Ewing C,Tom Chambers F,Chris Mullin F,Kevin Johnson G,John Stockton G,all_league_teams
1988-89,NBA,3rd,(V),Robert Parish C,Terry Cummings F,Dominique Wilkins F,Dale Ellis G,Mark Price G,all_league_teams
1987-88,NBA,1st,(V),Hakeem Olajuwon C,Charles Barkley F,Larry Bird F,Magic Johnson G,Michael Jordan G,all_league_teams
1987-88,NBA,2nd,(V),Patrick Ewing C,Karl Malone F,Dominique Wilkins F,Clyde Drexler G,John Stockton G,all_league_teams
1986-87,NBA,1st,(V),Hakeem Olajuwon C,Larry Bird F,Kevin McHale F,Magic Johnson G,Michael Jordan G,all_league_teams
1986-87,NBA,2nd,(V),Moses Malone C,Charles Barkley F,Dominique Wilkins F,Fat Lever G,Isiah Thomas G,all_league_teams
1985-86,NBA,1st,(V),Kareem Abdul-Jabbar C,Larry Bird F,Dominique Wilkins F,Magic Johnson G,Isiah Thomas G,all_league_teams
1985-86,NBA,2nd,(V),Hakeem Olajuwon C,Charles Barkley F,Alex English F,Sidney Moncrief G,Alvin Robertson G,all_league_teams
1984-85,NBA,1st,(V),Moses Malone C,Larry Bird F,Bernard King F,Magic Johnson G,Isiah Thomas G,all_league_teams
1984-85,NBA,2nd,(V),Kareem Abdul-Jabbar C,Terry Cummings F,Ralph Sampson F,Michael Jordan G,Sidney Moncrief G,all_league_teams
1983-84,NBA,1st,(V),Kareem Abdul-Jabbar C,Larry Bird F,Bernard King F,Magic Johnson G,Isiah Thomas G,all_league_teams
1983-84,NBA,2nd,(V),Moses Malone C,Adrian Dantley F,Julius Erving F,Sidney Moncrief G,Jim Paxson G,all_league_teams
1982-83,NBA,1st,(V),Moses Malone C,Larry Bird F,Julius Erving F,Magic Johnson G,Sidney Moncrief G,all_league_teams
1982-83,NBA,2nd,(V),Kareem Abdul-Jabbar C,Alex English F,Buck Williams F,George Gervin G,Isiah Thomas G,all_league_teams
1981-82,NBA,1st,(V),Moses Malone C,Larry Bird F,Julius Erving F,George Gervin G,Gus Williams G,all_league_teams
1981-82,NBA,2nd,(V),Robert Parish C,Alex English F,Bernard King F,Magic Johnson G,Sidney Moncrief G,all_league_teams
1980-81,NBA,1st,(V),Kareem Abdul-Jabbar C,Larry Bird F,Julius Erving F,George Gervin G,Dennis Johnson G,all_league_teams
1980-81,NBA,2nd,(V),Moses Malone C,Adrian Dantley F,Marques Johnson F,Tiny Archibald G,Otis Birdsong G,all_league_teams
1979-80,NBA,1st,(V),Kareem Abdul-Jabbar C,Larry Bird F,Julius Erving F,George Gervin G,Paul Westphal G,all_league_teams
1979-80,NBA,2nd,(V),Moses Malone C,Marques Johnson F,Dan Roundfield F,Dennis Johnson G,Gus Williams G,all_league_teams
1978-79,NBA,1st,(V),Moses Malone C,Elvin Hayes F,Marques Johnson F,George Gervin G,Paul Westphal G,all_league_teams
1978-79,NBA,2nd,(V),Kareem Abdul-Jabbar C,Bob Dandridge F,Walter Davis F,Phil Ford G,World B. Free G,all_league_teams
1977-78,NBA,1st,(V),Bill Walton C,Julius Erving F,Truck Robinson F,George Gervin G,David Thompson G,all_league_teams
1977-78,NBA,2nd,(V),Kareem Abdul-Jabbar C,Walter Davis F,Maurice Lucas F,Pete Maravich G,Paul Westphal G,all_league_teams
1976-77,NBA,1st,(V),Kareem Abdul-Jabbar C,Elvin Hayes F,David Thompson F,Pete Maravich G,Paul Westphal G,all_league_teams
1976-77,NBA,2nd,(V),Bill Walton C,Julius Erving F,George McGinnis F,George Gervin G,Jo Jo White G,all_league_teams
1975-76,NBA,1st,(V),Kareem Abdul-Jabbar C,Rick Barry F,George McGinnis F,Tiny Archibald G,Pete Maravich G,all_league_teams
1975-76,NBA,2nd,(V),Dave Cowens C,John Havlicek F,Elvin Hayes F,Phil Smith G,Randy Smith G,all_league_teams
1975-76,ABA,1st,,Artis Gilmore C,Julius Erving F,Billy Knight F,James Silas G,Ralph Simpson G,all_league_teams
1975-76,ABA,2nd,,Dan Issel C,Bobby Jones F,David Thompson F,Don Buse G,George Gervin G,all_league_teams
1974-75,NBA,1st,(V),Bob McAdoo C,Rick Barry F,Elvin Hayes F,Tiny Archibald G,Walt Frazier G,all_league_teams
1974-75,NBA,2nd,(V),Dave Cowens C,John Havlicek F,Spencer Haywood F,Phil Chenier G,Jo Jo White G,all_league_teams
1974-75,ABA,1st,,Artis Gilmore C,Julius Erving F,George McGinnis F,Ron Boone G,Mack Calvin G,all_league_teams
1974-75,ABA,2nd,,Swen Nater C,Marvin Barnes F,George Gervin F,James Silas G,Brian Taylor G,all_league_teams
1973-74,NBA,1st,(V),Kareem Abdul-Jabbar C,Rick Barry F,John Havlicek F,Walt Frazier G,Gail Goodrich G,all_league_teams
1973-74,NBA,2nd,(V),Bob McAdoo C,Elvin Hayes F,Spencer Haywood F,Dave Bing G,Norm Van Lier G,all_league_teams
1973-74,ABA,1st,,Artis Gilmore C,Julius Erving F,George McGinnis F,Mack Calvin G,Jimmy Jones G,all_league_teams
1973-74,ABA,2nd,,Swen Nater C,Dan Issel F,Willie Wise F,Ron Boone G,Louie Dampier G,all_league_teams
1972-73,NBA,1st,(V),Kareem Abdul-Jabbar C,John Havlicek F,Spencer Haywood F,Tiny Archibald G,Jerry West G,all_league_teams
1972-73,NBA,2nd,(V),Dave Cowens C,Rick Barry F,Elvin Hayes F,Walt Frazier G,Pete Maravich G,all_league_teams
1972-73,ABA,1st,,Artis Gilmore C,Billy Cunningham F,Julius Erving F,Warren Jabali G,Jimmy Jones G,all_league_teams
1972-73,ABA,2nd,,Mel Daniels C,Dan Issel F,George McGinnis F,Mack Calvin G,Ralph Simpson G,all_league_teams
1971-72,NBA,1st,(V),Kareem Abdul-Jabbar C,John Havlicek F,Spencer Haywood F,Walt Frazier G,Jerry West G,all_league_teams
1971-72,NBA,2nd,(V),Wilt Chamberlain C,Billy Cunningham F,Bob Love F,Tiny Archibald G,Archie Clark G,all_league_teams
1971-72,ABA,1st,,Artis Gilmore C,Rick Barry F,Dan Issel F,Donnie Freeman G,Bill Melchionni G,all_league_teams
1971-72,ABA,2nd,,Zelmo Beaty C,Julius Erving F,Willie Wise F,Charlie Scott G,Ralph Simpson G,all_league_teams
