TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
1610612760,Oklahoma City Thunder,30,16,14,0.533,45.8,31.0,76.4,0.406,10.9,34.1,0.321,28.8,34.9,0.825,8.7,35.8,44.5,13.1,15.7,6.1,3.5,4.8,22.3,27.1,101.7,0.0,25,20,8,11,21,28,27,27,13,11,19,12,14,10,20,4,11,29,28,21,25,17,6,10,25,12
1610612753,Orlando Magic,30,13,17,0.433,46.6,34.9,79.4,0.44,10.5,31.1,0.338,25.4,31.1,0.815,10.0,38.8,48.8,20.6,13.9,7.2,3.8,2.9,30.1,24.9,105.7,-5.7,25,25,16,23,15,15,16,16,14,19,13,25,26,15,15,1,1,8,23,9,22,6,26,18,22,17
1610612755,Philadelphia 76ers,34,25,9,0.735,46.2,32.0,72.1,0.443,8.8,26.2,0.338,35.7,44.9,0.795,12.9,32.7,45.6,16.3,17.7,8.2,9.5,3.4,23.1,32.0,108.5,15.0,17,2,1,1,17,24,29,15,23,26,14,3,3,17,5,10,6,24,30,4,1,10,10,1,14,5
1610612756,Phoenix Suns,37,25,12,0.676,47.0,36.2,86.2,0.42,11.2,35.3,0.317,28.2,35.6,0.793,14.1,28.8,42.9,16.8,8.5,7.1,4.1,2.1,26.5,26.2,111.8,8.5,11,2,2,2,11,12,4,24,12,8,21,14,11,18,3,28,14,21,2,10,21,1,20,16,12,9
1610612757,Portland Trail Blazers,37,24,13,0.649,43.5,42.2,89.5,0.472,15.2,42.5,0.358,27.0,32.1,0.842,12.4,30.5,42.9,20.6,7.3,6.3,4.8,4.4,21.9,22.5,126.7,35.6,11,4,3,4,29,1,3,2,2,3,9,21,24,4,7,20,15,6,1,19,12,14,4,27,1,1
1610612758,Sacramento Kings,42,22,20,0.524,44.2,36.2,80.5,0.45,10.2,33.8,0.301,26.3,34.7,0.759,9.9,26.3,36.2,14.7,12.0,5.7,5.1,3.3,30.5,23.7,109.0,-5.1,2,5,21,13,25,11,11,10,18,12,24,23,18,25,16,29,29,27,16,23,9,9,27,23,13,16
1610612759,San Antonio Spurs,38,16,22,0.421,48.9,36.3,80.5,0.451,4.9,20.9,0.236,29.7,34.9,0.85,8.1,31.4,39.5,15.4,10.5,6.4,3.2,5.8,23.5,25.6,107.3,-6.4,9,20,26,25,1,10,12,9,30,30,29,8,16,3,25,16,23,26,6,18,27,24,12,17,17,19
1610612761,Toronto Raptors,39,11,28,0.282,45.7,31.4,80.0,0.392,12.2,38.0,0.32,25.1,34.1,0.736,7.5,26.3,33.7,19.2,11.4,6.3,5.5,6.7,36.9,22.7,100.0,-22.0,5,27,30,29,22,26,14,28,9,6,20,26,19,26,28,30,30,11,11,20,5,25,29,26,27,29
1610612762,Utah Jazz,30,17,13,0.567,44.8,37.6,84.7,0.444,14.9,44.6,0.333,27.7,33.7,0.824,10.9,30.2,41.1,19.3,10.4,6.9,3.5,3.0,23.3,27.2,117.8,17.8,25,17,3,8,24,6,5,13,3,1,15,19,22,11,12,22,19,10,5,12,26,7,11,9,3,4
1610612764,Washington Wizards,39,19,20,0.487,43.8,36.8,80.8,0.455,9.1,28.2,0.321,30.6,36.5,0.837,9.6,35.2,44.8,16.8,10.6,4.9,5.4,4.9,23.1,23.6,113.2,2.8,5,9,21,18,27,8,8,6,22,23,18,7,10,6,18,6,9,19,7,27,6,18,9,24,9,11
