team_id,team_name,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,team
1610612760,Oklahoma City Thunder,42,26,16,0.619,45.2,39.3,88.9,0.442,10.9,30.2,0.359,28.4,38.4,0.74,15.0,35.8,50.7,11.7,10.3,10.0,6.5,5.3,26.4,26.1,117.9,23.5,18,5,5,5,26,2,2,9,8,9,7,17,12,22,3,6,1,29,7,1,9,15,16,15,2,2,OKLAHOMA CITY THUNDER
1610612753,Orlando Magic,39,18,21,0.462,48.7,32.6,83.2,0.391,8.4,27.1,0.31,28.4,36.8,0.772,11.0,33.2,44.2,16.1,9.7,4.2,6.1,7.7,27.7,25.8,101.9,-11.9,24,22,13,21,9,22,12,26,18,17,18,18,18,12,20,11,13,14,3,29,11,29,21,17,21,23,ORLANDO MAGIC
1610612755,Philadelphia 76ers,44,21,23,0.477,46.6,29.9,72.9,0.41,8.8,24.9,0.352,32.1,38.4,0.836,8.5,35.1,43.6,15.6,19.7,4.9,7.4,8.5,30.7,25.2,100.5,-13.7,11,16,17,18,21,28,29,19,16,22,9,7,13,3,28,7,17,16,30,25,6,30,26,21,23,25,PHILADELPHIA 76ERS
1610612756,Phoenix Suns,50,17,33,0.34,47.5,33.8,79.7,0.424,5.8,21.1,0.275,30.1,38.3,0.786,12.1,29.0,41.2,7.4,12.1,4.7,3.4,6.3,31.1,26.9,103.4,-26.9,3,23,30,27,15,18,17,13,29,30,25,13,15,9,11,26,24,30,15,28,27,23,27,10,19,30,PHOENIX SUNS
1610612757,Portland Trail Blazers,47,23,24,0.489,46.6,34.1,79.2,0.43,7.8,24.6,0.317,31.5,38.5,0.818,11.6,36.9,48.5,13.6,14.2,4.8,5.4,4.0,21.8,26.1,107.4,3.4,7,10,20,17,20,16,18,11,23,23,15,8,10,6,13,1,2,28,25,26,14,5,4,16,15,13,PORTLAND TRAIL BLAZERS
1610612758,Sacramento Kings,49,24,25,0.49,48.7,31.7,77.3,0.41,8.1,25.5,0.318,28.7,38.0,0.756,10.0,31.0,41.0,19.2,14.6,6.3,5.1,6.3,29.6,26.2,100.2,-10.9,4,8,24,16,10,24,23,18,19,20,14,16,16,19,24,18,25,7,27,16,16,22,24,14,25,22,SACRAMENTO KINGS
1610612759,San Antonio Spurs,43,29,14,0.674,45.5,33.8,78.8,0.429,11.5,28.5,0.402,34.1,43.9,0.777,12.3,31.3,43.6,18.7,11.5,8.9,4.2,2.8,19.3,31.0,113.1,27.9,15,3,3,1,25,17,20,12,4,14,3,4,4,10,10,16,15,9,12,5,22,4,1,2,7,1,SAN ANTONIO SPURS
1610612761,Toronto Raptors,49,25,24,0.51,46.5,39.4,86.2,0.457,7.2,25.8,0.278,23.9,32.4,0.738,11.2,35.9,47.1,15.2,9.6,5.1,4.5,4.8,25.3,25.8,109.8,16.8,4,7,20,15,22,1,5,4,25,19,23,26,24,23,18,5,6,24,2,24,18,11,13,18,8,5,TORONTO RAPTORS
1610612762,Utah Jazz,45,27,18,0.6,48.9,37.3,76.4,0.489,11.6,27.1,0.43,30.1,39.4,0.765,10.3,36.3,46.6,23.3,12.3,4.8,7.9,2.1,24.0,28.4,116.4,14.0,9,4,8,6,8,6,26,1,3,18,1,12,9,14,23,3,8,1,17,27,4,3,7,7,3,8,UTAH JAZZ
1610612764,Washington Wizards,55,32,23,0.582,46.5,36.8,78.5,0.469,8.0,21.3,0.375,34.4,42.6,0.807,11.5,31.9,43.5,16.9,10.0,8.2,6.4,4.2,23.7,27.7,116.0,16.6,1,1,17,9,23,7,21,2,22,29,6,3,7,7,15,15,18,13,4,8,10,7,5,8,4,6,WASHINGTON WIZARDS
