season,team_id,team,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,available_flag,season_start,season_end,is_home,home,away,MON
2021-22,1610612746,LAC,LA Clippers,22100809,2022-02-06,LAC vs. MIL,L,48.0,12.0,10.0,7.0,30.0,13.0,13.0,28.0,46.0,0,0,0,0,117,1741,1624,1922,2359,721,1151,2420,1016,1,2021,2022,True,LAC,MIL,FEB
2021-22,1610612746,LAC,LA Clippers,22100786,2022-02-03,LAC vs. LAL,W,48.0,14.0,4.0,10.0,54.0,12.0,21.0,7.0,52.0,0,0,0,0,117,1426,2349,1473,513,574,2180,422,1630,1,2021,2022,True,LAC,LAL,FEB
2021-22,1610612746,LAC,LA Clippers,22100760,2022-01-31,LAC @ IND,L,48.0,17.0,13.0,5.0,46.0,12.0,17.0,11.0,68.0,0,0,0,0,117,1001,1121,2170,1216,574,1800,989,2381,1,2021,2022,False,IND,LAC,JAN
2021-22,1610612746,LAC,LA Clippers,22100752,2022-01-30,LAC @ CHA,W,48.0,8.0,8.0,15.0,56.0,28.0,9.0,17.0,48.0,0,0,0,0,117,2236,1945,715,389,2355,517,1865,1246,1,2021,2022,False,CHA,LAC,JAN
2021-22,1610612746,LAC,LA Clippers,22100738,2022-01-28,LAC @ MIA,L,48.0,20.0,17.0,9.0,54.0,10.0,12.0,14.0,40.0,0,0,0,0,117,601,535,1640,513,337,975,1466,507,1,2021,2022,False,MIA,LAC,JAN
2021-22,1610612746,LAC,LA Clippers,22100724,2022-01-26,LAC @ ORL,W,48.0,16.0,18.0,9.0,26.0,21.0,4.0,14.0,56.0,0,0,0,0,117,1155,448,1640,2425,1861,53,1466,1949,1,2021,2022,False,ORL,LAC,JAN
2021-22,1610612746,LAC,LA Clippers,22100716,2022-01-25,LAC @ WAS,W,48.0,23.0,12.0,16.0,52.0,13.0,15.0,6.0,46.0,0,0,0,0,117,308,1311,597,674,721,1500,292,1016,1,2021,2022,False,WAS,LAC,JAN
2021-22,1610612746,LAC,LA Clippers,22100698,2022-01-23,LAC @ NYK,L,48.0,12.0,10.0,9.0,38.0,20.0,21.0,13.0,34.0,0,0,0,0,117,1741,1624,1640,1955,1753,2180,1330,168,1,2021,2022,False,NYK,LAC,JAN
2021-22,1610612746,LAC,LA Clippers,22100686,2022-01-21,LAC @ PHI,W,48.0,8.0,20.0,11.0,42.0,19.0,13.0,5.0,52.0,0,0,0,0,117,2236,282,1283,1613,1617,1151,202,1630,1,2021,2022,False,PHI,LAC,JAN
2021-22,1610612746,LAC,LA Clippers,22100678,2022-01-19,LAC @ DEN,L,53.0,16.0,23.0,11.0,64.0,16.0,23.0,24.0,64.0,0,0,0,0,15,1155,110,1283,110,1179,2318,2325,2300,1,2021,2022,False,DEN,LAC,JAN
