season,team_id,team,team_name,game_id,game_date,matchup,wl,min,e_off_rating,off_rating,e_def_rating,def_rating,e_net_rating,net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,efg_pct,ts_pct,e_pace,pace,pace_per40,poss,pie,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,off_rating_rank,def_rating_rank,net_rating_rank,ast_pct_rank,ast_to_rank,ast_ratio_rank,oreb_pct_rank,dreb_pct_rank,reb_pct_rank,tm_tov_pct_rank,efg_pct_rank,ts_pct_rank,pace_rank,pie_rank,available_flag,season_start,season_end,is_home,home,away
2020-21,1610612756,PHX,Phoenix Suns,22000286,2021-01-28,PHX vs. GSW,W,48.0,110.6,108.6,89.8,90.3,20.7,18.3,0.829,2.43,22.8,0.204,0.79,0.532,0.133,0.528,0.581,103.3,104.0,86.67,105,0.653,1,1,1,1,113,1317,65,224,16,447,106,1754,465,550,1016,1192,931,345,59,1,2020,2021,True,PHX,GSW
2020-21,1610612744,GSW,Golden State Warriors,22000286,2021-01-28,GSW @ PHX,L,48.0,89.8,90.3,110.6,108.6,-20.7,-18.3,0.553,1.62,15.3,0.21,0.796,0.468,0.126,0.439,0.454,103.3,104.0,86.67,103,0.347,1,1081,1081,1081,113,2096,841,1937,1474,1350,1732,1695,397,1608,849,2040,2112,345,2102,1,2020,2021,False,PHX,GSW
2020-21,1610612748,MIA,Miami Heat,22000285,2021-01-28,MIA vs. LAC,L,48.0,102.3,106.1,113.9,110.1,-11.6,-4.0,0.6,1.71,18.0,0.192,0.745,0.466,0.141,0.517,0.543,99.1,99.0,82.5,99,0.457,1,1081,1081,1081,113,1457,948,1261,1079,1196,1020,1835,967,1651,1179,1370,1455,1131,1477,1,2020,2021,True,MIA,LAC
2020-21,1610612757,POR,Portland Trail Blazers,22000287,2021-01-28,POR @ HOU,L,48.0,99.5,101.0,102.0,105.1,-2.6,-4.1,0.41,1.07,12.4,0.273,0.759,0.514,0.15,0.511,0.523,101.7,99.5,82.92,100,0.466,1,1081,1081,1081,113,1786,625,1263,2101,2013,2084,932,823,840,1360,1443,1697,1031,1382,1,2020,2021,False,HOU,POR
2020-21,1610612765,DET,Detroit Pistons,22000284,2021-01-28,DET vs. LAL,W,48.0,110.6,117.6,99.7,101.1,10.9,16.5,0.675,3.0,20.8,0.277,0.709,0.51,0.099,0.54,0.577,94.5,91.0,75.83,91,0.571,1,1,1,1,113,676,399,280,494,175,382,888,1435,913,319,1025,993,2095,442,1,2020,2021,True,DET,LAL
2020-21,1610612745,HOU,Houston Rockets,22000287,2021-01-28,HOU vs. POR,W,48.0,102.0,105.1,99.5,101.0,2.6,4.1,0.5,1.36,14.6,0.241,0.727,0.486,0.141,0.494,0.531,101.7,99.5,82.92,99,0.534,1,1,1,1,113,1532,372,898,1823,1707,1863,1326,1198,1318,1179,1585,1603,1031,779,1,2020,2021,True,HOU,POR
2020-21,1610612766,CHA,Charlotte Hornets,22000271,2021-01-27,CHA vs. IND,L,48.0,106.8,109.3,123.0,119.6,-16.2,-10.3,0.757,2.55,20.1,0.302,0.744,0.5,0.113,0.483,0.534,96.8,97.0,80.83,97,0.432,1,1081,1081,1081,113,1265,1597,1650,112,382,504,596,1006,1042,590,1707,1570,1529,1699,1,2020,2021,True,CHA,IND
2020-21,1610612759,SAS,San Antonio Spurs,22000280,2021-01-27,SAS vs. BOS,W,48.0,110.0,111.1,102.8,106.0,7.2,5.1,0.478,1.1,16.8,0.282,0.696,0.526,0.202,0.61,0.618,101.6,99.5,82.92,99,0.557,1,1,1,1,113,1124,690,823,1947,1993,1375,826,1578,628,2052,313,515,1031,560,1,2020,2021,True,SAS,BOS
2020-21,1610612742,DAL,Dallas Mavericks,22000282,2021-01-27,DAL @ UTA,L,48.0,105.1,109.5,116.9,119.6,-11.8,-10.1,0.524,2.75,17.6,0.163,0.673,0.426,0.084,0.527,0.548,99.1,96.0,80.0,95,0.472,1,1081,1081,1081,113,1255,1597,1640,1696,278,1176,2008,1805,2014,156,1209,1415,1677,1330,1,2020,2021,False,UTA,DAL
2020-21,1610612751,BKN,Brooklyn Nets,22000274,2021-01-27,BKN @ ATL,W,53.0,123.6,128.2,121.5,123.1,2.1,5.1,0.558,2.64,19.6,0.37,0.653,0.516,0.107,0.587,0.618,96.1,93.74,78.11,103,0.511,1,1,1,1,13,147,1798,828,1443,327,613,115,1927,798,454,501,510,1969,987,1,2020,2021,False,ATL,BKN
2020-21,1610612760,OKC,Oklahoma City Thunder,22000281,2021-01-27,OKC @ PHX,W,48.0,101.8,101.0,91.3,97.0,10.6,4.0,0.553,1.5,16.3,0.143,0.754,0.482,0.139,0.541,0.559,103.2,100.5,83.75,101,0.554,1,1,1,1,113,1790,214,905,1474,1505,1520,2083,891,1391,1129,1010,1246,853,589,1,2020,2021,False,PHX,OKC
2020-21,1610612739,CLE,Cleveland Cavaliers,22000272,2021-01-27,CLE vs. DET,W,48.0,115.0,118.4,103.1,103.9,11.8,14.6,0.511,1.41,17.1,0.31,0.674,0.5,0.165,0.603,0.628,104.9,103.0,85.83,103,0.57,1,1,1,1,113,620,538,348,1812,1631,1294,504,1789,1042,1670,360,400,483,447,1,2020,2021,True,CLE,DET
2020-21,1610612761,TOR,Toronto Raptors,22000277,2021-01-27,TOR vs. MIL,L,48.0,106.6,106.9,109.1,115.0,-2.4,-8.1,0.684,2.17,18.7,0.207,0.672,0.44,0.119,0.521,0.544,103.4,100.5,83.75,101,0.45,1,1081,1081,1081,113,1413,1305,1522,431,671,850,1730,1820,1929,692,1305,1451,853,1540,1,2020,2021,True,TOR,MIL
2020-21,1610612756,PHX,Phoenix Suns,22000281,2021-01-27,PHX vs. OKC,L,48.0,91.3,97.0,101.8,101.0,-10.6,-4.0,0.528,1.27,14.2,0.246,0.857,0.518,0.15,0.458,0.484,103.2,100.5,83.75,100,0.446,1,1081,1081,1081,113,1944,367,1256,1665,1819,1930,1269,66,767,1360,1920,2008,853,1572,1,2020,2021,True,PHX,OKC
2020-21,1610612747,LAL,Los Angeles Lakers,22000276,2021-01-27,LAL @ PHI,L,48.0,102.9,111.6,103.4,112.6,-0.5,-1.1,0.488,1.67,15.6,0.286,0.653,0.469,0.126,0.523,0.546,103.2,95.0,79.17,95,0.479,1,1081,1081,1081,113,1095,1129,1125,1916,1273,1669,768,1927,1588,860,1266,1424,1813,1261,1,2020,2021,False,PHI,LAL
2020-21,1610612748,MIA,Miami Heat,22000275,2021-01-27,MIA vs. DEN,L,48.0,85.6,85.4,110.3,114.7,-24.7,-29.3,0.8,1.41,18.6,0.173,0.68,0.422,0.177,0.456,0.483,97.3,95.5,79.58,96,0.355,1,1081,1081,1081,113,2142,1289,2104,36,1631,889,1961,1745,2036,1838,1932,2011,1751,2086,1,2020,2021,True,MIA,DEN
2020-21,1610612762,UTA,Utah Jazz,22000282,2021-01-27,UTA vs. DAL,W,48.0,116.9,119.6,105.1,109.5,11.8,10.1,0.476,2.0,15.2,0.327,0.837,0.574,0.103,0.549,0.579,99.1,96.0,80.0,97,0.528,1,1,1,1,113,555,904,521,1955,807,1771,345,148,144,389,906,970,1677,831,1,2020,2021,True,UTA,DAL
