SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK,AVAILABLE_FLAG
2015-16,1610612755,PHI,Philadelphia 76ers,0021501222,2016-04-13T00:00:00,PHI @ CHI,L,48.0,0.562,0.222,0.134,0.13,0.56,0.325,0.173,0.37,0,0,0,0,155,459,1709,933,2412,1984,1753,615,2213,1.0
2015-16,1610612756,PHX,Phoenix Suns,0021501229,2016-04-13T00:00:00,PHX vs. LAC,W,48.0,0.49,0.222,0.162,0.368,0.495,0.125,0.142,0.222,0,0,0,0,155,1389,1709,1587,250,1166,83,1327,579,1.0
2015-16,1610612757,POR,Portland Trail Blazers,0021501230,2016-04-13T00:00:00,POR vs. DEN,W,48.0,0.5,0.247,0.168,0.314,0.463,0.191,0.198,0.379,0,0,0,0,155,1217,1448,1728,744,671,456,251,2253,1.0
2015-16,1610612753,ORL,Orlando Magic,0021501219,2016-04-13T00:00:00,ORL @ CHA,L,48.0,0.505,0.198,0.099,0.154,0.61,0.221,0.098,0.119,0,0,0,0,155,1204,1941,262,2354,2326,728,2206,25,1.0
2015-16,1610612748,MIA,Miami Heat,0021501217,2016-04-13T00:00:00,MIA @ BOS,L,48.0,0.443,0.136,0.112,0.314,0.459,0.256,0.079,0.32,0,0,0,0,155,2029,2330,469,744,616,1069,2381,1785,1.0
2015-16,1610612745,HOU,Houston Rockets,0021501224,2016-04-13T00:00:00,HOU vs. SAC,W,48.0,0.536,0.196,0.135,0.315,0.391,0.135,0.192,0.299,0,0,0,0,155,763,1959,948,731,70,120,319,1531,1.0
2015-16,1610612740,NOP,New Orleans Pelicans,0021501226,2016-04-13T00:00:00,NOP @ MIN,L,48.0,0.495,0.239,0.154,0.264,0.727,0.267,0.124,0.212,0,0,0,0,155,1301,1526,1403,1382,2459,1188,1754,484,1.0
2015-16,1610612766,CHA,Charlotte Hornets,0021501219,2016-04-13T00:00:00,CHA vs. ORL,W,48.0,0.61,0.221,0.098,0.119,0.505,0.198,0.099,0.154,0,0,0,0,155,135,1724,247,2433,1255,514,2192,103,1.0
2015-16,1610612755,PHI,Philadelphia 76ers,0021501214,2016-04-12T00:00:00,PHI @ TOR,L,48.0,0.552,0.325,0.146,0.208,0.558,0.2,0.147,0.49,0,0,0,0,155,557,716,1218,2015,1960,524,1179,2454,1.0
2015-16,1610612765,DET,Detroit Pistons,0021501213,2016-04-12T00:00:00,DET vs. MIA,L,48.0,0.435,0.357,0.172,0.436,0.532,0.282,0.161,0.273,0,0,0,0,155,2125,491,1815,43,1655,1346,890,1173,1.0
