player,team,number,position,height,weight,last_attended,country,height_in,weight_lbs,player_id
"Wendell
Carter Jr.",ORL,34.0,C,,,Duke,USA,82,270.0,jr.we0100
"D.J.
Carton",FA,FA,G,,,Marquette,USA,75,200.0,cartod.01
"Alex
Caruso",OKC,9.0,G,,,Texas A&M,USA,77,186.0,carusal01
"Stephon
Castle",SAS,5.0,G,,,Connecticut,USA,78,215.0,castlst01
"Colin
Castleton",TOR,11.0,C,,,Florida,USA,82,250.0,castlco01
"Julian
Champagnie",SAS,30.0,F,,,St. John's,USA,79,217.0,champju01
"Justin
Champagnie",WAS,9.0,G,,,Pittsburgh,USA,78,206.0,champju01
"Ulrich
Chomche",TOR,22.0,C,,,NBA Global Academy,Cameroon,83,235.0,chomcul01
"Cam
Christie",LAC,12.0,G,,,Minnesota,USA,78,190.0,chrisca01
"Max
Christie",DAL,0.0,G,,,Michigan State,USA,77,190.0,chrisma01
"Josh
Christopher",MIA,8.0,G,,,Arizona State,USA,76,215.0,chrisjo01
"Sidy
Cissoko",POR,25.0,G,,,NBA G League Ignite,France,78,200.0,cissosi01
"Jaylen
Clark",MIN,22.0,G,,,UCLA,USA,76,205.0,clarkja01
"Brandon
Clarke",MEM,15.0,F,,,Gonzaga,Canada,80,215.0,clarkbr01
"Jordan
Clarkson",UTA,0.0,G,,,Missouri,USA,75,194.0,clarkjo01
"Nic
Claxton",BKN,33.0,C,,,Georgia,USA,83,215.0,claxtni01
"Donovan
Clingan",POR,23.0,C,,,Connecticut,USA,86,280.0,clingdo01
"Noah
Clowney",BKN,21.0,F,,,Alabama,USA,81,210.0,clownno01
"Amir
Coffey",LAC,7.0,G,,,Minnesota,USA,79,210.0,coffeam01
"Isaiah
Collier",UTA,13.0,G,,,Southern California,USA,75,210.0,colliis01
"John
Collins",UTA,20.0,F,,,Wake Forest,USA,81,226.0,collijo01
"Yuri
Collins",FA,FA,G,,,St. Louis,USA,72,190.0,colliyu01
"Zach
Collins",CHI,12.0,F,,,Gonzaga,USA,83,250.0,colliza01
"Mike
Conley",MIN,10.0,G,,,Ohio State,USA,72,175.0,conlemi01
"Pat
Connaughton",MIL,24.0,G,,,Notre Dame,USA,77,209.0,connapa01
"Bilal
Coulibaly",WAS,0.0,G,,,Metropolitans 92,France,80,195.0,coulibi01
"Ricky
Council IV",PHI,14.0,G,,,Arkansas,USA,78,207.0,ivri01000
"Torrey
Craig",BOS,12.0,F,,,South Carolina Upstate,USA,77,221.0,craigto01
"Isaiah
Crawford",SAC,24.0,F,,,Louisiana Tech,USA,78,220.0,crawfis01
"Jae
Crowder",SAC,99.0,F,,,Marquette,USA,78,235.0,crowdja01
"Cade
Cunningham",DET,2.0,G,,,Oklahoma State,USA,78,220.0,cunnica01
"Seth
Curry",CHA,30.0,G,,,Duke,USA,73,185.0,curryse01
"Stephen
Curry",GSW,30.0,G,,,Davidson,USA,74,185.0,curryst01
"Tristan
da Silva",ORL,23.0,F,,,Colorado,Germany,80,217.0,silvatr01
"Pacôme
Dadiet",NYK,4.0,F,,,Ratiopharm Ulm,France,80,210.0,dadiepa01
"Dyson
Daniels",ATL,5.0,G,,,NBA G League Ignite,Australia,79,199.0,daniedy01
"N'Faly
Dante",HOU,3.0,C,,,Oregon,Mali,83,230.0,danten'01
"Anthony
Davis",DAL,3.0,F,,,Kentucky,USA,82,253.0,davisan01
"Johnny
Davis",FA,FA,G,,,Wisconsin,USA,76,195.0,davisjo01
"Terence
Davis",SAC,3.0,G,,,Mississippi,USA,76,201.0,daviste01
"JD
Davison",BOS,20.0,G,,,Alabama,USA,73,195.0,davisjd01
"RayJ
Dennis",IND,10.0,G,,,Baylor,USA,74,180.0,dennira01
"DeMar
DeRozan",SAC,10.0,G,,,Southern California,USA,78,220.0,derozde01
"Moussa
Diabaté",CHA,14.0,F,,,Michigan,France,81,210.0,diabamo01
"Gradey
Dick",TOR,1.0,G,,,Kansas,USA,78,200.0,dickgr010
"Ousmane
Dieng",OKC,13.0,F,,,New Zealand Breakers,France,81,185.0,diengou01
"Rob
Dillingham",MIN,4.0,G,,,Kentucky,USA,75,175.0,dilliro01
"Spencer
Dinwiddie",DAL,26.0,G,,,Colorado,USA,77,215.0,dinwisp01
"Donte
DiVincenzo",MIN,0.0,G,,,Villanova,USA,76,203.0,divindo01
"Luka
Dončić",LAL,77.0,F,,,Real Madrid,Slovenia,78,230.0,dončilu01
"Luguentz
Dort",OKC,5.0,G,,,Arizona State,Canada,76,220.0,dortlu010
"Ayo
Dosunmu",CHI,11.0,G,,,Illinois,USA,77,200.0,dosunay01
"Jeff
Dowtin Jr.",PHI,11.0,G,,,Rhode Island,USA,75,177.0,jr.je0100
"PJ
Dozier",FA,FA,G,,,South Carolina,USA,78,205.0,doziepj01
"Andre
Drummond",PHI,1.0,C,,,Connecticut,USA,83,279.0,drumman01
"Chris
Duarte",FA,FA,G,,,Oregon,Dominican Republic,77,190.0,duartch01
"Alex
Ducas",OKC,88.0,G,,,St.Mary's College of California,Australia,79,220.0,ducasal01
"David
Duke Jr.",SAS,7.0,G,,,Providence,USA,76,204.0,jr.da0100
"Kris
Dunn",LAC,8.0,G,,,Providence,USA,75,205.0,dunnkr010
"Ryan
Dunn",PHX,0.0,F,,,Virginia,USA,80,216.0,dunnry010
"Kevin
Durant",PHX,35.0,F,,,Texas,USA,83,240.0,duranke01
"Jalen
Duren",DET,0.0,C,,,Memphis,USA,82,250.0,durenja01
"Tari
Eason",HOU,17.0,F,,,Louisiana State,USA,80,215.0,easonta01
"Zach
Edey",MEM,14.0,C,,,Purdue,Canada,88,305.0,edeyza010
"Anthony
Edwards",MIN,5.0,G,,,Georgia,USA,76,225.0,edwaran01
"Jesse
Edwards",MIN,14.0,C,,,West Virginia,Netherlands,84,236.0,edwarje01
"Justin
Edwards",PHI,19.0,F,,,Kentucky,USA,79,203.0,edwarju01
"Kessler
Edwards",DAL,20.0,F,,,Pepperdine,USA,79,203.0,edwarke01
"Keon
Ellis",SAC,23.0,G,,,Alabama,USA,76,175.0,elliske01
"Joel
Embiid",PHI,21.0,C,,,Kansas,Cameroon,84,280.0,embiijo01
"Tyson
Etienne",BKN,10.0,G,,,Wichita State,USA,74,200.0,etienty01
"Drew
Eubanks",LAC,15.0,F,,,Oregon State,USA,82,245.0,eubandr01
"Tosan
Evbuomwan",BKN,12.0,F,,,Princeton,United Kingdom,79,217.0,evbuoto01
"Danté
Exum",DAL,0.0,G,,,Australian Institute of Sport,Australia,77,214.0,exumda010
"Bruno
Fernando",FA,FA,F,,,Maryland,Angola,81,240.0,fernabr01
"Kyle
Filipowski",UTA,22.0,C,,,Duke,USA,83,250.0,filipky01
"Dorian
Finney-Smith",LAL,17.0,F,,,Florida,USA,79,220.0,finnedo01
"Adam
Flagler",OKC,14.0,G,,,Baylor,USA,75,180.0,flaglad01
"Trentyn
Flowers",LAC,9.0,F,,,Adelaide,USA,81,185.0,flowetr01
"Malachi
Flynn",FA,FA,G,,,San Diego State,USA,73,185.0,flynnma01
"Simone
Fontecchio",DET,19.0,F,,,Baskonia,Italy,79,209.0,fontesi01
"De'Aaron
Fox",SAS,4.0,G,,,Kentucky,USA,75,185.0,foxde0100
"Enrique
Freeman",IND,8.0,F,,,Akron,USA,79,220.0,freemen01
"Markelle
Fultz",SAC,20.0,G,,,Washington,USA,76,209.0,fultzma01
"Johnny
Furphy",IND,12.0,G,,,Kansas,Australia,81,200.0,furphjo01
"Daniel
Gafford",DAL,21.0,F,,,Arkansas,USA,82,265.0,gaffoda01
"Darius
Garland",CLE,10.0,G,,,Vanderbilt,USA,73,192.0,garlada01
"Marcus
Garrett",FA,FA,G,,,Kansas,USA,77,205.0,garrema01
"Luka
Garza",MIN,55.0,C,,,Iowa,USA,82,243.0,garzalu01
"Keyonte
George",UTA,3.0,G,,,Baylor,USA,76,185.0,georgke01
"Kyshawn
George",WAS,18.0,F,,,Miami,Switzerland,80,200.0,georgky01
"Paul
George",PHI,8.0,F,,,Fresno State,USA,80,220.0,georgpa01
"Taj
Gibson",CHA,67.0,F,,,Southern California,USA,81,232.0,gibsota01
"Josh
Giddey",CHI,3.0,G,,,NBA Global Academy,Australia,80,216.0,giddejo01
"Shai
Gilgeous-Alexander",OKC,2.0,G,,,Kentucky,Canada,78,195.0,gilgesh01
"Anthony
Gill",WAS,16.0,F,,,Virginia,USA,80,230.0,gillan010
"Collin
Gillespie",PHX,12.0,G,,,Villanova,USA,73,195.0,gilleco01
"Rudy
Gobert",MIN,27.0,C,,,Cholet,France,85,258.0,goberru01
"Jordan
Goodwin",LAL,30.0,G,,,St. Louis,USA,77,215.0,goodwjo01
"Aaron
Gordon",DEN,32.0,F,,,Arizona,USA,80,235.0,gordoaa01
"Eric
Gordon",PHI,23.0,G,,,Indiana,USA,75,215.0,gordoer01
"Jazian
Gortman",FA,FA,G,,,Overtime Elite,USA,74,184.0,gortmja01
"Jerami
Grant",POR,9.0,F,,,Syracuse,USA,79,210.0,grantje01
"AJ
Green",MIL,20.0,G,,,Northern Iowa,USA,76,190.0,greenaj01
"Draymond
Green",GSW,23.0,F,,,Michigan State,USA,78,230.0,greendr01
"Jalen
Green",HOU,4.0,G,,,NBA G League Ignite,USA,76,186.0,greenja01
"Javonte
Green",CLE,8.0,G,,,Radford,USA,77,205.0,greenja01
"Jeff
Green",HOU,32.0,F,,,Georgetown,USA,80,235.0,greenje01
"Josh
Green",CHA,10.0,G,,,Arizona,Australia,77,200.0,greenjo01
"Quentin
Grimes",PHI,5.0,G,,,Houston,USA,76,210.0,grimequ01
"Mouhamed
Gueye",ATL,18.0,F,,,Washington State,Senegal,82,210.0,gueyemo01
"Rui
Hachimura",LAL,28.0,F,,,Gonzaga,Japan,80,230.0,hachiru01
"Tyrese
Haliburton",IND,0.0,G,,,Iowa State,USA,77,185.0,halibty01
"PJ
Hall",DEN,13.0,C,,,Clemson,USA,82,245.0,hallpj010
"Tim
Hardaway Jr.",DET,8.0,G,,,Michigan,USA,77,205.0,jr.ti0100
"James
Harden",LAC,1.0,G,,,Arizona State,USA,77,220.0,hardeja01
"Jaden
Hardy",DAL,1.0,G,,,NBA G League Ignite,USA,75,198.0,hardyja01
"Elijah
Harkless",UTA,16.0,G,,,UNLV,USA,75,195.0,harklel01
"Ron
Harper Jr.",DET,13.0,G,,,Rutgers,USA,76,233.0,jr.ro0100
"Gary
Harris",ORL,14.0,G,,,Michigan State,USA,76,210.0,harriga01
"Tobias
Harris",DET,12.0,F,,,Tennessee,USA,80,226.0,harrito01
"Josh
Hart",NYK,3.0,G,,,Villanova,USA,76,215.0,hartjo010
"Isaiah
Hartenstein",OKC,55.0,C,,,Zalgiris,Germany,84,250.0,harteis01
"Sam
Hauser",BOS,30.0,F,,,Virginia,USA,79,217.0,hausesa01
"Jordan
Hawkins",NOP,24.0,G,,,Connecticut,USA,77,190.0,hawkijo01
"Jaxson
Hayes",LAL,11.0,C,,,Texas,USA,84,220.0,hayesja01
"Killian
Hayes",FA,FA,G,,,Ratiopharm Ulm,France,77,195.0,hayeski01
"Scoot
Henderson",POR,0.0,G,,,NBA G League Ignite,USA,75,206.0,hendesc01
"Taylor
Hendricks",UTA,0.0,F,,,Central Florida,USA,81,215.0,hendrta01
"Tyler
Herro",MIA,14.0,G,,,Kentucky,USA,77,195.0,herroty01
"Buddy
Hield",GSW,7.0,G,,,Oklahoma,Bahamas,76,220.0,hieldbu01
"Haywood
Highsmith",MIA,24.0,F,,,Wheeling Jesuit,USA,77,220.0,highsha01
"Aaron
Holiday",HOU,0.0,G,,,UCLA,USA,72,185.0,holidaa01
"Jrue
Holiday",BOS,4.0,G,,,UCLA,USA,76,205.0,holidjr01
"Ronald
Holland II",DET,0.0,F,,,NBA G League Ignite,USA,80,206.0,iiro01000
"Richaun
Holmes",WAS,22.0,F,,,Bowling Green,USA,81,235.0,holmeri01
"DaRon
Holmes II",DEN,14.0,F,,,Dayton,USA,82,225.0,iida01000
"Chet
Holmgren",OKC,7.0,C,,,Gonzaga,USA,85,208.0,holmgch01
"Jalen
Hood-Schifino",PHI,17.0,G,,,Indiana,USA,77,210.0,hood-ja01
"Al
Horford",BOS,42.0,C,,,Florida,Dominican Republic,81,240.0,horfoal01
"Talen
Horton-Tucker",CHI,22.0,G,,,Iowa State,USA,76,234.0,hortota01
"Caleb
Houstan",ORL,2.0,G,,,Michigan,Canada,80,205.0,houstca01
"Jett
Howard",ORL,13.0,G,,,Michigan,USA,78,215.0,howarje01
"Kevin
Huerter",CHI,13.0,G,,,Maryland,USA,79,198.0,huertke01
"Jay
Huff",MEM,30.0,C,,,Virginia,USA,85,240.0,huffja010
"Ariel
Hukporti",NYK,55.0,C,,,MHP Riesen,Germany,83,246.0,hukpoar01
"De'Andre
Hunter",CLE,12.0,F,,,Virginia,USA,80,221.0,huntede01
"Bones
Hyland",MIN,77.0,G,,,Virginia Commonwealth,USA,74,169.0,hylanbo01
"Oso
Ighodaro",PHX,4.0,F,,,Marquette,USA,84,235.0,ighodos01
"Joe
Ingles",MIN,7.0,F,,,Maccabi Tel Aviv,Australia,80,220.0,inglejo01
"Brandon
Ingram",TOR,3.0,F,,,Duke,USA,80,190.0,ingrabr01
"Harrison
Ingram",SAS,55.0,F,,,North Carolina,USA,77,230.0,ingraha01
"Kyrie
Irving",DAL,11.0,G,,,Duke,Australia,74,195.0,irvinky01
"Jonathan
Isaac",ORL,1.0,F,,,Florida State,USA,82,230.0,isaacjo01
"Jaden
Ivey",DET,23.0,G,,,Purdue,USA,76,195.0,iveyja010
"GG
Jackson",MEM,45.0,F,,,South Carolina,USA,81,210.0,jacksgg01
"Isaiah
Jackson",IND,22.0,F,,,Kentucky,USA,81,205.0,jacksis01
"Quenton
Jackson",IND,29.0,G,,,Texas A&M,USA,77,173.0,jacksqu01
"Reggie
Jackson",FA,FA,G,,,Boston College,USA,74,208.0,jacksre01
"Andre
Jackson Jr.",MIL,44.0,G,,,Connecticut,USA,78,209.0,jr.an0100
"Jaren
Jackson Jr.",MEM,13.0,F,,,Michigan State,USA,82,242.0,jr.ja0100
"Trayce
Jackson-Davis",GSW,32.0,F,,,Indiana,USA,81,245.0,jackstr01
"Bronny
James",LAL,9.0,G,,,Southern California,USA,75,210.0,jamesbr01
"LeBron
James",LAL,23.0,F,,,St. Vincent-St. Mary HS (OH),USA,81,250.0,jamesle01
"Jaime
Jaquez Jr.",MIA,11.0,G,,,UCLA,USA,78,225.0,jr.ja0100
"DaQuan
Jeffries",CHA,3.0,G,,,Tulsa,USA,77,222.0,jeffrda01
"Trey
Jemison III",LAL,55.0,C,,,Alabama-Birmingham,USA,83,270.0,iiitr0100
"Daniss
Jenkins",DET,24.0,G,,,St. John's,USA,75,165.0,jenkida01
"Ty
Jerome",CLE,2.0,G,,,Virginia,USA,77,195.0,jeromty01
"Isaiah
Joe",OKC,11.0,G,,,Arkansas,USA,75,165.0,joeis0100
"AJ
Johnson",WAS,5.0,G,,,Illawarra,USA,77,160.0,johnsaj01
"Cameron
Johnson",BKN,2.0,F,,,North Carolina,USA,80,210.0,johnsca01
"Jalen
Johnson",ATL,1.0,F,,,Duke,USA,80,219.0,johnsja01
"James
Johnson",IND,16.0,F,,,Wake Forest,USA,79,240.0,johnsja01
"Keldon
Johnson",SAS,0.0,F,,,Kentucky,USA,77,220.0,johnske01
"Keon
Johnson",BKN,45.0,G,,,Tennessee,USA,77,185.0,johnske01
"Keshad
Johnson",MIA,16.0,F,,,Arizona,USA,79,225.0,johnske01
"Nikola
Jokić",DEN,15.0,C,,,Mega Basket,Serbia,83,284.0,jokićni01
"Colby
Jones",WAS,1.0,G,,,Xavier,USA,78,207.0,jonesco01
"Dillon
Jones",OKC,3.0,F,,,Weber State,USA,77,235.0,jonesdi01
"Herbert
Jones",NOP,2.0,F,,,Alabama,USA,79,206.0,joneshe01
"Isaac
Jones",SAC,3.0,F,,,Washington State,USA,81,245.0,jonesis01
"Kai
Jones",DAL,23.0,C,,,Texas,Bahamas,83,221.0,joneska01
"Mason
Jones",SAC,15.0,G,,,Arkansas,USA,76,200.0,jonesma01
"Spencer
Jones",DEN,21.0,F,,,Stanford,USA,79,225.0,jonessp01
"Tre
Jones",CHI,30.0,G,,,Duke,USA,73,185.0,jonestr01
"Tyus
Jones",PHX,21.0,G,,,Duke,USA,73,196.0,jonesty01
"Derrick
Jones Jr.",LAC,55.0,F,,,UNLV,USA,78,210.0,jr.de0100
"DeAndre
Jordan",DEN,6.0,C,,,Texas A&M,USA,83,265.0,jordade01
"Cory
Joseph",ORL,10.0,G,,,Texas,Canada,74,200.0,josepco01
"Nikola
Jović",MIA,5.0,F,,,Mega Basket,Serbia,82,205.0,jovićni01
"Johnny
Juzang",UTA,33.0,G,,,UCLA,USA,77,226.0,juzanjo01
"Yuki
Kawamura",MEM,17.0,G,,,-,Japan,68,159.0,kawamyu01
"Kylor
Kelley",FA,FA,C,,,Oregon State,USA,84,230.0,kelleky01
"Luke
Kennard",MEM,10.0,G,,,Duke,USA,77,206.0,kennalu01
"Walker
Kessler",UTA,24.0,C,,,Auburn,USA,84,245.0,kesslwa01
"Braxton
Key",GSW,12.0,F,,,Virginia,USA,80,225.0,keybr0100
"Corey
Kispert",WAS,24.0,F,,,Gonzaga,USA,78,224.0,kispeco01
"Maxi
Kleber",LAL,14.0,F,,,Bayern Munich,Germany,82,240.0,klebema01
"Bobi
Klintman",DET,34.0,F,,,Cairns,Sweden,81,225.0,klintbo01
"Dalton
Knecht",LAL,4.0,F,,,Tennessee,USA,78,215.0,knechda01
"Kevin
Knox II",GSW,31.0,F,,,Kentucky,USA,80,215.0,iike01000
"Tyler
Kolek",NYK,13.0,G,,,Marquette,USA,75,195.0,kolekty01
"Christian
Koloko",LAL,10.0,C,,,Arizona,Cameroon,84,225.0,kolokch01
"John
Konchar",MEM,46.0,G,,,Indiana-Purdue Fort Wayne,USA,77,210.0,konchjo01
"Luke
Kornet",BOS,40.0,C,,,Vanderbilt,USA,85,250.0,kornelu01
"Vít
Krejčí",ATL,27.0,G,,,Zaragoza,Czech Republic,80,195.0,krejčví01
"Jonathan
Kuminga",GSW,0.0,F,,,NBA G League Ignite,DRC,79,225.0,kuminjo01
"Kyle
Kuzma",MIL,18.0,F,,,Utah,USA,81,221.0,kuzmaky01
"Skal
Labissiere",FA,FA,F,,,Kentucky,Haiti,82,235.0,labissk01
"Jock
Landale",HOU,2.0,C,,,St. Mary's,Australia,83,255.0,landajo01
"Jake
LaRavia",SAC,33.0,F,,,Wake Forest,USA,79,235.0,laravja01
"Pelle
Larsson",MIA,9.0,G,,,Arizona,Sweden,77,215.0,larsspe01
"Zach
LaVine",SAC,8.0,G,,,UCLA,USA,77,200.0,lavinza01
"A.J.
Lawson",TOR,0.0,G,,,South Carolina,Canada,78,179.0,lawsoa.01
"Damion
Lee",PHX,10.0,G,,,Drexel,USA,78,210.0,leeda0100
"Alex
Len",LAL,27.0,C,,,Maryland,Ukraine,84,250.0,lenal0100
"Kawhi
Leonard",LAC,2.0,F,,,San Diego State,USA,79,225.0,leonaka01
"Malevy
Leons",FA,FA,F,,,Bradley,Netherlands,81,210.0,leonsma01
"Caris
LeVert",ATL,3.0,G,,,Michigan,USA,78,205.0,leverca01
"Maxwell
Lewis",BKN,27.0,F,,,Pepperdine,USA,79,215.0,lewisma01
"E.J.
Liddell",CHI,32.0,F,,,Ohio State,USA,78,240.0,liddee.01
"Damian
Lillard",MIL,0.0,G,,,Weber State,USA,74,195.0,lillada01
"Dereck
Lively II",DAL,2.0,C,,,Duke,USA,85,230.0,iide01000
"Chris
Livingston",MIL,7.0,F,,,Kentucky,USA,78,220.0,livinch01
"Kevon
Looney",GSW,5.0,F,,,UCLA,USA,81,222.0,looneke01
"Brook
Lopez",MIL,11.0,C,,,Stanford,USA,85,282.0,lopezbr01
"Kevin
Love",MIA,42.0,F,,,UCLA,USA,80,251.0,loveke010
"Kyle
Lowry",PHI,7.0,G,,,Villanova,USA,72,196.0,lowryky01
"Seth
Lundy",LAC,5.0,G,,,Penn State,USA,76,220.0,lundyse01
"Trey
Lyles",SAC,41.0,F,,,Kentucky,Canada,81,234.0,lylestr01
"Sandro
Mamukelashvili",SAS,54.0,F,,,Seton Hall,Georgia,81,240.0,mamuksa01
"Terance
Mann",ATL,14.0,G,,,Florida State,USA,77,215.0,mannte010
"Tre
Mann",CHA,23.0,G,,,Florida,USA,75,178.0,manntr010
"Lauri
Markkanen",UTA,23.0,F,,,Arizona,Finland,84,240.0,markkla01
"Naji
Marshall",DAL,13.0,F,,,Xavier,USA,78,220.0,marshna01
"Caleb
Martin",DAL,16.0,F,,,Nevada,USA,77,205.0,martica01
