CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,PLUSMINUS
201950,Jrue Holiday,1610612738,BOS,G,34.0,62,62,0.606,3.81,7.42,0.513,0.541,-0.028
202699,Tobias Harris,1610612765,DET,F,32.0,73,73,0.619,3.86,7.38,0.523,0.546,-0.023
1630560,Cam Thomas,1610612751,BKN,G,23.0,25,24,0.639,4.32,7.36,0.587,0.556,0.031
1630178,Tyrese Maxey,1610612755,PHI,G,24.0,52,52,0.61,3.75,7.35,0.51,0.533,-0.022
1626164,Devin Booker,1610612756,PHX,G,28.0,75,75,0.597,4.03,7.32,0.55,0.544,0.006
1630224,Jalen Green,1610612745,HOU,G,23.0,82,82,0.648,3.8,7.3,0.521,0.534,-0.014
1631128,Christian Braun,1610612743,DEN,G,24.0,79,79,0.581,3.72,7.28,0.511,0.534,-0.023
1628983,Shai Gilgeous-Alexander,1610612760,OKC,G,26.0,76,76,0.582,3.72,7.26,0.513,0.545,-0.033
1628970,Miles Bridges,1610612766,CHA,F,27.0,63,63,0.573,3.71,7.25,0.512,0.551,-0.039
1628997,Caleb Martin,1610612742,DAL,F,29.0,45,45,0.612,4.09,7.24,0.564,0.531,0.033
1630583,Santi Aldama,1610612763,MEM,F-C,24.0,64,63,0.64,3.84,7.23,0.531,0.549,-0.018
1628973,Jalen Brunson,1610612752,NYK,G,28.0,64,64,0.591,4.16,7.22,0.576,0.532,0.044
203932,Aaron Gordon,1610612743,DEN,F,29.0,51,51,0.636,4.14,7.22,0.573,0.551,0.023
1629008,Michael Porter Jr.,1610612743,DEN,F,26.0,77,77,0.651,3.91,7.21,0.542,0.546,-0.004
1631095,Jabari Smith Jr.,1610612745,HOU,F,22.0,57,57,0.659,3.75,7.19,0.522,0.538,-0.016
1626156,D'Angelo Russell,1610612751,BKN,G,29.0,58,58,0.649,3.98,7.17,0.555,0.538,0.017
1629628,RJ Barrett,1610612761,TOR,F-G,24.0,58,58,0.584,3.98,7.16,0.557,0.542,0.015
202331,Paul George,1610612755,PHI,F,35.0,41,41,0.598,3.71,7.1,0.522,0.546,-0.024
1642272,Jared McCain,1610612755,PHI,G,21.0,23,23,0.647,4.35,7.09,0.613,0.534,0.079
1631212,Peyton Watson,1610612743,DEN,G,22.0,68,68,0.644,3.47,7.09,0.49,0.542,-0.053
1629632,Coby White,1610612741,CHI,G,25.0,74,74,0.6,4.08,7.04,0.58,0.53,0.05
1629614,Andrew Nembhard,1610612754,IND,G-F,25.0,65,65,0.589,3.78,7.03,0.538,0.531,0.007
1631097,Bennedict Mathurin,1610612754,IND,G-F,22.0,72,72,0.626,4.15,7.01,0.592,0.534,0.058
1641718,Keyonte George,1610612762,UTA,G,21.0,67,66,0.57,4.46,7.01,0.636,0.545,0.092
1642024,Alex Reese,1610612755,PHI,F-C,26.0,15,14,0.669,3.87,7.0,0.552,0.542,0.011
