GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS_RANK
Players,1627759,Jaylen Brown,Jaylen,1610612738,BOS,26.0,10,4,6,0.4,39.09333333333333,0.0,0.9,0.0,0.0,13.8,13.8,2.8,20.3,0.0,1.8,1.8,0.9,19.2,9,14,128,71,3,38,36,23,57,83,82,68,97,26,113,57,65,80
Players,1629669,Jaylen Nowell,Jaylen,1610612750,MIN,23.0,1,0,1,0.0,0.0366666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97,92,14,92,128,38,37,23,57,1,1,1,115,26,1,1,67,108
Players,1628369,Jayson Tatum,Jayson,1610612738,BOS,25.0,11,5,6,0.455,39.52666666666666,0.0,0.0,0.0,5.5,13.7,13.7,2.7,20.0,0.9,2.7,2.7,7.3,42.3,4,11,128,68,1,38,37,23,45,81,80,66,99,25,121,62,21,28
Players,202710,Jimmy Butler III,Jimmy,1610612748,MIA,33.0,10,7,3,0.7,34.24166666666667,8.4,2.1,4.2,8.4,9.5,10.5,0.0,31.5,1.1,2.1,5.3,14.7,63.9,9,4,98,19,9,15,34,13,28,52,68,1,57,22,118,84,3,7
Players,1629111,Jock Landale,Jock,1610612756,PHX,27.0,1,1,0,1.0,1.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.9,97,66,1,1,118,38,37,23,57,1,1,1,115,26,1,1,67,32
Players,204060,Joe Ingles,Joe,1610612749,MIL,35.0,1,0,1,0.0,0.0383333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97,92,14,92,127,38,37,23,57,1,1,1,115,26,1,1,67,108
Players,203954,Joel Embiid,Joel,1610612755,PHI,29.0,4,2,2,0.5,18.73333333333333,0.0,7.7,0.0,0.0,9.6,13.5,9.6,23.1,1.9,3.8,3.8,5.8,23.3,38,37,56,47,29,38,12,23,57,53,78,97,83,14,127,75,32,69
Players,1628381,John Collins,John,1610612737,ATL,25.0,3,1,2,0.333,6.191666666666666,0.0,0.0,0.0,0.0,0.0,11.6,0.0,46.5,0.0,0.0,5.8,0.0,7.0,61,66,56,76,74,38,37,23,57,1,72,1,24,26,1,92,67,104
Players,1629673,Jordan Poole,Jordan,1610612744,GSW,24.0,3,1,2,0.333,5.631666666666667,0.0,0.0,0.0,0.0,12.8,0.0,19.2,38.4,0.0,0.0,12.8,0.0,12.8,61,66,56,76,79,38,37,23,57,76,1,117,45,26,1,125,67,92
Players,1628404,Josh Hart,Josh,1610612752,NYK,28.0,4,2,2,0.5,12.621666666666666,5.7,8.6,0.0,5.7,28.5,5.7,11.4,45.6,0.0,0.0,5.7,8.6,53.6,38,37,56,47,47,28,10,23,41,117,55,105,26,26,1,89,12,13
Players,1629006,Josh Okogie,Josh,1610612756,PHX,24.0,3,2,1,0.667,3.458333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8,0.0,0.0,0.0,0.0,46.8,61,37,14,21,106,38,37,23,57,1,1,1,92,26,1,1,67,20
Players,201950,Jrue Holiday,Jrue,1610612749,MIL,33.0,2,0,2,0.0,12.451666666666666,0.0,0.0,0.0,0.0,11.6,23.1,17.3,34.7,0.0,2.9,5.8,5.8,11.6,75,92,56,92,49,38,37,23,57,65,115,112,49,26,124,91,30,94
Players,203944,Julius Randle,Julius,1610612752,NYK,28.0,4,3,1,0.75,14.561666666666667,0.0,4.9,0.0,0.0,17.3,4.9,9.9,39.6,0.0,0.0,2.5,2.5,21.3,38,22,14,14,40,38,22,23,57,100,54,98,42,26,1,60,53,71
Players,1626157,Karl-Anthony Towns,Karl-Anthony,1610612750,MIN,27.0,4,1,3,0.25,9.698333333333334,11.1,0.0,0.0,14.8,7.4,26.0,0.0,59.4,3.7,0.0,14.8,7.4,44.5,38,66,98,88,60,11,37,23,13,46,121,1,6,4,1,128,20,24
Players,202695,Kawhi Leonard,Kawhi,1610612746,LAC,32.0,1,1,0,1.0,4.983333333333333,0.0,21.7,0.0,0.0,36.1,0.0,21.7,57.8,0.0,0.0,7.2,0.0,47.0,97,66,1,1,89,38,2,23,57,123,1,122,8,26,1,107,67,19
Players,1631099,Keegan Murray,Keegan,1610612758,SAC,22.0,2,0,2,0.0,4.216666666666667,0.0,0.0,0.0,0.0,17.1,0.0,17.1,34.2,0.0,0.0,0.0,0.0,20.5,75,92,56,92,101,38,37,23,57,99,1,110,53,26,1,1,67,74
Players,203484,Kentavious Caldwell-Pope,Kentavious,1610612743,DEN,30.0,11,7,4,0.636,27.75333333333333,2.6,0.0,0.0,5.2,5.2,9.1,0.0,18.2,1.3,0.0,1.3,1.3,31.5,4,4,114,32,17,35,37,23,46,41,64,1,101,17,1,53,61,52
Players,201142,Kevin Durant,Kevin,1610612756,PHX,34.0,6,4,2,0.667,15.735,9.2,6.9,4.6,4.6,6.9,16.0,6.9,22.9,0.0,2.3,0.0,13.7,37.1,22,14,56,21,36,13,14,12,49,43,93,81,84,26,119,1,6,38
Players,1628989,Kevin Huerter,Kevin,1610612758,SAC,24.0,1,1,0,1.0,3.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,0.0,0.0,97,66,1,1,103,38,37,23,57,1,1,1,115,26,1,117,67,108
Players,201567,Kevin Love,Kevin,1610612748,MIA,34.0,4,2,2,0.5,5.816666666666666,0.0,0.0,0.0,0.0,12.4,12.4,0.0,24.8,0.0,0.0,12.4,0.0,7.4,38,37,56,47,76,38,37,23,57,72,75,1,77,26,1,124,67,102
Players,1626172,Kevon Looney,Kevon,1610612744,GSW,27.0,6,2,4,0.333,15.743333333333334,0.0,0.0,0.0,0.0,20.6,22.9,13.7,36.6,0.0,0.0,11.4,2.3,24.7,22,37,114,76,35,38,37,23,57,103,113,107,48,26,1,121,55,68
Players,203114,Khris Middleton,Khris,1610612749,MIL,31.0,2,0,2,0.0,11.24,0.0,0.0,0.0,0.0,12.8,25.6,19.2,38.4,0.0,0.0,6.4,3.2,28.5,75,92,56,92,56,38,37,23,57,77,120,118,44,26,1,98,49,54
Players,202691,Klay Thompson,Klay,1610612744,GSW,33.0,6,2,4,0.333,25.343333333333334,9.9,0.0,2.8,0.0,12.8,18.5,9.9,28.4,0.0,0.0,0.0,1.4,28.3,22,37,114,76,19,12,37,17,57,75,99,100,63,26,1,1,59,55
Players,203937,Kyle Anderson,Kyle,1610612750,MIN,29.0,1,0,1,0.0,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.3,0.0,0.0,0.0,0.0,0.0,97,92,14,92,122,38,37,23,57,1,1,1,1,26,1,1,67,108
Players,200768,Kyle Lowry,Kyle,1610612748,MIA,37.0,9,6,3,0.667,20.805,0.0,0.0,0.0,6.9,12.1,13.8,0.0,31.1,1.7,0.0,6.9,0.0,38.4,14,9,98,21,25,38,37,23,34,69,83,1,58,15,1,103,67,34
Players,1629013,Landry Shamet,Landry,1610612756,PHX,26.0,4,3,1,0.75,7.218333333333334,0.0,0.0,0.0,0.0,15.0,10.0,15.0,39.9,0.0,0.0,5.0,5.0,5.0,38,22,14,14,73,38,37,23,57,94,66,108,41,26,1,82,35,107
Players,2544,LeBron James,LeBron,1610612747,LAL,38.0,7,4,3,0.571,31.211666666666662,0.0,2.3,1.2,9.2,13.8,1.2,6.9,23.1,1.2,1.2,1.2,6.9,37.9,17,14,98,43,10,38,32,22,25,84,47,83,80,21,109,50,25,36
Players,1629022,Lonnie Walker IV,Lonnie,1610612747,LAL,24.0,1,1,0,1.0,5.016666666666667,0.0,0.0,0.0,14.4,14.4,0.0,0.0,28.7,0.0,0.0,0.0,14.4,51.7,97,66,1,1,88,38,37,23,14,92,1,1,62,26,1,1,5,16
Players,1628379,Luke Kennard,Luke,1610612763,MEM,27.0,2,0,2,0.0,0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,92,56,92,121,38,37,23,57,1,1,1,115,26,1,1,67,108
Players,1627763,Malcolm Brogdon,Malcolm,1610612738,BOS,30.0,8,3,5,0.375,21.49,0.0,0.0,0.0,0.0,10.1,11.7,5.0,26.8,1.7,0.0,10.1,1.7,19.6,15,22,127,75,24,38,37,23,57,58,73,75,71,16,1,120,58,78
Players,1628370,Malik Monk,Malik,1610612758,SAC,25.0,4,2,2,0.5,17.56,4.1,4.1,4.1,4.1,14.4,0.0,4.1,20.5,0.0,2.1,2.1,12.3,50.4,38,37,56,47,31,32,27,15,51,89,1,70,94,26,116,59,7,18
Players,203935,Marcus Smart,Marcus,1610612738,BOS,29.0,10,4,6,0.4,35.55,6.1,0.0,3.0,12.2,15.2,15.2,3.0,22.3,0.0,0.0,4.1,7.1,32.9,9,14,128,71,8,25,37,16,22,96,90,69,88,26,1,78,22,50
Players,203486,Mason Plumlee,Mason,1610612746,LAC,33.0,1,0,1,0.0,2.795,0.0,0.0,0.0,0.0,51.5,0.0,25.8,25.8,0.0,0.0,12.9,0.0,0.0,97,92,14,92,111,38,37,23,57,129,1,125,74,26,1,126,67,108
Players,1629622,Max Strus,Max,1610612748,MIA,27.0,7,4,3,0.571,23.398333333333333,1.5,0.0,0.0,0.0,10.8,15.4,0.0,24.6,0.0,0.0,6.2,7.7,25.2,17,14,98,43,21,37,37,23,57,59,91,1,78,26,1,96,19,64
Players,1629008,Michael Porter Jr.,Michael,1610612743,DEN,25.0,11,7,4,0.636,28.633333333333333,0.0,3.8,0.0,0.0,12.6,6.3,2.5,22.6,1.3,0.0,7.5,0.0,19.9,4,4,114,32,15,38,29,23,57,73,56,65,87,18,1,109,67,76
Players,1628969,Mikal Bridges,Mikal,1610612751,BKN,26.0,1,0,1,0.0,5.1,0.0,0.0,0.0,14.1,28.2,21.2,28.2,42.4,0.0,0.0,7.1,0.0,14.1,97,92,14,92,82,38,37,23,16,111,108,126,34,26,1,105,67,88
Players,201144,Mike Conley,Mike,1610612750,MIN,35.0,4,1,3,0.25,12.68,0.0,0.0,0.0,0.0,11.4,19.9,5.7,51.1,0.0,0.0,5.7,2.8,36.9,38,66,98,88,45,38,37,23,57,62,103,77,14,26,1,87,51,40
Players,1629011,Mitchell Robinson,Mitchell,1610612752,NYK,25.0,5,3,2,0.6,8.501666666666667,0.0,4.2,0.0,0.0,33.9,8.5,16.9,59.3,0.0,0.0,0.0,4.2,9.3,30,22,56,36,67,38,25,23,57,119,62,109,7,26,1,1,41,100
Players,1630541,Moses Moody,Moses,1610612744,GSW,21.0,2,0,2,0.0,5.466666666666667,0.0,0.0,0.0,0.0,0.0,13.2,0.0,13.2,0.0,0.0,6.6,0.0,0.0,75,92,56,92,80,38,37,23,57,1,77,1,110,26,1,100,67,108
