player,age,team,pos,g,gs,mp,fg,fga,fg_pct,3p,3pa,3p_pct,2p,2pa,2p_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,player_id
Giannis Antetokounmpo,30.0,MIL,PF,67.0,67.0,2289.0,12.5,20.7,0.601,0.2,1.0,0.222,12.3,19.8,0.62,0.607,6.9,11.1,0.617,2.3,10.2,12.6,6.8,0.9,1.2,3.2,2.4,32.0,antetgi01
Malik Beasley,28.0,DET,SG,82.0,18.0,2283.0,7.3,16.9,0.43,5.0,12.1,0.416,2.2,4.8,0.466,0.579,1.5,2.2,0.679,0.7,2.6,3.4,2.2,1.2,0.1,1.3,2.0,21.1,beaslma01
Kentavious Caldwell-Pope,31.0,ORL,SG,77.0,77.0,2279.0,3.8,8.6,0.439,1.8,5.2,0.342,2.0,3.4,0.589,0.543,1.3,1.5,0.863,0.5,2.1,2.7,2.1,1.6,0.5,1.0,2.1,10.6,caldwke01
Nikola Vučević,34.0,CHI,C,73.0,72.0,2278.0,8.7,16.4,0.53,2.0,5.1,0.402,6.7,11.3,0.587,0.592,1.9,2.4,0.805,2.8,8.8,11.6,4.0,1.0,0.8,1.9,2.6,21.3,vucevni01
Payton Pritchard,27.0,BOS,PG,80.0,3.0,2271.0,6.5,13.7,0.472,4.0,9.9,0.407,2.4,3.8,0.642,0.62,1.1,1.3,0.845,1.6,3.2,4.9,4.4,1.1,0.2,1.3,1.9,18.1,pritcpa01
Kevin Durant,36.0,PHO,PF,62.0,62.0,2265.0,9.4,17.9,0.527,2.5,5.9,0.43,6.9,12.0,0.574,0.598,4.8,5.7,0.839,0.4,5.6,5.9,4.2,0.8,1.2,3.0,1.7,26.2,duranke01
Shaedon Sharpe,21.0,POR,SG,72.0,52.0,2252.0,8.0,17.6,0.452,2.3,7.5,0.311,5.6,10.1,0.557,0.519,3.0,3.9,0.785,1.1,4.1,5.2,3.2,1.0,0.3,2.4,1.9,21.3,sharpsh01
Stephen Curry,36.0,GSW,PG,70.0,70.0,2252.0,9.0,20.1,0.448,5.0,12.5,0.397,4.0,7.6,0.534,0.572,4.5,4.8,0.933,0.6,4.3,5.0,6.7,1.3,0.5,3.2,1.5,27.5,curryst01
De'Aaron Fox,27.0,2TM,PG,62.0,62.0,2241.0,8.7,18.7,0.463,1.9,6.1,0.31,6.8,12.6,0.538,0.514,4.2,5.1,0.827,0.9,3.9,4.8,6.3,1.5,0.4,2.8,2.6,23.4,foxde01
De'Aaron Fox,27.0,SAC,PG,45.0,45.0,1663.0,9.0,19.1,0.469,2.0,6.2,0.322,7.0,12.9,0.539,0.521,4.4,5.3,0.829,1.0,3.9,4.9,6.0,1.4,0.4,2.9,2.6,24.3,foxde01
De'Aaron Fox,27.0,SAS,PG,17.0,17.0,578.0,7.8,17.4,0.446,1.6,5.9,0.274,6.2,11.5,0.535,0.493,3.7,4.5,0.819,0.6,4.0,4.5,7.2,1.6,0.3,2.6,2.9,20.9,foxde01
Jalen Williams,23.0,OKC,SG,69.0,69.0,2237.0,9.1,18.8,0.484,2.0,5.5,0.365,7.1,13.3,0.533,0.537,3.8,4.8,0.789,0.9,5.0,5.9,5.7,1.8,0.7,2.4,2.5,24.0,willija06
Donovan Mitchell,28.0,CLE,SG,71.0,71.0,2232.0,9.4,21.3,0.443,3.8,10.2,0.368,5.7,11.1,0.512,0.531,4.8,5.8,0.823,0.9,4.3,5.2,5.7,1.5,0.3,2.4,2.3,27.4,mitchdo01
Harrison Barnes,32.0,SAS,PF,82.0,82.0,2230.0,5.6,11.0,0.508,2.5,5.8,0.433,3.1,5.2,0.591,0.622,2.6,3.2,0.809,1.6,3.4,5.0,2.2,0.6,0.2,0.8,1.2,16.3,barneha02
Julius Randle,30.0,MIN,PF,69.0,69.0,2226.0,7.4,15.2,0.485,1.7,5.1,0.344,5.6,10.1,0.555,0.542,4.4,5.4,0.806,2.3,5.5,7.9,5.2,0.8,0.3,3.2,2.8,20.8,randlju01
Amen Thompson,22.0,HOU,SF,69.0,42.0,2225.0,6.3,11.3,0.557,0.4,1.5,0.275,5.9,9.8,0.599,0.575,2.7,4.0,0.684,3.1,6.0,9.1,4.3,1.6,1.4,2.2,2.7,15.7,thompam01
Jaren Jackson Jr.,25.0,MEM,C,74.0,74.0,2207.0,9.7,19.8,0.488,2.4,6.3,0.375,7.3,13.4,0.541,0.548,5.1,6.5,0.781,1.5,5.3,6.8,2.4,1.5,1.8,2.5,4.2,26.8,jacksja02
Desmond Bane,26.0,MEM,SG,69.0,68.0,2205.0,8.0,16.6,0.484,2.7,6.8,0.392,5.4,9.8,0.548,0.565,2.9,3.2,0.894,1.0,5.8,6.8,6.0,1.3,0.5,2.8,2.7,21.7,banede01
Naz Reid,25.0,MIN,C,80.0,17.0,2200.0,7.0,15.1,0.462,2.9,7.6,0.379,4.1,7.5,0.544,0.556,1.8,2.3,0.776,1.5,6.3,7.9,3.0,0.9,1.2,1.8,3.1,18.6,reidna01
Tyus Jones,28.0,PHO,PG,81.0,58.0,2174.0,5.1,11.3,0.448,2.7,6.6,0.414,2.3,4.7,0.496,0.57,0.8,0.9,0.895,0.7,2.6,3.2,7.1,1.1,0.1,1.5,1.0,13.7,jonesty01
Myles Turner,28.0,IND,C,72.0,72.0,2174.0,6.5,13.4,0.481,2.6,6.5,0.396,3.9,6.9,0.561,0.577,3.0,3.9,0.773,1.5,6.3,7.8,1.8,0.9,2.4,2.0,3.0,18.5,turnemy01
Evan Mobley,23.0,CLE,PF,71.0,71.0,2167.0,8.4,15.1,0.557,1.4,3.8,0.37,7.0,11.2,0.621,0.604,3.7,5.1,0.725,2.7,8.2,10.9,3.8,1.0,1.9,2.4,2.3,21.9,mobleev01
Taurean Prince,30.0,MIL,SF,80.0,73.0,2166.0,3.9,8.5,0.457,2.4,5.6,0.439,1.5,3.0,0.492,0.6,0.6,0.8,0.813,0.6,4.2,4.8,2.6,1.3,0.2,1.4,2.7,10.9,princta02
Stephon Castle,20.0,SAS,PG,81.0,47.0,2162.0,7.0,16.5,0.428,1.6,5.5,0.285,5.5,10.9,0.501,0.476,4.1,5.7,0.724,1.5,3.5,4.9,5.5,1.2,0.4,2.9,2.7,19.8,castlst01
Deni Avdija,24.0,POR,SF,72.0,54.0,2161.0,6.7,14.1,0.476,2.1,5.7,0.365,4.6,8.4,0.552,0.55,4.8,6.2,0.78,1.8,6.9,8.7,4.7,1.2,0.6,3.3,2.8,20.3,avdijde01
Jaylen Brown,28.0,BOS,SF,63.0,63.0,2158.0,8.6,18.7,0.463,1.9,6.0,0.324,6.7,12.7,0.529,0.515,4.1,5.4,0.764,1.4,4.8,6.1,4.8,1.2,0.3,2.7,2.6,23.3,brownja02
Tim Hardaway Jr.,32.0,DET,SG,77.0,77.0,2153.0,4.6,11.4,0.406,2.8,7.6,0.368,1.8,3.7,0.484,0.529,2.1,2.4,0.855,0.3,2.8,3.1,2.1,0.6,0.1,0.8,1.6,14.1,hardati02
Bennedict Mathurin,22.0,IND,SF,72.0,49.0,2149.0,6.6,14.3,0.458,1.6,4.8,0.34,4.9,9.5,0.519,0.516,4.6,5.6,0.831,1.5,5.0,6.4,2.3,0.8,0.4,2.3,2.7,19.4,mathube01
Spencer Dinwiddie,31.0,DAL,PG,79.0,30.0,2136.0,4.8,11.5,0.416,1.8,5.5,0.334,2.9,6.0,0.492,0.496,3.3,4.1,0.802,0.3,3.2,3.5,5.9,1.2,0.3,1.7,2.0,14.7,dinwisp01
Scottie Barnes,23.0,TOR,PF,65.0,65.0,2134.0,8.0,17.9,0.446,1.3,4.7,0.271,6.7,13.2,0.508,0.482,3.8,5.1,0.755,1.8,6.6,8.5,6.4,1.6,1.1,3.1,1.9,21.1,barnesc01
Max Christie,21.0,2TM,SG,78.0,36.0,2127.0,4.3,10.0,0.427,1.9,5.3,0.366,2.3,4.7,0.496,0.525,2.2,2.6,0.855,0.6,3.7,4.4,2.5,1.1,0.5,1.5,1.9,12.7,chrisma02
Max Christie,21.0,LAL,SG,46.0,25.0,1154.0,4.0,9.0,0.444,1.9,5.1,0.368,2.1,3.9,0.544,0.549,2.3,2.7,0.851,0.8,3.1,3.8,2.1,1.1,0.7,1.2,2.3,12.2,chrisma02
Max Christie,21.0,DAL,SG,32.0,11.0,973.0,4.6,11.2,0.411,2.0,5.6,0.364,2.6,5.6,0.457,0.502,2.1,2.4,0.862,0.5,4.5,5.0,3.0,1.1,0.4,1.8,1.6,13.3,chrisma02
Josh Giddey,22.0,CHI,PG,70.0,69.0,2117.0,6.3,13.6,0.465,1.8,4.7,0.378,4.5,8.8,0.512,0.531,3.0,3.8,0.781,2.2,7.5,9.6,8.6,1.4,0.8,3.4,2.1,17.4,giddejo01
Fred VanVleet,30.0,HOU,PG,60.0,60.0,2111.0,4.9,12.9,0.378,2.7,7.9,0.345,2.2,5.1,0.43,0.483,1.9,2.3,0.81,0.5,3.2,3.8,5.7,1.6,0.4,1.5,2.4,14.4,vanvlfr01
Keyonte George,21.0,UTA,PG,67.0,35.0,2109.0,6.1,15.7,0.391,3.0,8.7,0.343,3.2,7.0,0.449,0.485,4.0,4.9,0.818,0.4,3.9,4.3,6.4,0.8,0.2,3.1,1.9,19.2,georgke01
Dennis Schröder,31.0,3TM,PG,75.0,49.0,2105.0,5.7,14.1,0.406,2.2,6.3,0.342,3.6,7.8,0.458,0.483,3.1,3.7,0.838,0.5,2.9,3.4,6.9,1.1,0.2,2.4,3.1,16.8,schrode01
Dennis Schröder,31.0,BRK,PG,23.0,23.0,772.0,6.9,15.2,0.452,2.7,7.0,0.387,4.2,8.2,0.509,0.542,3.4,3.8,0.889,0.2,3.0,3.2,7.1,1.2,0.2,2.8,2.6,19.8,schrode01
Dennis Schröder,31.0,GSW,SG,24.0,18.0,628.0,5.4,14.4,0.375,2.1,6.6,0.322,3.3,7.8,0.419,0.448,1.7,2.2,0.744,0.6,2.6,3.2,6.0,1.4,0.2,2.8,3.8,14.6,schrode01
Dennis Schröder,31.0,DET,PG,28.0,8.0,705.0,4.9,12.8,0.378,1.6,5.4,0.302,3.2,7.4,0.434,0.442,4.1,4.9,0.833,0.7,3.1,3.8,7.5,0.8,0.3,1.8,2.9,15.4,schrode01
Damian Lillard,34.0,MIL,PG,58.0,58.0,2093.0,7.6,17.1,0.448,3.4,9.0,0.376,4.2,8.0,0.528,0.547,6.2,6.8,0.921,0.5,4.2,4.7,7.1,1.2,0.2,2.8,1.7,24.9,lillada01
Russell Westbrook,36.0,DEN,PG,75.0,36.0,2092.0,6.4,14.3,0.449,1.6,5.0,0.323,4.8,9.3,0.517,0.505,2.7,4.0,0.661,1.8,4.6,6.4,7.9,1.8,0.6,4.2,3.2,17.1,westbru01
Kelly Oubre Jr.,29.0,PHI,SF,60.0,57.0,2078.0,6.0,12.8,0.47,1.2,4.2,0.293,4.8,8.6,0.555,0.518,2.4,3.2,0.751,1.7,4.7,6.4,1.9,1.6,0.5,1.4,3.1,15.7,oubreke01
Nickeil Alexander-Walker,26.0,MIN,SG,82.0,10.0,2073.0,4.7,10.7,0.438,2.4,6.4,0.381,2.2,4.3,0.524,0.553,1.6,2.0,0.78,0.9,3.7,4.6,3.9,0.9,0.6,1.7,2.4,13.4,alexani01
Luguentz Dort,25.0,OKC,SF,71.0,71.0,2073.0,4.5,10.3,0.435,3.0,7.2,0.412,1.5,3.1,0.489,0.578,0.6,0.8,0.717,1.5,3.5,5.1,2.0,1.4,0.7,0.9,3.6,12.5,dortlu01
Onyeka Okongwu,24.0,ATL,C,74.0,40.0,2064.0,6.8,11.9,0.567,0.8,2.6,0.324,5.9,9.3,0.634,0.602,2.9,3.8,0.759,3.8,7.7,11.5,2.9,1.2,1.2,1.6,3.4,17.2,okongon01
Malik Monk,26.0,SAC,SG,65.0,45.0,2054.0,7.2,16.5,0.439,2.4,7.5,0.325,4.8,9.0,0.534,0.513,2.7,3.1,0.865,0.5,3.8,4.3,6.3,1.1,0.7,2.8,2.8,19.6,monkma01
Jaylen Wells,21.0,MEM,SG,79.0,74.0,2043.0,5.1,11.9,0.425,2.4,6.9,0.352,2.6,5.0,0.525,0.527,2.0,2.4,0.822,1.5,3.2,4.7,2.4,0.8,0.1,1.2,2.6,14.5,wellsja01
Jalen Duren,21.0,DET,C,78.0,78.0,2034.0,6.7,9.7,0.692,0.0,0.0,,6.7,9.7,0.692,0.692,2.9,4.3,0.669,4.9,9.4,14.3,3.7,1.0,1.6,2.4,4.4,16.2,durenja01
Jalen Wilson,24.0,BRK,PF,79.0,22.0,2031.0,4.4,11.0,0.397,2.2,6.4,0.337,2.2,4.6,0.481,0.495,2.4,2.9,0.818,1.3,3.5,4.8,2.6,0.7,0.1,1.4,2.9,13.3,wilsoja03
Miles Bridges,26.0,CHO,PF,64.0,64.0,2029.0,8.3,19.3,0.431,2.5,8.0,0.313,5.8,11.3,0.513,0.495,3.9,4.5,0.87,1.3,7.3,8.5,4.4,0.8,0.8,2.4,1.7,23.1,bridgmi02
Davion Mitchell,26.0,2TM,PG,74.0,37.0,2027.0,4.0,8.5,0.468,1.5,3.7,0.398,2.5,4.7,0.525,0.557,1.0,1.5,0.69,0.6,2.3,3.0,6.4,1.3,0.3,2.3,3.3,10.4,mitchda01
Davion Mitchell,26.0,TOR,PG,44.0,22.0,1080.0,3.5,8.1,0.434,1.4,3.9,0.359,2.1,4.2,0.504,0.52,0.8,1.2,0.676,0.5,2.3,2.8,6.8,1.0,0.3,2.6,3.9,9.3,mitchda01
Davion Mitchell,26.0,MIA,PG,30.0,15.0,947.0,4.4,8.8,0.504,1.6,3.6,0.447,2.9,5.2,0.543,0.595,1.3,1.8,0.702,0.7,2.4,3.1,6.1,1.6,0.3,1.9,2.6,11.7,mitchda01
Franz Wagner,23.0,ORL,SF,60.0,60.0,2023.0,9.6,20.7,0.463,1.9,6.3,0.295,7.7,14.4,0.535,0.507,4.8,5.5,0.871,1.0,5.1,6.1,5.1,1.3,0.4,2.5,2.6,25.8,wagnefr01
Quentin Grimes,24.0,2TM,SG,75.0,37.0,2013.0,6.9,14.7,0.467,2.9,7.5,0.385,4.0,7.2,0.552,0.565,2.9,3.8,0.757,1.1,4.7,5.8,4.1,1.3,0.4,2.5,2.5,19.5,grimequ01
Quentin Grimes,24.0,DAL,SG,47.0,12.0,1070.0,5.7,12.3,0.463,2.7,6.8,0.398,3.0,5.5,0.543,0.573,2.1,2.7,0.765,1.0,5.0,6.0,3.4,1.1,0.3,2.1,2.6,16.1,grimequ01
Quentin Grimes,24.0,PHI,SG,28.0,25.0,943.0,8.2,17.5,0.469,3.1,8.4,0.373,5.1,9.1,0.559,0.559,3.8,5.1,0.752,1.1,4.4,5.5,4.8,1.6,0.5,3.1,2.3,23.4,grimequ01
Jordan Poole,25.0,WAS,SG,68.0,68.0,2001.0,8.2,19.0,0.432,4.2,11.2,0.378,4.0,7.8,0.51,0.544,4.4,4.9,0.883,0.6,3.1,3.7,5.5,1.5,0.5,3.7,3.6,25.0,poolejo01
Draymond Green,34.0,GSW,PF,68.0,66.0,1983.0,3.9,9.2,0.424,1.5,4.5,0.325,2.5,4.8,0.517,0.503,1.8,2.7,0.687,1.3,6.2,7.5,7.0,1.8,1.3,3.2,4.0,11.1,greendr01
Devin Vassell,24.0,SAS,SG,64.0,53.0,1983.0,7.2,16.1,0.443,2.9,7.8,0.368,4.3,8.4,0.513,0.532,1.7,2.2,0.792,0.6,4.0,4.6,3.3,1.5,0.6,1.6,2.0,18.9,vassede01
Klay Thompson,34.0,DAL,SF,72.0,72.0,1965.0,6.6,16.1,0.412,4.0,10.1,0.391,2.7,5.9,0.448,0.535,1.2,1.4,0.905,0.8,3.7,4.5,2.7,0.9,0.5,1.6,1.5,18.4,thompkl01
Tyrese Maxey,24.0,PHI,PG,52.0,52.0,1960.0,8.8,20.0,0.437,3.0,8.8,0.337,5.8,11.3,0.515,0.511,4.7,5.3,0.879,0.3,2.9,3.2,5.8,1.7,0.4,2.3,2.1,25.1,maxeyty01
Norman Powell,31.0,LAC,SG,60.0,60.0,1958.0,8.4,17.4,0.484,3.3,7.9,0.418,5.1,9.5,0.538,0.578,3.9,4.9,0.804,0.4,3.1,3.5,2.3,1.3,0.2,2.0,2.1,24.0,powelno01
