season,player_id,player_name,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2023-24,1631298,Jack White,Jack,1610612763,MEM,Memphis Grizzlies,22301158,2024-04-10T00:00:00,MEM @ CLE,L,14.648333333333332,0,3,0.0,0,1,0.0,0,0,0.0,2,2,4,1,1,1,0,0,0,0,0,-5,8.3,0,0,7.0,1,13252,13252,13252,19566,22557,19584,22557,14651,16961,14651,13417,14233,13417,3105,13100,9569,14131,8468,4430,8529,1,1,17532,23140,17506,20515,2248,138,20822,1,14:39,2023,2024
2023-24,1630285,Zavier Simpson,Zavier,1610612763,MEM,Memphis Grizzlies,22301158,2024-04-10T00:00:00,MEM @ CLE,L,24.366666666666667,2,5,0.4,0,1,0.0,0,0,0.0,1,7,8,4,1,1,0,2,5,0,4,-7,21.6,0,0,18.0,1,13252,13252,13252,12550,15517,15951,15260,14651,16961,14651,13417,14233,13417,6495,1913,2854,4938,8468,4430,8529,23757,25189,17532,18488,19219,11824,2248,138,13299,1,24:22,2023,2024
2023-24,1630590,Scotty Pippen Jr.,Scotty,1610612763,MEM,Memphis Grizzlies,22301158,2024-04-10T00:00:00,MEM @ CLE,L,35.77166666666667,7,15,0.467,2,4,0.5,2,2,1.0,2,2,4,6,3,2,0,2,3,4,18,4,34.8,0,0,34.0,1,13252,13252,13252,3149,3981,3661,12709,4439,7844,4049,6103,7481,1,3105,13100,9569,2326,1850,1349,8529,23757,18879,2625,4872,8492,5135,2248,138,4739,1,35:46,2023,2024
2023-24,1630285,Zavier Simpson,Zavier,1610612763,MEM,Memphis Grizzlies,22301151,2024-04-09T00:00:00,MEM vs. SAS,L,30.616666666666667,5,15,0.333,2,6,0.333,0,0,0.0,0,3,3,5,2,1,0,2,0,0,12,-10,24.1,0,0,24.0,1,13252,13252,13252,7455,7292,3661,17629,4439,3921,9124,13417,14233,13417,13449,9402,12548,3413,4132,4430,8529,23757,1,17532,9297,21324,10306,2248,138,9599,1,30:37,2023,2024
2023-24,1631298,Jack White,Jack,1610612763,MEM,Memphis Grizzlies,22301151,2024-04-09T00:00:00,MEM vs. SAS,L,25.516666666666666,2,7,0.286,2,5,0.4,0,0,0.0,0,2,2,0,0,1,1,0,1,0,6,-13,14.4,0,0,14.0,1,13252,13252,13252,11626,15517,12577,19775,4439,5663,7875,13417,14233,13417,13449,13100,15973,19657,16035,4430,2720,1,6163,17532,15809,22947,16483,2248,138,16037,1,25:31,2023,2024
2023-24,1641998,Trey Jemison III,Trey,1610612763,MEM,Memphis Grizzlies,22301151,2024-04-09T00:00:00,MEM vs. SAS,L,30.166666666666668,6,14,0.429,0,0,0.0,2,2,1.0,5,4,9,2,1,1,1,2,3,1,14,-4,32.8,0,0,29.0,1,13252,13252,13252,7827,5451,4371,14111,14651,20560,14651,6103,7481,1,361,6490,2119,9909,8468,4430,2720,23757,18879,11166,7525,16567,5908,2248,138,6880,1,30:10,2023,2024
2023-24,1641713,GG Jackson,GG,1610612763,MEM,Memphis Grizzlies,22301151,2024-04-09T00:00:00,MEM vs. SAS,L,27.6,4,17,0.235,2,8,0.25,1,2,0.5,1,3,4,2,0,0,1,3,1,3,11,-14,21.8,0,0,21.0,1,13252,13252,13252,9954,9679,2448,21212,4439,1806,11776,10099,7481,10591,6495,9402,9569,9909,16035,12108,2720,25688,6163,4296,10286,23404,11704,2248,138,11363,1,27:36,2023,2024
2023-24,1629634,Brandon Clarke,Brandon,1610612763,MEM,Memphis Grizzlies,22301151,2024-04-09T00:00:00,MEM vs. SAS,L,27.0,7,12,0.583,0,1,0.0,0,0,0.0,0,1,1,0,0,1,1,1,1,0,14,-13,21.2,0,0,19.0,1,13252,13252,13252,10437,3981,6130,6644,14651,16961,14651,13417,14233,13417,13449,17515,19646,19657,16035,4430,2720,17336,6163,17532,7525,22947,12092,2248,138,12632,1,27:00,2023,2024
2023-24,1630590,Scotty Pippen Jr.,Scotty,1610612763,MEM,Memphis Grizzlies,22301151,2024-04-09T00:00:00,MEM vs. SAS,L,31.5,4,15,0.267,0,5,0.0,6,7,0.857,2,5,7,5,3,4,1,1,2,7,14,-3,41.9,0,0,36.0,1,13252,13252,13252,6701,9679,3661,20314,14651,5663,14651,1214,1401,7116,3105,4442,3886,3413,1850,95,2720,17336,13042,505,7525,15642,2807,2248,138,4037,1,31:30,2023,2024
2023-24,1641851,Timmy Allen,Timmy,1610612763,MEM,Memphis Grizzlies,22301151,2024-04-09T00:00:00,MEM vs. SAS,L,31.45,3,9,0.333,0,3,0.0,0,0,0.0,1,3,4,2,0,2,0,1,4,0,6,-11,19.8,0,0,16.0,1,13252,13252,13252,6737,12407,9591,17629,14651,10539,14651,13417,14233,13417,6495,9402,9569,9909,16035,1349,8529,17336,22902,17532,15809,21910,12933,2248,138,14655,1,31:27,2023,2024
2023-24,1630692,Jordan Goodwin,Jordan,1610612763,MEM,Memphis Grizzlies,22301151,2024-04-09T00:00:00,MEM vs. SAS,L,36.15,5,15,0.333,0,2,0.0,0,0,0.0,8,11,19,5,1,0,0,1,1,1,10,-7,39.3,1,0,34.0,1,13252,13252,13252,2850,7292,3661,17629,14651,13570,14651,13417,14233,13417,36,309,43,3413,8468,12108,8529,17336,6163,11166,11320,19219,3564,1,138,4739,1,36:09,2023,2024
2023-24,1641713,GG Jackson,GG,1610612763,MEM,Memphis Grizzlies,22301129,2024-04-06T00:00:00,MEM vs. PHI,L,28.866666666666667,6,16,0.375,1,7,0.143,4,6,0.667,2,4,6,3,3,2,0,2,0,3,17,-8,31.7,0,0,31.0,1,13252,13252,13252,8912,5451,3032,16597,8460,2715,14340,2744,1912,9424,3105,6490,5291,7003,1850,1349,8529,23757,1,4296,5445,19981,6406,2248,138,5923,1,28:52,2023,2024
2023-24,1630692,Jordan Goodwin,Jordan,1610612763,MEM,Memphis Grizzlies,22301129,2024-04-06T00:00:00,MEM vs. PHI,L,31.35,6,13,0.462,1,3,0.333,2,2,1.0,2,2,4,4,0,1,0,1,3,3,15,1,28.8,0,0,26.0,1,13252,13252,13252,6815,5451,5230,12872,8460,10539,9124,6103,7481,1,3105,13100,9569,4938,16035,4430,8529,17336,18879,4296,6762,11403,7796,2248,138,8454,1,31:21,2023,2024
2023-24,1629634,Brandon Clarke,Brandon,1610612763,MEM,Memphis Grizzlies,22301129,2024-04-06T00:00:00,MEM vs. PHI,L,23.466666666666665,3,9,0.333,0,1,0.0,0,2,0.0,3,5,8,2,2,1,0,2,1,2,6,-20,19.6,0,0,18.0,1,13252,13252,13252,13233,12407,9591,17629,14651,16961,14651,13417,7481,13417,1506,4442,2854,9909,4132,4430,8529,23757,6163,6969,15809,25213,13056,2248,138,13299,1,23:28,2023,2024
