CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,PLUSMINUS
1631095,Jabari Smith Jr.,1610612745,HOU,F,22.0,7,7,0.418,12,23,0.522,0.567,-0.045
1631260,AJ Green,1610612749,MIL,G,25.0,5,5,0.46,16,23,0.696,0.62,0.075
1627736,Malik Beasley,1610612765,DET,G,28.0,6,6,0.468,15,22,0.682,0.581,0.101
1628389,Bam Adebayo,1610612748,MIA,C-F,27.0,4,4,0.44,16,22,0.727,0.658,0.069
1630590,Scotty Pippen Jr.,1610612763,MEM,G,24.0,4,4,0.393,14,22,0.636,0.602,0.034
1628991,Jaren Jackson Jr.,1610612763,MEM,F-C,25.0,4,4,0.386,12,22,0.545,0.61,-0.064
1642276,Kel'el Ware,1610612748,MIA,C,21.0,4,4,0.677,16,21,0.762,0.668,0.094
202709,Cory Joseph,1610612753,ORL,G,33.0,5,5,0.525,11,21,0.524,0.602,-0.078
1629639,Tyler Herro,1610612748,MIA,G,25.0,4,4,0.323,13,20,0.65,0.593,0.057
203484,Kentavious Caldwell-Pope,1610612753,ORL,G,32.0,5,5,0.455,9,20,0.45,0.61,-0.16
1630241,Sam Merrill,1610612739,CLE,G,29.0,8,8,0.357,12,20,0.6,0.594,0.006
1626166,Cameron Payne,1610612752,NYK,G,30.0,12,9,0.556,11,20,0.55,0.598,-0.048
1630583,Santi Aldama,1610612763,MEM,F-C,24.0,4,4,0.396,9,19,0.474,0.606,-0.132
1630611,Gui Santos,1610612744,GSW,F,22.0,7,6,0.633,10,19,0.526,0.586,-0.059
1630573,Sam Hauser,1610612738,BOS,F,27.0,8,8,0.5,8,18,0.444,0.54,-0.095
203992,Bogdan Bogdanović,1610612746,LAC,G,32.0,7,7,0.462,10,18,0.556,0.6,-0.045
203952,Andrew Wiggins,1610612748,MIA,F,30.0,4,4,0.419,12,18,0.667,0.62,0.047
1641708,Amen Thompson,1610612745,HOU,G-F,22.0,7,6,0.239,9,17,0.529,0.569,-0.039
1629312,Haywood Highsmith,1610612748,MIA,F,28.0,4,4,0.425,10,17,0.588,0.588,0.0
201572,Brook Lopez,1610612749,MIL,C,37.0,5,5,0.294,12,15,0.8,0.615,0.185
1629020,Jarred Vanderbilt,1610612747,LAL,F,26.0,5,5,0.556,10,15,0.667,0.584,0.083
1641716,Jarace Walker,1610612754,IND,F,21.0,9,9,0.455,11,15,0.733,0.636,0.097
1628379,Luke Kennard,1610612763,MEM,G,28.0,4,4,0.469,9,15,0.6,0.608,-0.008
1631107,Nikola Jović,1610612748,MIA,F,22.0,4,4,0.455,6,15,0.4,0.585,-0.185
1630217,Desmond Bane,1610612763,MEM,G,26.0,4,4,0.313,9,15,0.6,0.601,-0.001
1629018,Gary Trent Jr.,1610612749,MIL,G,26.0,5,5,0.341,11,15,0.733,0.61,0.123
1630311,Pat Spencer,1610612744,GSW,G,28.0,6,5,0.6,7,15,0.467,0.576,-0.109
1630194,Paul Reed,1610612765,DET,F,25.0,5,4,0.636,7,14,0.5,0.607,-0.107
201599,DeAndre Jordan,1610612743,DEN,C,36.0,7,4,0.591,11,13,0.846,0.615,0.232
1629723,John Konchar,1610612763,MEM,G,29.0,4,3,0.419,9,13,0.692,0.599,0.093
1641710,Anthony Black,1610612753,ORL,G,21.0,5,5,0.464,8,13,0.615,0.606,0.01
1628398,Kyle Kuzma,1610612749,MIL,F,29.0,5,5,0.414,7,12,0.583,0.602,-0.019
203081,Damian Lillard,1610612749,MIL,G,34.0,3,3,0.414,8,12,0.667,0.625,0.042
1630558,Davion Mitchell,1610612748,MIA,G,26.0,4,4,0.222,6,12,0.5,0.589,-0.089
1627732,Ben Simmons,1610612746,LAC,G-F,28.0,5,5,0.632,7,12,0.583,0.64,-0.057
1627752,Taurean Prince,1610612749,MIL,F,31.0,5,4,0.444,7,12,0.583,0.613,-0.029
1641794,Dillon Jones,1610612760,OKC,F,23.0,7,5,0.571,6,12,0.5,0.567,-0.067
1629216,Gabe Vincent,1610612747,LAL,G,28.0,5,5,0.379,7,11,0.636,0.579,0.057
1630173,Precious Achiuwa,1610612752,NYK,F,25.0,7,6,0.55,7,11,0.636,0.653,-0.016
1642349,Ajay Mitchell,1610612760,OKC,G,22.0,8,6,0.5,6,11,0.545,0.619,-0.074
1629026,Kenrich Williams,1610612760,OKC,G-F,30.0,8,6,0.379,8,11,0.727,0.617,0.11
1630579,Jericho Sims,1610612749,MIL,C,26.0,5,4,0.407,5,11,0.455,0.587,-0.133
1629630,Ja Morant,1610612763,MEM,G,25.0,3,3,0.393,7,11,0.636,0.59,0.047
1630171,Isaac Okoro,1610612739,CLE,F-G,24.0,9,6,0.313,8,10,0.8,0.599,0.201
1630175,Cole Anthony,1610612753,ORL,G,25.0,5,3,0.455,9,10,0.9,0.61,0.29
1630545,Terrence Shannon Jr.,1610612750,MIN,G-F,24.0,7,5,0.5,6,10,0.6,0.568,0.032
1641854,Craig Porter Jr.,1610612739,CLE,G,25.0,6,5,0.526,2,10,0.2,0.585,-0.385
1626153,Delon Wright,1610612752,NYK,G,33.0,5,5,0.692,4,9,0.444,0.645,-0.2
1631124,Julian Strawther,1610612743,DEN,G,23.0,8,6,0.333,5,9,0.556,0.589,-0.033
1631246,Vince Williams Jr.,1610612763,MEM,G,24.0,3,3,0.5,4,9,0.444,0.597,-0.152
203914,Gary Harris,1610612753,ORL,G,30.0,5,4,0.409,5,9,0.556,0.627,-0.072
1629130,Duncan Robinson,1610612748,MIA,F,31.0,4,3,0.471,4,8,0.5,0.57,-0.07
1629618,Jalen Pickett,1610612743,DEN,G,25.0,7,4,0.421,4,8,0.5,0.576,-0.076
1641796,Pelle Larsson,1610612748,MIA,G,24.0,3,3,0.5,4,8,0.5,0.565,-0.065
201949,James Johnson,1610612754,IND,F,38.0,3,2,0.636,2,7,0.286,0.583,-0.297
1630192,Zeke Nnaji,1610612743,DEN,F-C,24.0,6,3,0.5,3,7,0.429,0.566,-0.137
1628988,Aaron Holiday,1610612745,HOU,G,28.0,3,3,0.636,6,7,0.857,0.58,0.277
1628371,Jonathan Isaac,1610612753,ORL,F,27.0,4,2,0.538,3,7,0.429,0.623,-0.194
1642281,Jaylon Tyson,1610612739,CLE,G-F,22.0,4,3,0.636,3,7,0.429,0.553,-0.124
1631172,Ousmane Dieng,1610612760,OKC,F,22.0,4,3,0.5,4,6,0.667,0.623,0.044
1628396,Tony Bradley,1610612754,IND,C-F,27.0,6,6,0.375,4,6,0.667,0.611,0.056
1630643,Jay Huff,1610612763,MEM,C,27.0,2,2,0.5,2,6,0.333,0.616,-0.282
1630692,Jordan Goodwin,1610612747,LAL,G,26.0,3,3,0.462,3,6,0.5,0.589,-0.089
1631216,Caleb Houstan,1610612753,ORL,G,22.0,5,4,0.353,3,6,0.5,0.593,-0.093
1629637,Jaxson Hayes,1610612747,LAL,C-F,25.0,4,3,0.5,5,6,0.833,0.593,0.24
1630568,Luka Garza,1610612750,MIN,C,26.0,3,3,0.556,4,5,0.8,0.588,0.212
1631157,Ryan Rollins,1610612749,MIL,G,22.0,2,2,0.625,4,5,0.8,0.609,0.191
1629013,Landry Shamet,1610612752,NYK,G,28.0,10,3,0.227,2,5,0.4,0.534,-0.134
1642277,Johnny Furphy,1610612754,IND,G,20.0,5,4,0.455,2,5,0.4,0.591,-0.191
1641816,Hunter Tyson,1610612743,DEN,F,24.0,4,4,0.313,1,5,0.2,0.577,-0.377
1630191,Isaiah Stewart,1610612765,DET,F-C,24.0,1,1,0.333,4,4,1.0,0.599,0.402
202684,Tristan Thompson,1610612739,CLE,C-F,34.0,2,2,0.444,3,4,0.75,0.592,0.158
1631159,Leonard Miller,1610612750,MIN,F,21.0,3,2,0.571,3,4,0.75,0.435,0.315
1641842,Ronald Holland II,1610612765,DET,F,19.0,4,2,0.308,1,4,0.25,0.649,-0.399
1628963,Marvin Bagley III,1610612763,MEM,F,26.0,2,2,0.286,3,4,0.75,0.605,0.145
1631169,Josh Minott,1610612750,MIN,F,22.0,3,1,0.444,2,4,0.5,0.618,-0.118
1629048,Goga Bitadze,1610612753,ORL,C-F,25.0,2,1,0.667,1,4,0.25,0.583,-0.333
1628470,Torrey Craig,1610612738,BOS,F,34.0,4,3,0.429,3,3,1.0,0.596,0.404
1641775,Jordan Walsh,1610612738,BOS,G,21.0,3,1,0.5,1,3,0.333,0.548,-0.215
1629750,Javonte Green,1610612739,CLE,G,31.0,5,2,0.3,1,3,0.333,0.572,-0.239
1642263,Reed Sheppard,1610612745,HOU,G,20.0,2,2,0.429,2,3,0.667,0.623,0.044
202692,Alec Burks,1610612748,MIA,G,33.0,1,1,0.5,1,3,0.333,0.617,-0.284
1629643,Chuma Okeke,1610612739,CLE,F,26.0,1,1,1.0,2,3,0.667,0.633,0.034
1641757,Jordan Miller,1610612746,LAC,G,25.0,3,2,0.4,1,2,0.5,0.577,-0.077
1629234,Drew Eubanks,1610612746,LAC,F-C,28.0,2,1,0.286,2,2,1.0,0.567,0.433
1629111,Jock Landale,1610612745,HOU,C,29.0,1,1,0.5,2,2,1.0,0.56,0.44
200782,P.J. Tucker,1610612752,NYK,F,40.0,1,1,0.667,0,2,0.0,0.4,-0.4
1630296,Braxton Key,1610612744,GSW,F,28.0,3,2,0.333,0,2,0.0,0.63,-0.63
1628995,Kevin Knox II,1610612744,GSW,F,25.0,5,1,0.2,1,2,0.5,0.523,-0.023
1630214,Xavier Tillman,1610612738,BOS,F,26.0,1,1,0.5,1,2,0.5,0.548,-0.048
1631170,Jaime Jaquez Jr.,1610612748,MIA,G,24.0,3,2,0.2,2,2,1.0,0.581,0.419
203937,Kyle Anderson,1610612748,MIA,F-G,31.0,2,2,0.5,1,2,0.5,0.648,-0.148
1629674,Neemias Queta,1610612738,BOS,C,25.0,3,2,0.333,2,2,1.0,0.437,0.563
1641783,Tristan da Silva,1610612753,ORL,F,24.0,1,1,1.0,1,1,1.0,0.665,0.335
1642261,Dalton Knecht,1610612747,LAL,F,24.0,1,1,0.5,1,1,1.0,0.677,0.323
1641738,Kobe Brown,1610612746,LAC,F,25.0,1,1,0.25,1,1,1.0,0.585,0.415
1642265,Rob Dillingham,1610612750,MIN,G,20.0,2,1,0.167,1,1,1.0,0.559,0.441
203458,Alex Len,1610612747,LAL,C,31.0,1,1,1.0,0,1,0.0,0.563,-0.563
1641724,Jett Howard,1610612753,ORL,G,21.0,1,1,0.333,0,1,0.0,0.4,-0.4
1630574,Ariel Hukporti,1610612752,NYK,C,23.0,2,1,0.5,1,1,1.0,0.577,0.423
201988,Patty Mills,1610612746,LAC,G,36.0,1,1,1.0,0,1,0.0,0.568,-0.568
1642353,Cam Christie,1610612746,LAC,G,19.0,1,1,0.5,1,1,1.0,0.585,0.415
1628427,Vlatko Čančar,1610612743,DEN,F,28.0,2,1,0.5,1,1,1.0,0.522,0.478
1626192,Pat Connaughton,1610612749,MIL,G,32.0,2,1,0.167,1,1,1.0,0.577,0.423
1641715,Cam Whitmore,1610612745,HOU,F,20.0,2,1,0.5,1,1,1.0,0.488,0.512
