season,team_id,team,team_name,game_id,game_date,matchup,wl,min,efg_pct,fta_rate,tm_tov_pct,oreb_pct,opp_efg_pct,opp_fta_rate,opp_tov_pct,opp_oreb_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,efg_pct_rank,fta_rate_rank,tm_tov_pct_rank,oreb_pct_rank,opp_efg_pct_rank,opp_fta_rate_rank,opp_tov_pct_rank,opp_oreb_pct_rank,available_flag,season_start,season_end,is_home,home,away,MON
2018-19,1610612742,DAL,Dallas Mavericks,21800547,2018-12-31,DAL @ OKC,L,48.0,0.514,0.459,0.257,0.178,0.476,0.34,0.089,0.281,0,0,0,0,135,1372,63,2455,2245,532,1994,2240,1415,1,2018,2019,False,OKC,DAL,DEC
2018-19,1610612742,DAL,Dallas Mavericks,21800539,2018-12-30,DAL vs. OKC,W,48.0,0.543,0.272,0.233,0.298,0.478,0.226,0.107,0.193,0,0,0,0,135,925,1046,2436,835,573,896,1968,335,1,2018,2019,True,DAL,OKC,DEC
2018-19,1610612742,DAL,Dallas Mavericks,21800523,2018-12-28,DAL @ NOP,L,48.0,0.571,0.423,0.17,0.326,0.479,0.281,0.118,0.473,0,0,0,0,135,575,117,1992,497,586,1511,1739,2453,1,2018,2019,False,NOP,DAL,DEC
2018-19,1610612742,DAL,Dallas Mavericks,21800509,2018-12-26,DAL vs. NOP,W,48.0,0.556,0.469,0.118,0.244,0.533,0.333,0.098,0.235,0,0,0,0,135,749,58,697,1548,1369,1944,2133,794,1,2018,2019,True,DAL,NOP,DEC
2018-19,1610612742,DAL,Dallas Mavericks,21800495,2018-12-23,DAL @ POR,L,53.0,0.476,0.272,0.089,0.231,0.524,0.163,0.089,0.214,0,0,0,0,21,1927,1037,219,1701,1243,340,2240,533,1,2018,2019,False,POR,DAL,DEC
2018-19,1610612742,DAL,Dallas Mavericks,21800484,2018-12-22,DAL @ GSW,L,48.0,0.533,0.304,0.136,0.291,0.536,0.163,0.126,0.302,0,0,0,0,135,1099,720,1192,920,1421,336,1524,1677,1,2018,2019,False,GSW,DAL,DEC
2018-19,1610612742,DAL,Dallas Mavericks,21800468,2018-12-20,DAL @ LAC,L,48.0,0.522,0.359,0.122,0.407,0.602,0.373,0.122,0.293,0,0,0,0,135,1258,359,820,69,2181,2181,1621,1552,1,2018,2019,False,LAC,DAL,DEC
2018-19,1610612742,DAL,Dallas Mavericks,21800454,2018-12-18,DAL @ DEN,L,48.0,0.552,0.349,0.078,0.188,0.622,0.2,0.158,0.325,0,0,0,0,135,781,407,110,2162,2297,620,710,1936,1,2018,2019,False,DEN,DAL,DEC
2018-19,1610612742,DAL,Dallas Mavericks,21800440,2018-12-16,DAL vs. SAC,L,48.0,0.464,0.323,0.131,0.3,0.515,0.214,0.085,0.226,0,0,0,0,135,2071,579,1059,787,1097,774,2288,684,1,2018,2019,True,DAL,SAC,DEC
2018-19,1610612742,DAL,Dallas Mavericks,21800419,2018-12-13,DAL @ PHX,L,48.0,0.429,0.423,0.232,0.388,0.457,0.196,0.131,0.246,0,0,0,0,135,2317,117,2435,116,330,584,1376,946,1,2018,2019,False,PHX,DAL,DEC
