season,team_id,game_id,game_date,away_team,home_team,opponent_id,game_no,pf,opp_pf,wl,differential
2015-16,1610612757,21501067,2016-03-23,DAL,POR,1610612742,72,109,103,W,6
2015-16,1610612757,21501072,2016-03-24,POR,LAC,1610612746,73,94,96,L,-2
2015-16,1610612757,21501091,2016-03-26,PHI,POR,1610612755,74,108,105,W,3
2015-16,1610612757,21501105,2016-03-28,SAC,POR,1610612758,75,105,93,W,12
2015-16,1610612757,21501127,2016-03-31,BOS,POR,1610612738,76,116,109,W,7
2015-16,1610612757,21501142,2016-04-02,MIA,POR,1610612748,77,110,93,W,17
2015-16,1610612757,21501152,2016-04-03,POR,GSW,1610612744,78,111,136,L,-25
2015-16,1610612757,21501162,2016-04-05,POR,SAC,1610612758,79,115,107,W,8
2015-16,1610612757,21501171,2016-04-06,OKC,POR,1610612760,80,120,115,W,5
2015-16,1610612757,21501192,2016-04-09,MIN,POR,1610612750,81,105,106,L,-1
2015-16,1610612757,21501230,2016-04-13,DEN,POR,1610612743,82,107,99,W,8
