season,team_id,team,team_name,game_id,game_date,matchup,wl,min,efg_pct,fta_rate,tm_tov_pct,oreb_pct,opp_efg_pct,opp_fta_rate,opp_tov_pct,opp_oreb_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,efg_pct_rank,fta_rate_rank,tm_tov_pct_rank,oreb_pct_rank,opp_efg_pct_rank,opp_fta_rate_rank,opp_tov_pct_rank,opp_oreb_pct_rank,available_flag,season_start,season_end
2016-17,1610612753,ORL,Orlando Magic,21601206,2017-04-10T00:00:00,ORL @ CHI,L,48.0,0.375,0.19,0.177,0.196,0.607,0.18,0.133,0.333,0,0,0,0,141,2431,1990,1991,2072,2261,393,1403,1900,2,2016,2017
2016-17,1610612746,LAC,LA Clippers,21601210,2017-04-10T00:00:00,LAC vs. HOU,W,48.0,0.56,0.308,0.1,0.313,0.446,0.321,0.149,0.222,0,0,0,0,141,594,813,297,729,341,1756,1038,578,1,2016,2017
2016-17,1610612751,BKN,Brooklyn Nets,21601204,2017-04-10T00:00:00,BKN @ BOS,L,48.0,0.407,0.453,0.113,0.228,0.527,0.231,0.133,0.192,0,0,0,0,141,2356,109,544,1806,1448,862,1386,344,1,2016,2017
2016-17,1610612755,PHI,Philadelphia 76ers,21601203,2017-04-10T00:00:00,PHI vs. IND,L,48.0,0.553,0.413,0.188,0.268,0.606,0.247,0.153,0.395,0,0,0,0,141,668,199,2146,1265,2249,1033,920,2336,1,2016,2017
2016-17,1610612752,NYK,New York Knicks,21601196,2017-04-09T00:00:00,NYK vs. TOR,L,48.0,0.506,0.183,0.118,0.178,0.584,0.299,0.117,0.179,0,0,0,0,141,1330,2039,651,2216,2100,1553,1831,248,1,2016,2017
2016-17,1610612763,MEM,Memphis Grizzlies,21601201,2017-04-09T00:00:00,MEM vs. DET,L,48.0,0.54,0.173,0.169,0.225,0.561,0.195,0.202,0.435,0,0,0,0,141,842,2113,1869,1838,1870,501,150,2426,1,2016,2017
2016-17,1610612756,PHX,Phoenix Suns,21601199,2017-04-09T00:00:00,PHX vs. DAL,W,48.0,0.6,0.4,0.126,0.308,0.505,0.196,0.104,0.356,0,0,0,0,141,251,244,859,779,1071,520,2075,2130,1,2016,2017
2016-17,1610612761,TOR,Toronto Raptors,21601196,2017-04-09T00:00:00,TOR @ NYK,W,48.0,0.584,0.299,0.117,0.179,0.506,0.183,0.118,0.178,0,0,0,0,141,356,904,617,2202,1126,419,1793,238,1,2016,2017
2016-17,1610612745,HOU,Houston Rockets,21601200,2017-04-09T00:00:00,HOU @ SAC,W,48.0,0.675,0.388,0.17,0.158,0.548,0.319,0.048,0.18,0,0,0,0,141,18,290,1879,2323,1724,1741,2455,260,1,2016,2017
2016-17,1610612737,ATL,Atlanta Hawks,21601197,2017-04-09T00:00:00,ATL vs. CLE,W,53.0,0.516,0.394,0.108,0.189,0.556,0.204,0.153,0.291,0,0,0,0,17,1188,266,449,2138,1814,589,918,1457,1,2016,2017
2016-17,1610612758,SAC,Sacramento Kings,21601200,2017-04-09T00:00:00,SAC vs. HOU,L,48.0,0.548,0.319,0.048,0.18,0.675,0.388,0.17,0.158,0,0,0,0,141,736,720,6,2193,2442,2168,575,135,1,2016,2017
2016-17,1610612747,LAL,Los Angeles Lakers,21601202,2017-04-09T00:00:00,LAL vs. MIN,W,48.0,0.547,0.233,0.163,0.271,0.519,0.388,0.152,0.279,0,0,0,0,141,760,1564,1761,1233,1333,2168,955,1321,1,2016,2017
2016-17,1610612739,CLE,Cleveland Cavaliers,21601197,2017-04-09T00:00:00,CLE @ ATL,L,53.0,0.556,0.204,0.153,0.291,0.516,0.394,0.108,0.189,0,0,0,0,17,647,1870,1542,991,1270,2195,2011,321,1,2016,2017
2016-17,1610612750,MIN,Minnesota Timberwolves,21601202,2017-04-09T00:00:00,MIN @ LAL,L,48.0,0.519,0.388,0.152,0.279,0.547,0.233,0.163,0.271,0,0,0,0,141,1120,290,1486,1128,1694,883,681,1213,1,2016,2017
2016-17,1610612743,DEN,Denver Nuggets,21601198,2017-04-09T00:00:00,DEN vs. OKC,L,48.0,0.542,0.179,0.122,0.111,0.448,0.229,0.121,0.328,0,0,0,0,141,819,2075,761,2430,354,847,1716,1888,1,2016,2017
2016-17,1610612760,OKC,Oklahoma City Thunder,21601198,2017-04-09T00:00:00,OKC @ DEN,W,48.0,0.448,0.229,0.121,0.328,0.542,0.179,0.122,0.111,0,0,0,0,141,2106,1612,733,567,1639,382,1679,29,1,2016,2017
2016-17,1610612765,DET,Detroit Pistons,21601201,2017-04-09T00:00:00,DET @ MEM,W,48.0,0.561,0.195,0.202,0.435,0.54,0.173,0.169,0.225,0,0,0,0,141,585,1957,2310,34,1616,347,586,613,1,2016,2017
2016-17,1610612742,DAL,Dallas Mavericks,21601199,2017-04-09T00:00:00,DAL @ PHX,L,48.0,0.505,0.196,0.104,0.356,0.6,0.4,0.126,0.308,0,0,0,0,141,1387,1939,371,328,2203,2213,1584,1656,1,2016,2017
2016-17,1610612751,BKN,Brooklyn Nets,21601188,2017-04-08T00:00:00,BKN vs. CHI,W,48.0,0.478,0.261,0.124,0.211,0.506,0.189,0.162,0.24,0,0,0,0,141,1720,1287,815,1964,1083,454,708,814,1,2016,2017
2016-17,1610612764,WAS,Washington Wizards,21601192,2017-04-08T00:00:00,WAS vs. MIA,L,48.0,0.531,0.272,0.206,0.333,0.506,0.45,0.131,0.271,0,0,0,0,141,964,1167,2324,495,1137,2345,1451,1213,1,2016,2017
2016-17,1610612759,SAS,San Antonio Spurs,21601193,2017-04-08T00:00:00,SAS vs. LAC,L,48.0,0.475,0.175,0.156,0.224,0.536,0.167,0.088,0.239,0,0,0,0,141,1776,2097,1593,1849,1568,284,2285,795,1,2016,2017
2016-17,1610612740,NOP,New Orleans Pelicans,21601195,2017-04-08T00:00:00,NOP @ GSW,L,48.0,0.517,0.221,0.082,0.13,0.563,0.167,0.092,0.333,0,0,0,0,141,1155,1698,114,2401,1884,284,2257,1900,1,2016,2017
2016-17,1610612746,LAC,LA Clippers,21601193,2017-04-08T00:00:00,LAC @ SAS,W,48.0,0.536,0.167,0.088,0.239,0.475,0.175,0.156,0.224,0,0,0,0,141,890,2164,170,1648,682,359,865,598,1,2016,2017
2016-17,1610612754,IND,Indiana Pacers,21601190,2017-04-08T00:00:00,IND @ ORL,W,48.0,0.657,0.221,0.152,0.211,0.571,0.262,0.13,0.152,0,0,0,0,141,41,1698,1486,1964,1972,1184,1497,118,1,2016,2017
2016-17,1610612762,UTA,Utah Jazz,21601194,2017-04-08T00:00:00,UTA @ POR,L,48.0,0.436,0.308,0.148,0.255,0.478,0.176,0.033,0.259,0,0,0,0,141,2200,813,1400,1458,734,366,2459,1049,1,2016,2017
2016-17,1610612744,GSW,Golden State Warriors,21601195,2017-04-08T00:00:00,GSW vs. NOP,W,48.0,0.563,0.167,0.092,0.333,0.517,0.221,0.082,0.13,0,0,0,0,141,570,2164,198,495,1300,758,2343,59,1,2016,2017
2016-17,1610612766,CHA,Charlotte Hornets,21601189,2017-04-08T00:00:00,CHA vs. BOS,L,48.0,0.506,0.381,0.071,0.17,0.615,0.195,0.092,0.136,0,0,0,0,141,1341,322,57,2257,2301,505,2257,71,1,2016,2017
2016-17,1610612741,CHI,Chicago Bulls,21601188,2017-04-08T00:00:00,CHI @ BKN,L,48.0,0.506,0.189,0.162,0.24,0.478,0.261,0.124,0.211,0,0,0,0,141,1373,1999,1747,1637,738,1170,1643,488,1,2016,2017
2016-17,1610612757,POR,Portland Trail Blazers,21601194,2017-04-08T00:00:00,POR vs. UTA,W,48.0,0.478,0.176,0.033,0.259,0.436,0.308,0.148,0.255,0,0,0,0,141,1724,2092,2,1402,261,1638,1058,988,1,2016,2017
2016-17,1610612753,ORL,Orlando Magic,21601190,2017-04-08T00:00:00,ORL vs. IND,L,48.0,0.571,0.262,0.13,0.152,0.657,0.221,0.152,0.211,0,0,0,0,141,481,1265,946,2339,2420,758,955,488,1,2016,2017
2016-17,1610612755,PHI,Philadelphia 76ers,21601191,2017-04-08T00:00:00,PHI vs. MIL,L,48.0,0.403,0.299,0.188,0.235,0.481,0.253,0.156,0.17,0,0,0,0,141,2374,904,2146,1698,757,1102,844,197,1,2016,2017
2016-17,1610612749,MIL,Milwaukee Bucks,21601191,2017-04-08T00:00:00,MIL @ PHI,W,48.0,0.481,0.253,0.156,0.17,0.403,0.299,0.188,0.235,0,0,0,0,141,1701,1354,1599,2257,87,1553,306,746,1,2016,2017
2016-17,1610612748,MIA,Miami Heat,21601192,2017-04-08T00:00:00,MIA @ WAS,W,48.0,0.506,0.45,0.131,0.271,0.531,0.272,0.206,0.333,0,0,0,0,141,1318,113,984,1233,1491,1291,130,1900,1,2016,2017
2016-17,1610612738,BOS,Boston Celtics,21601189,2017-04-08T00:00:00,BOS @ CHA,W,48.0,0.615,0.195,0.092,0.136,0.506,0.381,0.071,0.17,0,0,0,0,141,158,1949,198,2388,1114,2134,2400,197,1,2016,2017
2016-17,1610612756,PHX,Phoenix Suns,21601186,2017-04-07T00:00:00,PHX vs. OKC,W,48.0,0.566,0.373,0.089,0.326,0.408,0.359,0.109,0.429,0,0,0,0,141,529,358,180,605,106,2026,1995,2418,1,2016,2017
2016-17,1610612742,DAL,Dallas Mavericks,21601183,2017-04-07T00:00:00,DAL vs. SAS,L,48.0,0.477,0.091,0.094,0.137,0.464,0.229,0.073,0.311,0,0,0,0,141,1733,2436,220,2386,543,847,2392,1711,1,2016,2017
2016-17,1610612763,MEM,Memphis Grizzlies,21601181,2017-04-07T00:00:00,MEM vs. NYK,W,48.0,0.607,0.16,0.163,0.243,0.466,0.148,0.125,0.352,0,0,0,0,141,201,2216,1754,1618,565,172,1611,2088,1,2016,2017
2016-17,1610612748,MIA,Miami Heat,21601180,2017-04-07T00:00:00,MIA @ TOR,L,48.0,0.446,0.349,0.192,0.291,0.465,0.282,0.178,0.321,0,0,0,0,141,2123,484,2197,991,552,1383,444,1812,1,2016,2017
