player,team,number,position,height,weight,last_attended,country,birthdate,experience,draft,profile_url,is_active,is_free_agent,is_retired,headshot_url,legacy
Donald Ackerman,,,Guard,6-0,183,Long Island-Brooklyn,USA,1930-09-04,1 Years,1953,https://www.nba.com/player/76008/HISTADD-buddy-ackerman,False,False,True,,True
Mark Acres,,42,Center,6-11,220,Oral Roberts,USA,1962-11-15T00:00:00,6 Years,1985 #40,https://www.nba.com/player/76009/HISTADD-mark-acres,False,False,True,,True
Charles Acton,,24,Forward,6-6,210,Hillsdale,USA,1942-01-11T00:00:00,1 Years,Undrafted #Undrafted,https://www.nba.com/player/76010/HISTADD-bud-acton,False,False,True,,True
Quincy Acy,,,Forward,6-7,240,Baylor,USA,"October 6, 1990",7 Years,2012 R2 Pick 37,https://www.nba.com/player/203112/quincy-acy,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203112.png,False
Alvan Adams,,33,Center,6-9,210,Oklahoma,USA,1954-07-19T00:00:00,13 Years,1975 #4,https://www.nba.com/player/76011/HISTADD-alvan-adams,False,False,True,,True
Don Adams,,10,Forward,6-7,210,Northwestern,USA,1947-11-27T00:00:00,7 Years,1970 #120,https://www.nba.com/player/76012/HISTADD-don-adams,False,False,True,,True
Hassan Adams,,,Forward,6-4,220,Arizona,USA,"June 20, 1984",2 Years,2006 R2 Pick 54,https://www.nba.com/player/200801/hassan-adams,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/200801.png,False
Jaylen Adams,,,Guard,6-0,225,St. Bonaventure,USA,"May 4, 1996",3 Years,Undrafted,https://www.nba.com/player/1629121/jaylen-adams,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629121.png,False
Jordan Adams,,3,Guard,6-5,209,UCLA,USA,"July 8, 1994",3 Years,2014 R1 Pick 22,https://www.nba.com/player/203919/jordan-adams,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203919.png,False
Michael Adams,,23,Guard,5-10,165,Boston College,USA,"January 19, 1963",11 Years,1985 R3 Pick 66,https://www.nba.com/player/149/michael-adams,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Steven Adams,HOU,12,Center,6-11,265,Pittsburgh,New Zealand,"July 20, 1993",10 Years,2013 R1 Pick 12,https://www.nba.com/player/203500/steven-adams,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Rafael Addison,,7,Forward,6-8,241,Syracuse,USA,"July 22, 1964",6 Years,1986 R2 Pick 39,https://www.nba.com/player/912/rafael-addison,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/912.png,False
Bam Adebayo,MIA,13,Center-Forward,6-9,255,Kentucky,USA,"July 18, 1997",7 Years,2017 R1 Pick 14,https://www.nba.com/player/1628389/bam-adebayo,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Deng Adel,,32,Forward,6-7,200,Louisville,South Sudan,"February 1, 1997",2 Years,2018,https://www.nba.com/player/1629061/deng-adel,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629061.png,False
Rick Adelman,,5,Guard,6-2,175,Loyola-Marymount,USA,1946-06-16T00:00:00,7 Years,1968 #79,https://www.nba.com/player/76015/HISTADD-rick-adelman,False,False,True,,True
Jeff Adrien,,,,,,Connecticut,USA,"February 10, 1986",6 Years,Undrafted,https://www.nba.com/player/202399/jeff-adrien,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/202399.png,False
Arron Afflalo,,4,Guard,6-5,210,UCLA,USA,"October 15, 1985",12 Years,2007 R1 Pick 27,https://www.nba.com/player/201167/arron-afflalo,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/201167.png,False
Ochai Agbaji,TOR,30,Guard,6-5,215,Kansas,USA,"April 20, 2000",2 Years,2022 R1 Pick 14,https://www.nba.com/player/1630534/ochai-agbaji,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1630534.png,False
Maurice Ager,,,Forward-Guard,6-5,202,Michigan State,USA,"February 9, 1984",4 Years,2006 R1 Pick 28,https://www.nba.com/player/200772/maurice-ager,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/200772.png,False
Mark Aguirre,,7,Forward,6-6,232,DePaul,USA,1959-12-10T00:00:00,13 Years,1981 #1,https://www.nba.com/player/76016/HISTADD-mark-aguirre,False,False,True,,True
Blake Ahearn,,2,Guard,6-2,190,Missouri State,USA,"May 27, 1984",4 Years,Undrafted,https://www.nba.com/player/201336/blake-ahearn,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/201336.png,False
Danny Ainge,,22,Guard,6-5,175,Brigham Young,USA,1959-03-17T00:00:00,14 Years,1981 #31,https://www.nba.com/player/76017/HISTADD-danny-ainge,False,False,True,,True
Alexis Ajinca,,42,Center,7-2,248,Hyeres-Toulon,France,"May 6, 1988",8 Years,2008 R1 Pick 20,https://www.nba.com/player/201582/alexis-ajinca,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/201582.png,False
Henry Akin,,10,Center,6-10,225,Morehead State,USA,1944-07-31T00:00:00,2 Years,1966 #11,https://www.nba.com/player/76018/HISTADD-henry-akin,False,False,True,,True
Josh Akognon,,10,Guard,5-11,185,California State-Fullerton,USA,"February 10, 1986",2 Years,Undrafted,https://www.nba.com/player/203006/josh-akognon,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203006.png,False
DeVaughn Akoon-Purcell,,,Guard-Forward,6-6,200,Illinois State,Trinidad and Tobago,"June 5, 1993",2 Years,2016,https://www.nba.com/player/1629152/devaughn-akoon-purcell,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629152.png,False
Solomon Alabi,,50,Center,7-1,252,Florida State,Nigeria,"March 21, 1988",3 Years,2010 R2 Pick 50,https://www.nba.com/player/202374/solomon-alabi,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/202374.png,False
Mark Alarie,,31,Forward,6-8,217,Duke,USA,1963-12-11T00:00:00,5 Years,1986 #18,https://www.nba.com/player/76019/HISTADD-mark-alarie,False,False,True,,True
Gary Alcorn,,24,Center,6-9,225,Fresno State,USA,1936-10-08T00:00:00,2 Years,1959 #16,https://www.nba.com/player/76020/HISTADD-gary-alcorn,False,False,True,,True
Santi Aldama,MEM,7,Forward-Center,7-0,215,Loyola-Maryland,Spain,"January 10, 2001",3 Years,2021 R1 Pick 30,https://www.nba.com/player/1630583/santi-aldama,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Furkan Aldemir,,19,Forward-Center,6-10,240,Galatasaray,Turkey,"August 9, 1991",2 Years,2012 R2 Pick 53,https://www.nba.com/player/203128/furkan-aldemir,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203128.png,False
Cole Aldrich,,45,Center,6-11,253,Kansas,USA,"October 31, 1988",9 Years,2010 R1 Pick 11,https://www.nba.com/player/202332/cole-aldrich,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/202332.png,False
LaMarcus Aldridge,,21,Center-Forward,6-11,250,University of Texas at Austin,USA,"July 19, 1985",17 Years,2006 R1 Pick 2,https://www.nba.com/player/200746/lamarcus-aldridge,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/200746.png,False
Chuck Aleksinas,,50,Center,6-11,260,Connecticut,USA,1959-02-26T00:00:00,1 Years,1982 #76,https://www.nba.com/player/76021/HISTADD-chuck-aleksinas,False,False,True,,True
Cliff Alexander,,34,Forward,6-8,240,Kansas,USA,"November 16, 1995",2 Years,Undrafted,https://www.nba.com/player/1626146/cliff-alexander,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1626146.png,False
Cory Alexander,,12,Guard,6-1,190,Virginia,USA,"June 22, 1973",8 Years,1995 R1 Pick 29,https://www.nba.com/player/724/cory-alexander,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/724.png,False
Courtney Alexander,,32,Guard,6-5,205,Fresno State,USA,"April 27, 1977",4 Years,2000 R1 Pick 13,https://www.nba.com/player/2042/courtney-alexander,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/2042.png,False
Gary Alexander,,16,Forward,6-7,240,South Florida,USA,1969-11-01T00:00:00,1 Years,Undrafted #Undrafted,https://www.nba.com/player/76022/HISTADD-gary-alexander,False,False,True,,True
Joe Alexander,,20,Forward,6-8,230,West Virginia,USA,"December 26, 1986",3 Years,2008 R1 Pick 8,https://www.nba.com/player/201570/joe-alexander,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/201570.png,False
Kyle Alexander,,17,Forward-Center,6-10,216,Tennessee,Canada,"October 21, 1996",2 Years,Undrafted,https://www.nba.com/player/1629734/kyle-alexander,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629734.png,False
Trey Alexander,DEN,23,Guard,6-4,185,Creighton,USA,"May 2, 2003",Rookie,Undrafted,https://www.nba.com/player/1641725/trey-alexander,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1641725.png,False
Ty-Shon Alexander,,0,Guard,6-3,195,Creighton,USA,"July 16, 1998",2 Years,Undrafted,https://www.nba.com/player/1630234/ty-shon-alexander,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630234.png,False
Victor Alexander,,9,Forward,6-10,265,Iowa State,USA,"August 31, 1969",5 Years,1991 R1 Pick 17,https://www.nba.com/player/2349/victor-alexander,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/2349.png,False
Nickeil Alexander-Walker,MIN,9,Guard,6-5,205,Virginia Tech,Canada,"September 2, 1998",5 Years,2019 R1 Pick 17,https://www.nba.com/player/1629638/nickeil-alexander-walker,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Steve Alford,,4,Guard,6-2,183,Indiana,USA,1964-11-23T00:00:00,4 Years,1987 #26,https://www.nba.com/player/76024/HISTADD-steve-alford,False,False,True,,True
Rawle Alkins,,20,Guard,6-5,225,Arizona,USA,"October 29, 1997",2 Years,Undrafted,https://www.nba.com/player/1628959/rawle-alkins,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628959.png,False
Bob Allen,,50,Forward,6-9,205,Marshall,USA,1946-07-17T00:00:00,1 Years,1968 #71,https://www.nba.com/player/76028/HISTADD-bob-allen,False,False,True,,True
Grayson Allen,PHX,8,Guard,6-4,198,Duke,USA,"October 8, 1995",6 Years,2018 R1 Pick 21,https://www.nba.com/player/1628960/grayson-allen,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Jarrett Allen,CLE,31,Center,6-9,243,Texas,USA,"April 21, 1998",7 Years,2017 R1 Pick 22,https://www.nba.com/player/1628386/jarrett-allen,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Jerome Allen,,53,Guard,6-4,184,Pennsylvania,USA,"January 28, 1973",2 Years,1995 R2 Pick 49,https://www.nba.com/player/706/jerome-allen,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/706.png,False
Kadeem Allen,,,Guard,6-1,200,Arizona,USA,"January 15, 1993",3 Years,2017 R2 Pick 53,https://www.nba.com/player/1628443/kadeem-allen,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628443.png,False
Lavoy Allen,,5,Forward-Center,6-9,260,Temple,USA,"February 4, 1989",7 Years,2011 R2 Pick 50,https://www.nba.com/player/202730/lavoy-allen,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/202730.png,False
Lucius Allen,,42,Guard,6-2,175,UCLA,USA,1947-09-26T00:00:00,10 Years,1969 #3,https://www.nba.com/player/76027/HISTADD-lucius-allen,False,False,True,,True
Malik Allen,,35,Forward,6-10,255,Villanova,USA,"June 27, 1978",11 Years,Undrafted,https://www.nba.com/player/2124/malik-allen,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/2124.png,False
Randy Allen,,33,Forward,6-8,220,Florida State,USA,1965-01-26T00:00:00,2 Years,Undrafted #Undrafted,https://www.nba.com/player/76025/HISTADD-randy-allen,False,False,True,,True
Ray Allen,,34,Guard,6-5,205,Connecticut,USA,"July 20, 1975",18 Years,1996 R1 Pick 5,https://www.nba.com/player/951/ray-allen,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/951.png,False
Timmy Allen,,,Forward,6-6,210,Texas,USA,"January 9, 2000",1 Year,Undrafted,https://www.nba.com/player/1641851/timmy-allen,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641851.png,False
Tony Allen,,,Guard-Forward,6-4,213,Oklahoma State,USA,"January 11, 1982",14 Years,2004 R1 Pick 25,https://www.nba.com/player/2754/tony-allen,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/2754.png,False
Odis Allison,,22,Forward,6-6,195,UNLV,USA,1949-10-02T00:00:00,1 Years,1971 #76,https://www.nba.com/player/76029/HISTADD-odis-allison,False,False,True,,True
Lance Allred,,41,Center,6-11,250,Weber State,USA,"February 2, 1981",2 Years,Undrafted,https://www.nba.com/player/200984/lance-allred,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/200984.png,False
Darrell Allums,,32,Forward,6-8,220,UCLA,USA,1958-09-12T00:00:00,1 Years,1980 #103,https://www.nba.com/player/76030/HISTADD-darrell-allums,False,False,True,,True
Morris Almond,,21,Guard,6-6,225,Rice,USA,"February 2, 1985",4 Years,2007 R1 Pick 25,https://www.nba.com/player/201165/morris-almond,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/201165.png,False
Derrick Alston,,,Center,6-11,225,Duquesne,USA,"August 20, 1972",3 Years,1994 R2 Pick 33,https://www.nba.com/player/308/derrick-alston,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/308.png,False
Rafer Alston,,11,Guard,6-2,175,Fresno State,USA,"July 24, 1976",11 Years,1998 R2 Pick 39,https://www.nba.com/player/1747/rafer-alston,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1747.png,False
Peter Aluma,,,Center,6-10,260,Liberty,USA,"April 26, 1973",1 Year,Undrafted,https://www.nba.com/player/1824/peter-aluma,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1824.png,False
Jose Alvarado,NOP,15,Guard,6-0,179,Georgia Tech,USA,"April 12, 1998",3 Years,Undrafted,https://www.nba.com/player/1630631/jose-alvarado,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
John Amaechi,,13,Forward-Center,6-10,270,Penn State,United Kingdom,"November 26, 1970",6 Years,Undrafted,https://www.nba.com/player/680/john-amaechi,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/680.png,False
Ashraf Amaya,,,Forward,6-8,230,Southern Illinois,USA,"November 23, 1971",2 Years,Undrafted,https://www.nba.com/player/732/ashraf-amaya,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/732.png,False
Al-Farouq Aminu,,5,Forward,6-8,220,Wake Forest,USA,"September 21, 1990",12 Years,2010 R1 Pick 8,https://www.nba.com/player/202329/al-farouq-aminu,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/202329.png,False
Lou Amundson,,17,Forward,6-9,220,UNLV,USA,"December 7, 1982",11 Years,Undrafted,https://www.nba.com/player/200811/lou-amundson,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/200811.png,False
Bob Anderegg,,18,Forward,6-3,200,Michigan State,USA,1937-08-24T00:00:00,1 Years,1959 #20,https://www.nba.com/player/76034/HISTADD-bob-anderegg,False,False,True,,True
Chris Andersen,,,Forward-Center,6-10,245,Blinn J.C.,USA,"July 7, 1978",15 Years,Undrafted,https://www.nba.com/player/2365/chris-andersen,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/2365.png,False
David Andersen,,,,,,FC Barcelona,Australia,"June 23, 1980",20 Years,2002 R2 Pick 36,https://www.nba.com/player/2431/david-andersen,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/2431.png,False
Alan Anderson,,9,Forward-Guard,6-6,220,Michigan State,USA,"October 16, 1982",9 Years,Undrafted,https://www.nba.com/player/101187/alan-anderson,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/101187.png,False
Antonio Anderson,,,Guard,6-6,215,Memphis,USA,"June 5, 1985",2 Years,Undrafted,https://www.nba.com/player/202079/antonio-anderson,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/202079.png,False
Cliff Anderson,,26,Guard,6-2,200,St. Joseph's (PA),USA,1944-09-07T00:00:00,3 Years,1967 #35,https://www.nba.com/player/76035/HISTADD-cliff-anderson,False,False,True,,True
Daniel Anderson,,33,Guard,6-2,185,Southern California,USA,1951-01-01T00:00:00,2 Years,1974 #92,https://www.nba.com/player/76036/HISTADD-daniel-anderson,False,False,True,,True
Derek Anderson,,1,Guard,6-5,195,Kentucky,USA,"July 18, 1974",12 Years,1997 R1 Pick 13,https://www.nba.com/player/1507/derek-anderson,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1507.png,False
Dwight Anderson,,20,Guard,6-3,185,Southern California,USA,1960-12-28T00:00:00,1 Years,1982 #41,https://www.nba.com/player/76037/HISTADD-dwight-anderson,False,False,True,,True
Eric Anderson,,42,Forward,6-9,220,Indiana,USA,"May 26, 1970",2 Years,Undrafted,https://www.nba.com/player/944/eric-anderson,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/944.png,False
Greg Anderson,,0,Center-Forward,6-10,250,Houston,USA,"June 22, 1964",10 Years,1987 R1 Pick 23,https://www.nba.com/player/246/greg-anderson,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/246.png,False
James Anderson,,5,Guard-Forward,6-6,213,Oklahoma State,USA,"March 25, 1989",6 Years,2010 R1 Pick 20,https://www.nba.com/player/202341/james-anderson,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/202341.png,False
Jerome Anderson,,21-23,Guard,6-5,195,West Virginia,USA,1953-10-09T00:00:00,2 Years,1975 #53,https://www.nba.com/player/76040/HISTADD-jerome-anderson,False,False,True,,True
Justin Anderson,,,Forward-Guard,6-5,231,Virginia,USA,"November 19, 1993",7 Years,2015 R1 Pick 21,https://www.nba.com/player/1626147/justin-anderson,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1626147.png,False
Kenny Anderson,,,Guard,6-1,168,Georgia Tech,USA,"October 9, 1970",14 Years,1991 R1 Pick 2,https://www.nba.com/player/72/kenny-anderson,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/72.png,False
Kim Anderson,,42,Forward,6-7,200,Missouri,USA,1955-05-12T00:00:00,1 Years,1978 #146,https://www.nba.com/player/76041/HISTADD-kim-anderson,False,False,True,,True
Kyle Anderson,MIA,20,Forward-Guard,6-9,230,UCLA,USA,"September 20, 1993",10 Years,2014 R1 Pick 30,https://www.nba.com/player/203937/kyle-anderson,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Michael Anderson,,10,Guard,5-11,184,Drexel,USA,1966-03-23T00:00:00,1 Years,1988 #73,https://www.nba.com/player/76042/HISTADD-michael-anderson,False,False,True,,True
Mitchell Anderson,,11,Forward,6-8,195,Bradley,USA,1960-09-23T00:00:00,3 Years,1982 #36,https://www.nba.com/player/76043/HISTADD-jj-anderson,False,False,True,,True
Nick Anderson,,5,Forward-Guard,6-6,228,Illinois,USA,"January 20, 1968",14 Years,1989 R1 Pick 11,https://www.nba.com/player/98/nick-anderson,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/98.png,False
Richard Anderson,,35,Forward,6-10,240,California-Santa Barbara,USA,1960-11-19T00:00:00,6 Years,1982 #32,https://www.nba.com/player/76045/HISTADD-richard-anderson,False,False,True,,True
Ron Anderson,,35,Forward,6-7,215,Fresno State,USA,1958-10-15T00:00:00,10 Years,1984 #27,https://www.nba.com/player/76046/HISTADD-ron-anderson,False,False,True,,True
Ryan Anderson,,,Forward,6-9,240,California,USA,"May 6, 1988",12 Years,2008 R1 Pick 21,https://www.nba.com/player/201583/ryan-anderson,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/201583.png,False
Shandon Anderson,,49,Guard-Forward,6-6,215,Georgia,USA,"December 31, 1973",10 Years,1996 R2 Pick 54,https://www.nba.com/player/1000/shandon-anderson,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1000.png,False
Willie Anderson,,35,Guard-Forward,6-8,200,Georgia,USA,"January 8, 1967",8 Years,1988 R1 Pick 10,https://www.nba.com/player/335/willie-anderson,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/335.png,False
Wally Anderzunas,,21,Center,6-7,220,Creighton,USA,1946-01-11T00:00:00,1 Years,1969 #25,https://www.nba.com/player/76048/HISTADD-wally-anderzunas,False,False,True,,True
Martynas Andriuskevicius,,15,Center,7-2,240,Zalgiris,Lithuania,"March 12, 1986",2 Years,2005 R2 Pick 44,https://www.nba.com/player/101149/martynas-andriuskevicius,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/101149.png,False
Don Anielak,,12,Forward,6-7,190,Missouri State,USA,1930-11-01T00:00:00,1 Years,1954 #26,https://www.nba.com/player/76049/HISTADD-don-anielak,False,False,True,,True
Ike Anigbogu,,,Center,6-10,250,UCLA,USA,"October 16, 1998",3 Years,2017 R2 Pick 47,https://www.nba.com/player/1628387/ike-anigbogu,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628387.png,False
Michael Ansley,,54,Forward,6-7,225,Alabama,USA,1967-02-08T00:00:00,3 Years,1989 #37,https://www.nba.com/player/76050/HISTADD-michael-ansley,False,False,True,,True
Chris Anstey,,22,Center,7-0,249,South East Melbourne,Australia,"January 1, 1975",2 Years,1997 R1 Pick 18,https://www.nba.com/player/1512/chris-anstey,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1512.png,False
Giannis Antetokounmpo,MIL,34,Forward,6-11,243,Filathlitikos,Greece,"December 6, 1994",11 Years,2013 R1 Pick 15,https://www.nba.com/player/203507/giannis-antetokounmpo,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Kostas Antetokounmpo,,37,Forward,6-10,200,Dayton,Greece,"November 20, 1997",4 Years,2018 R2 Pick 60,https://www.nba.com/player/1628961/kostas-antetokounmpo,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628961.png,False
Thanasis Antetokounmpo,,43,Forward,6-7,219,Panathinaikos,Greece,"July 18, 1992",7 Years,2014 R2 Pick 51,https://www.nba.com/player/203648/thanasis-antetokounmpo,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203648.png,False
Carmelo Anthony,,7,Forward,6-7,238,Syracuse,USA,"May 29, 1984",20 Years,2003 R1 Pick 3,https://www.nba.com/player/2546/carmelo-anthony,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/2546.png,False
Cole Anthony,ORL,50,Guard,6-2,185,North Carolina,USA,"May 15, 2000",4 Years,2020 R1 Pick 15,https://www.nba.com/player/1630175/cole-anthony,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Greg Anthony,,50,Guard,6-1,180,UNLV,USA,"November 15, 1967",11 Years,1991 R1 Pick 12,https://www.nba.com/player/21/greg-anthony,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/21.png,False
Joel Anthony,,30,Center,6-9,245,UNLV,Canada,"August 9, 1982",11 Years,Undrafted,https://www.nba.com/player/201202/joel-anthony,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/201202.png,False
Pero Antic,,6,Forward-Center,6-11,260,Olympiacos,Macedonia,"July 29, 1982",2 Years,Undrafted,https://www.nba.com/player/203544/pero-antic,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203544.png,False
OG Anunoby,NYK,8,Forward-Guard,6-7,240,Indiana,United Kingdom,"July 17, 1997",7 Years,2017 R1 Pick 23,https://www.nba.com/player/1628384/og-anunoby,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Keith Appling,,,Guard,6-1,185,Michigan State,USA,"February 13, 1992",1 Year,Undrafted,https://www.nba.com/player/203951/keith-appling,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203951.png,False
Rafael Araujo,,55,Center,6-11,270,Brigham Young,Brazil,"August 12, 1980",4 Years,2004 R1 Pick 8,https://www.nba.com/player/2737/rafael-araujo,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/2737.png,False
Stacey Arceneaux,,,Forward,6-4,210,Iowa State,USA,1936-02-17T00:00:00,1 Years,Undrafted #Undrafted,https://www.nba.com/player/76053/HISTADD-stacey-arceneaux,False,False,True,,True
Nate Archibald,,1,Guard,6-1,150,Texas-El Paso,USA,1948-09-02T00:00:00,13 Years,1970 #19,https://www.nba.com/player/76054/HISTADD-nate-archibald,False,False,True,,True
