season,player_id,player_name,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2021-22,1629638,Nickeil Alexander-Walker,Nickeil,1610612762,UTA,Utah Jazz,22101194,2022-04-06T00:00:00,UTA vs. OKC,W,14.133333333333333,3,4,0.75,2,3,0.667,1,1,1.0,0,3,3,2,0,1,0,0,0,1,9,24,18.6,0,0,18.0,1,1,1,1,20170,12092,18068,2016,4334,10639,1954,10221,12877,1,13184,9837,12968,9105,16136,4518,8184,1,1,11915,12093,580,13546,2151,131,13102,1,14:08,2021,2022
2021-22,202711,Bojan Bogdanović,Bojan,1610612762,UTA,Utah Jazz,22101194,2022-04-06T00:00:00,UTA vs. OKC,W,25.75,7,11,0.636,2,4,0.5,11,12,0.917,2,3,5,0,3,0,0,0,1,6,27,5,30.0,0,0,34.0,1,1,1,1,11343,3477,6941,4558,4334,7950,3792,112,193,6721,3074,9837,7407,18990,1921,12287,8184,1,5520,909,1195,7652,6643,2151,131,4316,1,25:45,2021,2022
2021-22,203903,Jordan Clarkson,Jordan,1610612762,UTA,Utah Jazz,22101194,2022-04-06T00:00:00,UTA vs. OKC,W,29.316666666666663,7,11,0.636,4,6,0.667,0,0,0.0,0,1,1,10,3,0,0,0,1,0,18,25,31.2,1,0,33.0,1,1,1,1,8435,3477,6941,4558,993,3994,1954,13659,14456,13659,13184,17946,19929,390,1921,12287,8184,1,5520,18239,4414,490,6084,1,131,4663,1,29:19,2021,2022
2021-22,202355,Hassan Whiteside,Hassan,1610612762,UTA,Utah Jazz,22101194,2022-04-06T00:00:00,UTA vs. OKC,W,17.266666666666666,5,9,0.556,0,0,0.0,5,8,0.625,8,3,11,1,0,0,5,0,3,4,15,4,44.7,1,0,37.0,1,1,1,1,18089,6861,9508,7108,14232,20469,14232,1788,901,10223,21,9837,1085,13245,16136,12287,20,1,17825,2687,6399,8480,1790,1,131,3264,1,17:16,2021,2022
2021-22,200752,Rudy Gay,Rudy,1610612762,UTA,Utah Jazz,22101194,2022-04-06T00:00:00,UTA vs. OKC,W,26.05,5,7,0.714,2,3,0.667,0,1,0.0,0,8,8,3,0,0,2,0,1,1,12,20,32.1,0,0,29.0,1,1,1,1,11119,6861,12670,2696,4334,10639,1954,13659,12877,13659,13184,1315,2921,6215,16136,12287,702,1,5520,11915,8935,1125,5712,2151,131,6398,1,26:03,2021,2022
2021-22,203497,Rudy Gobert,Rudy,1610612762,UTA,Utah Jazz,22101194,2022-04-06T00:00:00,UTA vs. OKC,W,26.15,9,9,1.0,0,0,0.0,2,4,0.5,2,8,10,1,0,1,2,0,2,5,20,33,42.5,1,0,37.0,1,1,1,1,11034,1550,9508,1,14232,20469,14232,6073,3790,10631,3074,1315,1514,13245,16136,4518,702,1,11965,1601,3410,101,2264,1,131,3264,1,26:09,2021,2022
2021-22,1630235,Trent Forrest,Trent,1610612762,UTA,Utah Jazz,22101194,2022-04-06T00:00:00,UTA vs. OKC,W,12.2,2,2,1.0,0,0,0.0,0,0,0.0,0,1,1,2,2,0,1,0,0,1,4,2,9.2,0,0,9.0,1,1,1,1,21213,15413,21680,1,14232,20469,14232,13659,14456,13659,13184,17946,19929,9105,4151,12287,2399,1,1,11915,18560,10189,19975,2151,131,19594,1,12:12,2021,2022
2021-22,1627823,Juancho Hernangomez,Juancho,1610612762,UTA,Utah Jazz,22101194,2022-04-06T00:00:00,UTA vs. OKC,W,16.7,1,4,0.25,0,1,0.0,2,3,0.667,1,3,4,0,0,0,0,1,0,1,4,12,8.8,0,0,8.0,1,1,1,1,18478,18993,18068,19950,14232,16850,14232,6073,6104,9343,6346,9837,9918,18990,16136,12287,8184,17438,1,11915,18560,3538,20279,2151,131,20309,1,16:42,2021,2022
2021-22,1627863,Danuel House Jr.,Danuel,1610612762,UTA,Utah Jazz,22101194,2022-04-06T00:00:00,UTA vs. OKC,W,25.95,4,7,0.571,4,7,0.571,2,2,1.0,1,1,2,0,3,2,0,0,3,1,14,31,19.4,0,0,24.0,1,1,1,1,11191,9264,12670,6408,993,2729,3385,6073,7614,1,6346,17946,16419,18990,1921,1427,8184,1,17825,11915,7184,141,12981,2151,131,9141,1,25:57,2021,2022
2021-22,1630215,Jared Butler,Jared,1610612762,UTA,Utah Jazz,22101194,2022-04-06T00:00:00,UTA vs. OKC,W,30.016666666666666,3,13,0.231,1,9,0.111,0,0,0.0,0,6,6,10,0,3,0,0,1,1,7,15,38.2,0,0,30.0,1,1,1,1,7821,12092,4902,20916,8144,1120,14165,13659,14456,13659,13184,3087,5450,390,16136,406,8184,1,5520,11915,14596,2414,3422,2151,131,5928,1,30:01,2021,2022
