season,season_start,season_end,award,team_rank,player,player_id,position,lg,voting,age,tm,g,mp,pts,trb,ast,stl,blk,fgpct,3ppct,ftpct,ws,ws_48,9999,coach,w,l,w_lpct,games
2011-12,2011,2012,all_defense_teams,2nd,Kobe Bryant,bryanko01,,NBA,,,,,,,,,,,,,,,,,,,,,
2010-11,2010,2011,all_defense_teams,1st,Kobe Bryant,bryanko01,,NBA,,,,,,,,,,,,,,,,,,,,,
2010-11,2010,2011,all_defense_teams,2nd,Tony Allen,allento01,,NBA,,,,,,,,,,,,,,,,,,,,,
2009-10,2009,2010,all_defense_teams,1st,Kobe Bryant,bryanko01,,NBA,,,,,,,,,,,,,,,,,,,,,
2009-10,2009,2010,all_defense_teams,2nd,Tim Duncan,duncati01,,NBA,,,,,,,,,,,,,,,,,,,,,
2008-09,2008,2009,all_defense_teams,1st,Kobe Bryant,bryanko01,,NBA,,,,,,,,,,,,,,,,,,,,,
2008-09,2008,2009,all_defense_teams,2nd,Metta World Peace,worldme01,,NBA,,,,,,,,,,,,,,,,,,,,,
2007-08,2007,2008,all_defense_teams,1st,Bruce Bowen,bowenbr01,,NBA,,,,,,,,,,,,,,,,,,,,,
2007-08,2007,2008,all_defense_teams,2nd,Shane Battier,battish01,,NBA,,,,,,,,,,,,,,,,,,,,,
2006-07,2006,2007,all_defense_teams,1st,Raja Bell,bellra010,,NBA,,,,,,,,,,,,,,,,,,,,,
2006-07,2006,2007,all_defense_teams,2nd,Kevin Garnett,garneke01,,NBA,,,,,,,,,,,,,,,,,,,,,
2005-06,2005,2006,all_defense_teams,1st,Metta World Peace,worldme01,,NBA,,,,,,,,,,,,,,,,,,,,,
2005-06,2005,2006,all_defense_teams,2nd,Chauncey Billups,billuch01,,NBA,,,,,,,,,,,,,,,,,,,,,
2004-05,2004,2005,all_defense_teams,1st,Bruce Bowen,bowenbr01,,NBA,,,,,,,,,,,,,,,,,,,,,
2004-05,2004,2005,all_defense_teams,2nd,Chauncey Billups,billuch01,,NBA,,,,,,,,,,,,,,,,,,,,,
2003-04,2003,2004,all_defense_teams,1st,Metta World Peace,worldme01,,NBA,,,,,,,,,,,,,,,,,,,,,
2003-04,2003,2004,all_defense_teams,2nd,Doug Christie,chrisdo01,,NBA,,,,,,,,,,,,,,,,,,,,,
2002-03,2002,2003,all_defense_teams,1st,Kobe Bryant,bryanko01,,NBA,,,,,,,,,,,,,,,,,,,,,
2002-03,2002,2003,all_defense_teams,2nd,Metta World Peace,worldme01,,NBA,,,,,,,,,,,,,,,,,,,,,
2001-02,2001,2002,all_defense_teams,1st,Tim Duncan,duncati01,,NBA,,,,,,,,,,,,,,,,,,,,,
2001-02,2001,2002,all_defense_teams,2nd,Bruce Bowen,bowenbr01,,NBA,,,,,,,,,,,,,,,,,,,,,
2000-01,2000,2001,all_defense_teams,1st,Tim Duncan,duncati01,,NBA,,,,,,,,,,,,,,,,,,,,,
2000-01,2000,2001,all_defense_teams,2nd,Bruce Bowen,bowenbr01,,NBA,,,,,,,,,,,,,,,,,,,,,
1999-00,1999,2000,all_defense_teams,1st,Kobe Bryant,bryanko01,,NBA,,,,,,,,,,,,,,,,,,,,,
1999-00,1999,2000,all_defense_teams,2nd,Eddie Jones,jonesed01,,NBA,,,,,,,,,,,,,,,,,,,,,
1998-99,1998,2099,all_defense_teams,1st,Tim Duncan,duncati01,,NBA,,,,,,,,,,,,,,,,,,,,,
1998-99,1998,2099,all_defense_teams,2nd,Mookie Blaylock,blaylmo01,,NBA,,,,,,,,,,,,,,,,,,,,,
1997-98,1997,2098,all_defense_teams,1st,Michael Jordan,jordami01,,NBA,,,,,,,,,,,,,,,,,,,,,
1997-98,1997,2098,all_defense_teams,2nd,Mookie Blaylock,blaylmo01,,NBA,,,,,,,,,,,,,,,,,,,,,
1996-97,1996,2097,all_defense_teams,1st,Michael Jordan,jordami01,,NBA,,,,,,,,,,,,,,,,,,,,,
1996-97,1996,2097,all_defense_teams,2nd,Mookie Blaylock,blaylmo01,,NBA,,,,,,,,,,,,,,,,,,,,,
1995-96,1995,2096,all_defense_teams,1st,Michael Jordan,jordami01,,NBA,,,,,,,,,,,,,,,,,,,,,
1995-96,1995,2096,all_defense_teams,2nd,Mookie Blaylock,blaylmo01,,NBA,,,,,,,,,,,,,,,,,,,,,
1994-95,1994,2095,all_defense_teams,1st,Mookie Blaylock,blaylmo01,,NBA,,,,,,,,,,,,,,,,,,,,,
1994-95,1994,2095,all_defense_teams,2nd,Horace Grant,grantho01,,NBA,,,,,,,,,,,,,,,,,,,,,
1993-94,1993,2094,all_defense_teams,1st,Mookie Blaylock,blaylmo01,,NBA,,,,,,,,,,,,,,,,,,,,,
1993-94,1993,2094,all_defense_teams,2nd,Horace Grant,grantho01,,NBA,,,,,,,,,,,,,,,,,,,,,
1992-93,1992,2093,all_defense_teams,1st,Joe Dumars,dumarjo01,,NBA,,,,,,,,,,,,,,,,,,,,,
1992-93,1992,2093,all_defense_teams,2nd,Horace Grant,grantho01,,NBA,,,,,,,,,,,,,,,,,,,,,
1991-92,1991,2092,all_defense_teams,1st,Joe Dumars,dumarjo01,,NBA,,,,,,,,,,,,,,,,,,,,,
1991-92,1991,2092,all_defense_teams,2nd,Patrick Ewing,ewingpa01,,NBA,,,,,,,,,,,,,,,,,,,,,
1990-91,1990,2091,all_defense_teams,1st,Michael Jordan,jordami01,,NBA,,,,,,,,,,,,,,,,,,,,,
1990-91,1990,2091,all_defense_teams,2nd,Joe Dumars,dumarjo01,,NBA,,,,,,,,,,,,,,,,,,,,,
1989-90,1989,2090,all_defense_teams,1st,Joe Dumars,dumarjo01,,NBA,,,,,,,,,,,,,,,,,,,,,
1989-90,1989,2090,all_defense_teams,2nd,Derek Harper,harpede01,,NBA,,,,,,,,,,,,,,,,,,,,,
1988-89,1988,2089,all_defense_teams,1st,Joe Dumars,dumarjo01,,NBA,,,,,,,,,,,,,,,,,,,,,
1988-89,1988,2089,all_defense_teams,2nd,Patrick Ewing,ewingpa01,,NBA,,,,,,,,,,,,,,,,,,,,,
1987-88,1987,2088,all_defense_teams,1st,Michael Cooper,coopemi01,,NBA,,,,,,,,,,,,,,,,,,,,,
1987-88,1987,2088,all_defense_teams,2nd,Fat Lever,fatlever_na,,NBA,,,,,,,,,,,,,,,,,,,,,
1986-87,1986,2087,all_defense_teams,1st,Michael Cooper,coopemi01,,NBA,,,,,,,,,,,,,,,,,,,,,
1986-87,1986,2087,all_defense_teams,2nd,Maurice Cheeks,cheekma01,,NBA,,,,,,,,,,,,,,,,,,,,,
1985-86,1985,2086,all_defense_teams,1st,Maurice Cheeks,cheekma01,,NBA,,,,,,,,,,,,,,,,,,,,,
1985-86,1985,2086,all_defense_teams,2nd,Manute Bol,bolma0100,,NBA,,,,,,,,,,,,,,,,,,,,,
1984-85,1984,2085,all_defense_teams,1st,Maurice Cheeks,cheekma01,,NBA,,,,,,,,,,,,,,,,,,,,,
1984-85,1984,2085,all_defense_teams,2nd,T.R. Dunn,dunntr010,,NBA,,,,,,,,,,,,,,,,,,,,,
1983-84,1983,2084,all_defense_teams,1st,Maurice Cheeks,cheekma01,,NBA,,,,,,,,,,,,,,,,,,,,,
1983-84,1983,2084,all_defense_teams,2nd,Kareem Abdul-Jabbar,abdulka01,,NBA,,,,,,,,,,,,,,,,,,,,,
1982-83,1982,2083,all_defense_teams,1st,Bobby Jones,jonesbo01,,NBA,,,,,,,,,,,,,,,,,,,,,
1982-83,1982,2083,all_defense_teams,2nd,Larry Bird,birdla010,,NBA,,,,,,,,,,,,,,,,,,,,,
1981-82,1981,2082,all_defense_teams,1st,Michael Cooper,coopemi01,,NBA,,,,,,,,,,,,,,,,,,,,,
1981-82,1981,2082,all_defense_teams,2nd,Larry Bird,birdla010,,NBA,,,,,,,,,,,,,,,,,,,,,
1980-81,1980,2081,all_defense_teams,1st,Kareem Abdul-Jabbar,abdulka01,,NBA,,,,,,,,,,,,,,,,,,,,,
1980-81,1980,2081,all_defense_teams,2nd,Quinn Buckner,bucknqu01,,NBA,,,,,,,,,,,,,,,,,,,,,
1979-80,1979,2080,all_defense_teams,1st,Kareem Abdul-Jabbar,abdulka01,,NBA,,,,,,,,,,,,,,,,,,,,,
1979-80,1979,2080,all_defense_teams,2nd,Quinn Buckner,bucknqu01,,NBA,,,,,,,,,,,,,,,,,,,,,
1978-79,1978,2079,all_defense_teams,1st,Kareem Abdul-Jabbar,abdulka01,,NBA,,,,,,,,,,,,,,,,,,,,,
1978-79,1978,2079,all_defense_teams,2nd,M.L. Carr,carrml010,,NBA,,,,,,,,,,,,,,,,,,,,,
1977-78,1977,2078,all_defense_teams,1st,Don Buse,busedo010,,NBA,,,,,,,,,,,,,,,,,,,,,
1977-78,1977,2078,all_defense_teams,2nd,Quinn Buckner,bucknqu01,,NBA,,,,,,,,,,,,,,,,,,,,,
1976-77,1976,2077,all_defense_teams,1st,Don Buse,busedo010,,NBA,,,,,,,,,,,,,,,,,,,,,
1976-77,1976,2077,all_defense_teams,2nd,Kareem Abdul-Jabbar,abdulka01,,NBA,,,,,,,,,,,,,,,,,,,,,
1975-76,1975,2076,all_defense_teams,1st,Dave Cowens,cowenda01,,NBA,,,,,,,,,,,,,,,,,,,,,
1975-76,1975,2076,all_defense_teams,2nd,Kareem Abdul-Jabbar,abdulka01,,NBA,,,,,,,,,,,,,,,,,,,,,
1975-76,1975,2076,all_defense_teams,1st,Don Buse,busedo010,,ABA,,,,,,,,,,,,,,,,,,,,,
1974-75,1974,2075,all_defense_teams,1st,Kareem Abdul-Jabbar,abdulka01,,NBA,,,,,,,,,,,,,,,,,,,,,
1974-75,1974,2075,all_defense_teams,2nd,Don Chaney,chanedo01,,NBA,,,,,,,,,,,,,,,,,,,,,
1974-75,1974,2075,all_defense_teams,1st,Don Buse,busedo010,,ABA,,,,,,,,,,,,,,,,,,,,,
1973-74,1973,2074,all_defense_teams,1st,Kareem Abdul-Jabbar,abdulka01,,NBA,,,,,,,,,,,,,,,,,,,,,
1973-74,1973,2074,all_defense_teams,2nd,Don Chaney,chanedo01,,NBA,,,,,,,,,,,,,,,,,,,,,
1973-74,1973,2074,all_defense_teams,1st,Artis Gilmore,gilmoar01,,ABA,,,,,,,,,,,,,,,,,,,,,
1972-73,1972,2073,all_defense_teams,1st,Wilt Chamberlain,chambwi01,,NBA,,,,,,,,,,,,,,,,,,,,,
1972-73,1972,2073,all_defense_teams,2nd,Don Chaney,chanedo01,,NBA,,,,,,,,,,,,,,,,,,,,,
1972-73,1972,2073,all_defense_teams,1st,Mike Gale,galemi010,,ABA,,,,,,,,,,,,,,,,,,,,,
1971-72,1971,2072,all_defense_teams,1st,Wilt Chamberlain,chambwi01,,NBA,,,,,,,,,,,,,,,,,,,,,
1971-72,1971,2072,all_defense_teams,2nd,Don Chaney,chanedo01,,NBA,,,,,,,,,,,,,,,,,,,,,
1970-71,1970,2071,all_defense_teams,1st,Dave DeBusschere,debusda01,,NBA,,,,,,,,,,,,,,,,,,,,,
1970-71,1970,2071,all_defense_teams,2nd,Kareem Abdul-Jabbar,abdulka01,,NBA,,,,,,,,,,,,,,,,,,,,,
1969-70,1969,2070,all_defense_teams,1st,Dave DeBusschere,debusda01,,NBA,,,,,,,,,,,,,,,,,,,,,
1969-70,1969,2070,all_defense_teams,2nd,Kareem Abdul-Jabbar,abdulka01,,NBA,,,,,,,,,,,,,,,,,,,,,
1968-69,1968,2069,all_defense_teams,1st,Dave DeBusschere,debusda01,,NBA,,,,,,,,,,,,,,,,,,,,,
1968-69,1968,2069,all_defense_teams,2nd,Bill Bridges,bridgbi01,,NBA,,,,,,,,,,,,,,,,,,,,,
2024-25,2024,2025,all_defense_teams,1st,Luguentz Dort,dortlu010,,NBA,,,,,,,,,,,,,,,,,,,,,
2024-25,2024,2025,all_defense_teams,2nd,Rudy Gobert,goberru01,,NBA,,,,,,,,,,,,,,,,,,,,,
2023-24,2023,2024,all_defense_teams,1st,Victor Wembanyama,wembavi01,,NBA,,,,,,,,,,,,,,,,,,,,,
2023-24,2023,2024,all_defense_teams,2nd,Jalen Suggs,suggsja01,,NBA,,,,,,,,,,,,,,,,,,,,,
2022-23,2022,2023,all_defense_teams,1st,Jrue Holiday,holidjr01,,NBA,,,,,,,,,,,,,,,,,,,,,
2022-23,2022,2023,all_defense_teams,2nd,OG Anunoby,anunoog01,,NBA,,,,,,,,,,,,,,,,,,,,,
2021-22,2021,2022,all_defense_teams,1st,Mikal Bridges,bridgmi01,,NBA,,,,,,,,,,,,,,,,,,,,,
2021-22,2021,2022,all_defense_teams,2nd,Draymond Green,greendr01,,NBA,,,,,,,,,,,,,,,,,,,,,
2020-21,2020,2021,all_defense_teams,1st,Ben Simmons,simmobe01,,NBA,,,,,,,,,,,,,,,,,,,,,
2020-21,2020,2021,all_defense_teams,2nd,Jimmy Butler,jimmybutler_na,,NBA,,,,,,,,,,,,,,,,,,,,,
2019-20,2019,2020,all_defense_teams,1st,Anthony Davis,davisan01,,NBA,,,,,,,,,,,,,,,,,,,,,
2019-20,2019,2020,all_defense_teams,2nd,Brook Lopez,lopezbr01,,NBA,,,,,,,,,,,,,,,,,,,,,
2018-19,2018,2019,all_defense_teams,1st,Paul George,georgpa01,,NBA,,,,,,,,,,,,,,,,,,,,,
2018-19,2018,2019,all_defense_teams,2nd,Klay Thompson,thompkl01,,NBA,,,,,,,,,,,,,,,,,,,,,
2017-18,2017,2018,all_defense_teams,1st,Anthony Davis,davisan01,,NBA,,,,,,,,,,,,,,,,,,,,,
2017-18,2017,2018,all_defense_teams,2nd,Draymond Green,greendr01,,NBA,,,,,,,,,,,,,,,,,,,,,
2016-17,2016,2017,all_defense_teams,1st,Draymond Green,greendr01,,NBA,,,,,,,,,,,,,,,,,,,,,
2016-17,2016,2017,all_defense_teams,2nd,Danny Green,greenda01,,NBA,,,,,,,,,,,,,,,,,,,,,
2015-16,2015,2016,all_defense_teams,1st,Draymond Green,greendr01,,NBA,,,,,,,,,,,,,,,,,,,,,
2015-16,2015,2016,all_defense_teams,2nd,Paul George,georgpa01,,NBA,,,,,,,,,,,,,,,,,,,,,
2014-15,2014,2015,all_defense_teams,1st,Draymond Green,greendr01,,NBA,,,,,,,,,,,,,,,,,,,,,
2014-15,2014,2015,all_defense_teams,2nd,Jimmy Butler,jimmybutler_na,,NBA,,,,,,,,,,,,,,,,,,,,,
2013-14,2013,2014,all_defense_teams,1st,Paul George,georgpa01,,NBA,,,,,,,,,,,,,,,,,,,,,
2013-14,2013,2014,all_defense_teams,2nd,Patrick Beverley,beverpa01,,NBA,,,,,,,,,,,,,,,,,,,,,
2012-13,2012,2013,all_defense_teams,1st,Serge Ibaka,ibakase01,,NBA,,,,,,,,,,,,,,,,,,,,,
2012-13,2012,2013,all_defense_teams,2nd,Mike Conley,conlemi01,,NBA,,,,,,,,,,,,,,,,,,,,,
2011-12,2011,2012,all_defense_teams,1st,Dwight Howard,howardw01,,NBA,,,,,,,,,,,,,,,,,,,,,
2011-12,2011,2012,all_defense_teams,2nd,Tyson Chandler,chandty01,,NBA,,,,,,,,,,,,,,,,,,,,,
2010-11,2010,2011,all_defense_teams,1st,Kevin Garnett,garneke01,,NBA,,,,,,,,,,,,,,,,,,,,,
2010-11,2010,2011,all_defense_teams,2nd,Tyson Chandler,chandty01,,NBA,,,,,,,,,,,,,,,,,,,,,
2009-10,2009,2010,all_defense_teams,1st,Dwight Howard,howardw01,,NBA,,,,,,,,,,,,,,,,,,,,,
2009-10,2009,2010,all_defense_teams,2nd,Thabo Sefolosha,sefolth01,,NBA,,,,,,,,,,,,,,,,,,,,,
2008-09,2008,2009,all_defense_teams,1st,Kevin Garnett,garneke01,,NBA,,,,,,,,,,,,,,,,,,,,,
2008-09,2008,2009,all_defense_teams,2nd,Shane Battier,battish01,,NBA,,,,,,,,,,,,,,,,,,,,,
2007-08,2007,2008,all_defense_teams,1st,Kobe Bryant,bryanko01,,NBA,,,,,,,,,,,,,,,,,,,,,
2007-08,2007,2008,all_defense_teams,2nd,Raja Bell,bellra010,,NBA,,,,,,,,,,,,,,,,,,,,,
2006-07,2006,2007,all_defense_teams,1st,Bruce Bowen,bowenbr01,,NBA,,,,,,,,,,,,,,,,,,,,,
2006-07,2006,2007,all_defense_teams,2nd,Kirk Hinrich,hinriki01,,NBA,,,,,,,,,,,,,,,,,,,,,
2005-06,2005,2006,all_defense_teams,1st,Bruce Bowen,bowenbr01,,NBA,,,,,,,,,,,,,,,,,,,,,
2005-06,2005,2006,all_defense_teams,2nd,Marcus Camby,cambyma01,,NBA,,,,,,,,,,,,,,,,,,,,,
2004-05,2004,2005,all_defense_teams,1st,Tim Duncan,duncati01,,NBA,,,,,,,,,,,,,,,,,,,,,
2004-05,2004,2005,all_defense_teams,2nd,Marcus Camby,cambyma01,,NBA,,,,,,,,,,,,,,,,,,,,,
2003-04,2003,2004,all_defense_teams,1st,Bruce Bowen,bowenbr01,,NBA,,,,,,,,,,,,,,,,,,,,,
2003-04,2003,2004,all_defense_teams,2nd,Tim Duncan,duncati01,,NBA,,,,,,,,,,,,,,,,,,,,,
2002-03,2002,2003,all_defense_teams,1st,Doug Christie,chrisdo01,,NBA,,,,,,,,,,,,,,,,,,,,,
2002-03,2002,2003,all_defense_teams,2nd,Bruce Bowen,bowenbr01,,NBA,,,,,,,,,,,,,,,,,,,,,
2001-02,2001,2002,all_defense_teams,1st,Kevin Garnett,garneke01,,NBA,,,,,,,,,,,,,,,,,,,,,
2001-02,2001,2002,all_defense_teams,2nd,Kobe Bryant,bryanko01,,NBA,,,,,,,,,,,,,,,,,,,,,
2000-01,2000,2001,all_defense_teams,1st,Kevin Garnett,garneke01,,NBA,,,,,,,,,,,,,,,,,,,,,
2000-01,2000,2001,all_defense_teams,2nd,P.J. Brown,brownpj01,,NBA,,,,,,,,,,,,,,,,,,,,,
1999-00,1999,2000,all_defense_teams,1st,Tim Duncan,duncati01,,NBA,,,,,,,,,,,,,,,,,,,,,
1999-00,1999,2000,all_defense_teams,2nd,Jason Kidd,kiddja010,,NBA,,,,,,,,,,,,,,,,,,,,,
1998-99,1998,2099,all_defense_teams,1st,Jason Kidd,kiddja010,,NBA,,,,,,,,,,,,,,,,,,,,,
1998-99,1998,2099,all_defense_teams,2nd,P.J. Brown,brownpj01,,NBA,,,,,,,,,,,,,,,,,,,,,
1997-98,1997,2098,all_defense_teams,1st,Karl Malone,malonka01,,NBA,,,,,,,,,,,,,,,,,,,,,
1997-98,1997,2098,all_defense_teams,2nd,Tim Duncan,duncati01,,NBA,,,,,,,,,,,,,,,,,,,,,
1996-97,1996,2097,all_defense_teams,1st,Karl Malone,malonka01,,NBA,,,,,,,,,,,,,,,,,,,,,
1996-97,1996,2097,all_defense_teams,2nd,P.J. Brown,brownpj01,,NBA,,,,,,,,,,,,,,,,,,,,,
1995-96,1995,2096,all_defense_teams,1st,Gary Payton,paytoga01,,NBA,,,,,,,,,,,,,,,,,,,,,
1995-96,1995,2096,all_defense_teams,2nd,Horace Grant,grantho01,,NBA,,,,,,,,,,,,,,,,,,,,,
1994-95,1994,2095,all_defense_teams,1st,Gary Payton,paytoga01,,NBA,,,,,,,,,,,,,,,,,,,,,
1994-95,1994,2095,all_defense_teams,2nd,Derrick McKey,mckeyde01,,NBA,,,,,,,,,,,,,,,,,,,,,
1993-94,1993,2094,all_defense_teams,1st,Charles Oakley,oaklech01,,NBA,,,,,,,,,,,,,,,,,,,,,
1993-94,1993,2094,all_defense_teams,2nd,Nate McMillan,mcmilna01,,NBA,,,,,,,,,,,,,,,,,,,,,
1992-93,1992,2093,all_defense_teams,1st,Michael Jordan,jordami01,,NBA,,,,,,,,,,,,,,,,,,,,,
1992-93,1992,2093,all_defense_teams,2nd,Dan Majerle,majerda01,,NBA,,,,,,,,,,,,,,,,,,,,,
1991-92,1991,2092,all_defense_teams,1st,Michael Jordan,jordami01,,NBA,,,,,,,,,,,,,,,,,,,,,
1991-92,1991,2092,all_defense_teams,2nd,Larry Nance,nancela01,,NBA,,,,,,,,,,,,,,,,,,,,,
1990-91,1990,2091,all_defense_teams,1st,Alvin Robertson,roberal01,,NBA,,,,,,,,,,,,,,,,,,,,,
1990-91,1990,2091,all_defense_teams,2nd,Dan Majerle,majerda01,,NBA,,,,,,,,,,,,,,,,,,,,,
1989-90,1989,2090,all_defense_teams,1st,Michael Jordan,jordami01,,NBA,,,,,,,,,,,,,,,,,,,,,
1989-90,1989,2090,all_defense_teams,2nd,Rick Mahorn,mahorri01,,NBA,,,,,,,,,,,,,,,,,,,,,
1988-89,1988,2089,all_defense_teams,1st,Mark Eaton,eatonma01,,NBA,,,,,,,,,,,,,,,,,,,,,
1988-89,1988,2089,all_defense_teams,2nd,A.C. Green,greenac01,,NBA,,,,,,,,,,,,,,,,,,,,,
1987-88,1987,2088,all_defense_teams,1st,Michael Jordan,jordami01,,NBA,,,,,,,,,,,,,,,,,,,,,
1987-88,1987,2088,all_defense_teams,2nd,Karl Malone,malonka01,,NBA,,,,,,,,,,,,,,,,,,,,,
1986-87,1986,2087,all_defense_teams,1st,Dennis Johnson,johnsde02,,NBA,,,,,,,,,,,,,,,,,,,,,
1986-87,1986,2087,all_defense_teams,2nd,Mark Eaton,eatonma01,,NBA,,,,,,,,,,,,,,,,,,,,,
1985-86,1985,2086,all_defense_teams,1st,Mark Eaton,eatonma01,,NBA,,,,,,,,,,,,,,,,,,,,,
1985-86,1985,2086,all_defense_teams,2nd,Michael Cooper,coopemi01,,NBA,,,,,,,,,,,,,,,,,,,,,
1984-85,1984,2085,all_defense_teams,1st,Michael Cooper,coopemi01,,NBA,,,,,,,,,,,,,,,,,,,,,
1984-85,1984,2085,all_defense_teams,2nd,Dennis Johnson,johnsde02,,NBA,,,,,,,,,,,,,,,,,,,,,
1983-84,1983,2084,all_defense_teams,1st,Michael Cooper,coopemi01,,NBA,,,,,,,,,,,,,,,,,,,,,
1983-84,1983,2084,all_defense_teams,2nd,Larry Bird,birdla010,,NBA,,,,,,,,,,,,,,,,,,,,,
1982-83,1982,2083,all_defense_teams,1st,Moses Malone,malonmo01,,NBA,,,,,,,,,,,,,,,,,,,,,
1982-83,1982,2083,all_defense_teams,2nd,Michael Cooper,coopemi01,,NBA,,,,,,,,,,,,,,,,,,,,,
1981-82,1981,2082,all_defense_teams,1st,Dennis Johnson,johnsde02,,NBA,,,,,,,,,,,,,,,,,,,,,
1981-82,1981,2082,all_defense_teams,2nd,Quinn Buckner,bucknqu01,,NBA,,,,,,,,,,,,,,,,,,,,,
1980-81,1980,2081,all_defense_teams,1st,Dennis Johnson,johnsde02,,NBA,,,,,,,,,,,,,,,,,,,,,
1980-81,1980,2081,all_defense_teams,2nd,George Johnson,johnsge01,,NBA,,,,,,,,,,,,,,,,,,,,,
1979-80,1979,2080,all_defense_teams,1st,Dennis Johnson,johnsde02,,NBA,,,,,,,,,,,,,,,,,,,,,
1979-80,1979,2080,all_defense_teams,2nd,Dave Cowens,cowenda01,,NBA,,,,,,,,,,,,,,,,,,,,,
1978-79,1978,2079,all_defense_teams,1st,Don Buse,busedo010,,NBA,,,,,,,,,,,,,,,,,,,,,
1978-79,1978,2079,all_defense_teams,2nd,Lionel Hollins,hollili01,,NBA,,,,,,,,,,,,,,,,,,,,,
1977-78,1977,2078,all_defense_teams,1st,Lionel Hollins,hollili01,,NBA,,,,,,,,,,,,,,,,,,,,,
1977-78,1977,2078,all_defense_teams,2nd,E.C. Coleman,colemec01,,NBA,,,,,,,,,,,,,,,,,,,,,
1976-77,1976,2077,all_defense_teams,1st,E.C. Coleman,colemec01,,NBA,,,,,,,,,,,,,,,,,,,,,
1976-77,1976,2077,all_defense_teams,2nd,Jim Brewer,breweji01,,NBA,,,,,,,,,,,,,,,,,,,,,
1975-76,1975,2076,all_defense_teams,1st,John Havlicek,havlijo01,,NBA,,,,,,,,,,,,,,,,,,,,,
1975-76,1975,2076,all_defense_teams,2nd,Jim Brewer,breweji01,,NBA,,,,,,,,,,,,,,,,,,,,,
1975-76,1975,2076,all_defense_teams,1st,Julius Erving,ervinju01,,ABA,,,,,,,,,,,,,,,,,,,,,
