season,lg,player,age,team,g,mp,pts,trb,ast,stl,blk,fg_pct,3p_pct,ft_pct,ws,ws_48,-9999,award,season_start,season_end
1987-88,NBA,Mark Jackson,22,NYK,82,39.6,13.6,4.8,10.6,2.5,0.1,0.432,0.254,0.774,7.6,0.113,,roty,1987,1988
1986-87,NBA,Chuck Person,22,IND,82,36.0,18.8,8.3,3.6,1.1,0.2,0.468,0.355,0.747,5.4,0.088,,roty,1986,1987
1985-86,NBA,Patrick Ewing,23,NYK,50,35.4,20.0,9.0,2.0,1.1,2.1,0.474,0.0,0.739,3.1,0.084,,roty,1985,1986
1984-85,NBA,Michael Jordan,21,CHI,82,38.3,28.2,6.5,5.9,2.4,0.8,0.515,0.173,0.845,14.0,0.213,,roty,1984,1985
1983-84,NBA,Ralph Sampson,23,HOU,82,32.8,21.0,11.1,2.0,0.9,2.4,0.523,0.25,0.661,6.0,0.108,,roty,1983,1984
1982-83,NBA,Terry Cummings,21,SDC,70,36.2,23.7,10.6,2.5,1.8,0.9,0.523,0.0,0.709,8.7,0.164,,roty,1982,1983
1981-82,NBA,Buck Williams,21,NJN,82,34.5,15.5,12.3,1.3,1.0,1.0,0.582,0.0,0.624,8.9,0.152,,roty,1981,1982
1980-81,NBA,Darrell Griffith,22,UTA,81,35.4,20.6,3.6,2.4,1.3,0.5,0.464,0.192,0.716,0.4,0.006,,roty,1980,1981
1979-80,NBA,Larry Bird,23,BOS,82,36.0,21.3,10.4,4.5,1.7,0.6,0.474,0.406,0.836,11.2,0.182,,roty,1979,1980
1978-79,NBA,Phil Ford,22,KCK,79,34.5,15.9,2.3,8.6,2.2,0.1,0.465,,0.813,5.7,0.101,,roty,1978,1979
1977-78,NBA,Walter Davis,23,PHO,81,32.0,24.2,6.0,3.4,1.4,0.2,0.526,,0.83,10.1,0.187,,roty,1977,1978
1976-77,NBA,Adrian Dantley,21,BUF,77,36.6,20.3,7.6,1.9,1.2,0.2,0.52,,0.818,9.8,0.167,,roty,1976,1977
1975-76,NBA,Alvan Adams,21,PHO,80,33.2,19.0,9.1,5.6,1.5,1.5,0.469,,0.735,7.2,0.13,,roty,1975,1976
1974-75,NBA,Jamaal Wilkes,21,GSW,82,30.7,14.2,8.2,2.2,1.3,0.3,0.442,,0.734,5.1,0.097,,roty,1974,1975
1973-74,NBA,Ernie DiGregorio,23,BUF,81,35.9,15.2,2.7,8.2,0.7,0.1,0.421,,0.902,1.2,0.021,,roty,1973,1974
1972-73,NBA,Bob McAdoo,21,BUF,80,32.0,18.0,9.1,1.7,,,0.452,,0.774,3.8,0.071,,roty,1972,1973
1971-72,NBA,Sidney Wicks,22,POR,82,39.6,24.5,11.5,4.3,,,0.427,,0.71,2.3,0.034,,roty,1971,1972
1970-71,NBA,Geoff Petrie (Tie),22,POR,82,37.0,24.8,3.4,4.8,,,0.443,,0.772,6.2,0.099,,roty,1970,1971
1970-71,NBA,Dave Cowens (Tie),22,BOS,81,38.0,17.0,15.0,2.8,,,0.422,,0.732,6.4,0.1,,roty,1970,1971
1969-70,NBA,Kareem Abdul-Jabbar,22,MIL,82,43.1,28.8,14.5,4.1,,,0.518,,0.653,13.8,0.187,,roty,1969,1970
1968-69,NBA,Wes Unseld,22,BAL,82,36.2,13.8,18.2,2.6,,,0.476,,0.605,10.8,0.175,,roty,1968,1969
1967-68,NBA,Earl Monroe,23,BAL,82,36.7,24.3,5.7,4.3,,,0.453,,0.781,9.3,0.148,,roty,1967,1968
1966-67,NBA,Dave Bing,23,DET,80,34.5,20.0,4.5,4.1,,,0.436,,0.738,5.3,0.092,,roty,1966,1967
1965-66,NBA,Rick Barry,21,SFW,80,37.4,25.7,10.6,2.2,,,0.439,,0.862,10.4,0.167,,roty,1965,1966
1964-65,NBA,Willis Reed,22,NYK,80,38.0,19.5,14.7,1.7,,,0.432,,0.742,5.5,0.087,,roty,1964,1965
1963-64,NBA,Jerry Lucas,23,CIN,79,41.4,17.7,17.4,2.6,,,0.527,,0.779,12.7,0.187,,roty,1963,1964
1962-63,NBA,Terry Dischinger,22,CHZ,57,40.2,25.5,8.0,3.1,,,0.512,,0.77,9.2,0.192,,roty,1962,1963
1961-62,NBA,Walt Bellamy,22,CHP,79,42.3,31.6,19.0,2.7,,,0.519,,0.644,16.3,0.233,,roty,1961,1962
1960-61,NBA,Oscar Robertson,22,CIN,71,42.7,30.5,10.1,9.7,,,0.473,,0.822,13.2,0.21,,roty,1960,1961
1959-60,NBA,Wilt Chamberlain,23,PHW,72,46.4,37.6,27.0,2.3,,,0.461,,0.582,17.0,0.245,,roty,1959,1960
1958-59,NBA,Elgin Baylor,24,MNL,70,40.8,24.9,15.0,4.1,,,0.408,,0.777,9.8,0.165,,roty,1958,1959
1957-58,NBA,Woody Sauldsberry,23,PHW,71,33.5,12.8,10.3,0.8,,,0.36,,0.615,0.3,0.007,,roty,1957,1958
1956-57,NBA,Tom Heinsohn,22,BOS,72,29.9,16.2,9.8,1.6,,,0.397,,0.79,7.1,0.16,,roty,1956,1957
1955-56,NBA,Maurice Stokes,22,ROC,67,34.7,16.8,16.3,4.9,,,0.354,,0.714,6.0,0.125,,roty,1955,1956
1954-55,NBA,Bob Pettit,22,MLH,72,36.9,20.4,13.8,3.2,,,0.407,,0.751,10.7,0.194,,roty,1954,1955
1953-54,NBA,Ray Felix,23,BLB,72,37.1,17.6,13.3,1.1,,,0.417,,0.638,8.6,0.155,,roty,1953,1954
1952-53,NBA,Monk Meineke,22,FTW,68,33.1,10.7,6.9,2.2,,,0.381,,0.783,6.1,0.13,,roty,1952,1953
1951-52,NBA,Mel Hutchins (Tie) *,23,MLH,66,39.7,9.2,13.3,2.9,,,0.365,,0.644,3.8,0.069,,roty,1951,1952
1951-52,NBA,Bill Tosheff (Tie) *,25,INO,65,31.6,9.4,3.3,3.4,,,0.327,,0.824,2.9,0.068,,roty,1951,1952
1950-51,NBA,Paul Arizin *,22,PHW,65,,17.2,9.8,2.1,,,0.407,,0.793,13.7,,,roty,1950,1951
1949-50,NBA,Alex Groza *,23,INO,64,,23.4,,2.5,,,0.478,,0.729,17.9,,,roty,1949,1950
1948-49,BAA,Howie Shannon *,25,PRO,55,,13.4,,2.3,,,0.364,,0.804,3.4,,,roty,1948,1949
1947-48,BAA,Paul Hoffman *,22,BLB,37,,10.5,,0.6,,,0.348,,0.662,4.7,,,roty,1947,1948
