season,lg,player,age,team,g,mp,pts,trb,ast,stl,blk,fg_pct,3p_pct,ft_pct,ws,ws_48,-9999,award,season_start,season_end
2004-05,NBA,Ben Wallace,30,DET,74,36.1,9.7,12.2,1.7,1.4,2.4,0.453,0.111,0.428,8.5,0.153,,dpoy,2004,2005
2003-04,NBA,Metta World Peace,24,IND,73,37.2,18.3,5.3,3.7,2.1,0.7,0.421,0.31,0.733,8.0,0.141,,dpoy,2003,2004
2002-03,NBA,Ben Wallace,28,DET,73,39.4,6.9,15.4,1.6,1.4,3.2,0.481,0.167,0.45,10.6,0.176,,dpoy,2002,2003
2001-02,NBA,Ben Wallace,27,DET,80,36.5,7.6,13.0,1.4,1.7,3.5,0.531,0.0,0.423,11.6,0.19,,dpoy,2001,2002
2000-01,NBA,Dikembe Mutombo,34,TOT,75,34.5,10.0,13.5,1.0,0.4,2.7,0.484,,0.725,8.1,0.151,,dpoy,2000,2001
1999-00,NBA,Alonzo Mourning,29,MIA,79,34.8,21.7,9.5,1.6,0.5,3.7,0.551,0.0,0.711,12.9,0.226,,dpoy,1999,2000
1998-99,NBA,Alonzo Mourning,28,MIA,46,38.1,20.1,11.0,1.6,0.7,3.9,0.511,0.0,0.652,7.9,0.216,,dpoy,1998,1999
1997-98,NBA,Dikembe Mutombo,31,ATL,82,35.6,13.4,11.4,1.0,0.4,3.4,0.537,,0.67,10.8,0.177,,dpoy,1997,1998
1996-97,NBA,Dikembe Mutombo,30,ATL,80,37.2,13.3,11.6,1.4,0.6,3.3,0.527,,0.705,11.3,0.183,,dpoy,1996,1997
1995-96,NBA,Gary Payton,27,SEA,81,39.0,19.3,4.2,7.5,2.9,0.2,0.484,0.328,0.748,11.5,0.174,,dpoy,1995,1996
1994-95,NBA,Dikembe Mutombo,28,DEN,82,37.8,11.5,12.5,1.4,0.5,3.9,0.556,,0.654,8.7,0.135,,dpoy,1994,1995
1993-94,NBA,Hakeem Olajuwon,31,HOU,80,41.0,27.3,11.9,3.6,1.6,3.7,0.528,0.421,0.716,14.3,0.21,,dpoy,1993,1994
1992-93,NBA,Hakeem Olajuwon,30,HOU,82,39.5,26.1,13.0,3.5,1.8,4.2,0.529,0.0,0.779,15.8,0.234,,dpoy,1992,1993
1991-92,NBA,David Robinson,26,SAS,68,37.7,23.2,12.2,2.7,2.3,4.5,0.551,0.125,0.701,13.9,0.26,,dpoy,1991,1992
1990-91,NBA,Dennis Rodman,29,DET,82,33.5,8.2,12.5,1.0,0.8,0.7,0.493,0.2,0.631,8.7,0.151,,dpoy,1990,1991
1989-90,NBA,Dennis Rodman,28,DET,82,29.0,8.8,9.7,0.9,0.6,0.7,0.581,0.111,0.654,9.3,0.189,,dpoy,1989,1990
1988-89,NBA,Mark Eaton,32,UTA,82,35.5,6.2,10.3,1.0,0.5,3.8,0.462,,0.66,6.6,0.108,,dpoy,1988,1989
1987-88,NBA,Michael Jordan,24,CHI,82,40.4,35.0,5.5,5.9,3.2,1.6,0.535,0.132,0.841,21.2,0.308,,dpoy,1987,1988
1986-87,NBA,Michael Cooper,30,LAL,82,27.5,10.5,3.1,4.5,1.0,0.5,0.438,0.385,0.851,6.1,0.131,,dpoy,1986,1987
1985-86,NBA,Alvin Robertson,23,SAS,82,35.1,17.0,6.3,5.5,3.7,0.5,0.514,0.276,0.795,8.6,0.143,,dpoy,1985,1986
1984-85,NBA,Mark Eaton,28,UTA,82,34.3,9.7,11.3,1.5,0.4,5.6,0.449,,0.712,5.4,0.093,,dpoy,1984,1985
1983-84,NBA,Sidney Moncrief,26,MIL,79,38.9,20.9,6.7,4.5,1.4,0.3,0.498,0.278,0.848,12.7,0.198,,dpoy,1983,1984
1982-83,NBA,Sidney Moncrief,25,MIL,76,35.7,22.5,5.8,3.9,1.5,0.3,0.524,0.1,0.826,13.2,0.233,,dpoy,1982,1983
