season,lg,player,age,team,g,mp,pts,trb,ast,stl,blk,fg_pct,3p_pct,ft_pct,ws,ws_48,-9999,award,season_start,season_end
2004-05,NBA,Ben Gordon,21,CHI,82,24.4,15.1,2.6,2.0,0.6,0.1,0.411,0.405,0.863,3.5,0.084,,6oty,2004,2005
2003-04,NBA,Antawn Jamison,27,DAL,82,29.0,14.8,6.3,0.9,1.0,0.4,0.535,0.4,0.748,9.0,0.183,,6oty,2003,2004
2002-03,NBA,Bobby Jackson,29,SAC,59,28.4,15.2,3.7,3.1,1.2,0.1,0.464,0.379,0.846,5.5,0.157,,6oty,2002,2003
2001-02,NBA,Corliss Williamson,28,DET,78,21.8,13.6,4.1,1.2,0.6,0.3,0.51,0.2,0.805,5.1,0.144,,6oty,2001,2002
2000-01,NBA,Aaron McKie,28,PHI,76,31.5,11.6,4.1,5.0,1.4,0.1,0.473,0.312,0.768,5.9,0.118,,6oty,2000,2001
1999-00,NBA,Rodney Rogers,28,PHO,82,27.9,13.8,5.5,2.1,1.1,0.6,0.486,0.439,0.639,7.4,0.154,,6oty,1999,2000
1998-99,NBA,Darrell Armstrong,30,ORL,50,30.0,13.8,3.6,6.7,2.2,0.1,0.441,0.365,0.904,6.4,0.205,,6oty,1998,1999
1997-98,NBA,Danny Manning,31,PHO,70,25.6,13.5,5.6,2.0,1.0,0.7,0.516,0.0,0.739,6.5,0.174,,6oty,1997,1998
1996-97,NBA,John Starks,31,NYK,77,26.5,13.8,2.7,2.8,1.2,0.1,0.431,0.369,0.769,5.8,0.136,,6oty,1996,1997
1995-96,NBA,Toni Kukoč,27,CHI,81,26.0,13.1,4.0,3.5,0.8,0.3,0.49,0.403,0.772,10.1,0.231,,6oty,1995,1996
1994-95,NBA,Anthony Mason,28,NYK,77,32.4,9.9,8.4,3.1,0.9,0.3,0.566,0.0,0.641,8.6,0.166,,6oty,1994,1995
1993-94,NBA,Dell Curry,29,CHH,82,26.5,16.3,3.2,2.7,1.2,0.3,0.455,0.402,0.873,5.0,0.11,,6oty,1993,1994
1992-93,NBA,Clifford Robinson,26,POR,82,31.4,19.1,6.6,2.2,1.2,2.0,0.473,0.247,0.69,6.8,0.127,,6oty,1992,1993
1991-92,NBA,Detlef Schrempf,29,IND,80,32.6,17.3,9.6,3.9,0.8,0.5,0.536,0.324,0.828,9.8,0.181,,6oty,1991,1992
1990-91,NBA,Detlef Schrempf,28,IND,82,32.1,16.1,8.0,3.7,0.7,0.3,0.52,0.375,0.818,9.0,0.165,,6oty,1990,1991
1989-90,NBA,Ricky Pierce,30,MIL,59,29.0,23.0,2.8,2.3,0.8,0.1,0.51,0.346,0.839,5.8,0.163,,6oty,1989,1990
1988-89,NBA,Eddie Johnson,29,PHO,70,29.2,21.5,4.4,2.3,0.7,0.1,0.497,0.413,0.868,6.5,0.152,,6oty,1988,1989
1987-88,NBA,Roy Tarpley,23,DAL,81,28.5,13.5,11.8,1.1,1.3,1.1,0.5,0.0,0.74,7.8,0.163,,6oty,1987,1988
1986-87,NBA,Ricky Pierce,27,MIL,79,31.7,19.5,3.4,1.8,0.8,0.3,0.534,0.107,0.88,9.4,0.18,,6oty,1986,1987
1985-86,NBA,Bill Walton,33,BOS,80,19.3,7.6,6.8,2.1,0.5,1.3,0.562,,0.713,5.0,0.157,,6oty,1985,1986
1984-85,NBA,Kevin McHale,27,BOS,79,33.6,19.8,9.0,1.8,0.4,1.5,0.57,0.0,0.76,11.0,0.199,,6oty,1984,1985
1983-84,NBA,Kevin McHale,26,BOS,82,31.4,18.4,7.4,1.3,0.3,1.5,0.556,0.333,0.765,10.5,0.196,,6oty,1983,1984
1982-83,NBA,Bobby Jones,31,PHI,74,23.6,9.0,4.6,1.9,1.1,1.2,0.543,0.0,0.793,6.4,0.175,,6oty,1982,1983
