season,lg,player,age,team_rank,g,mp,pts,trb,ast,stl,blk,fgpct,3ppct,ftpct,ws,ws_48,player_id,award,coach,w,l,w_lpct,unnamed_4,unnamed_5,unnamed_6,unnamed_7,unnamed_8,games,season_start,season_end
2007-08,NBA,Manu Ginóbili,30.0,sas,74.0,31.1,19.5,4.8,4.5,1.5,0.4,0.46,0.401,0.86,11.1,0.232,ginobma01,awards_raw,,,,,,,,,,,2007,2008
2006-07,NBA,Leandro Barbosa,24.0,pho,80.0,32.7,18.1,2.7,4.0,1.2,0.2,0.476,0.434,0.845,8.2,0.151,barbole01,awards_raw,,,,,,,,,,,2006,2007
2005-06,NBA,Mike Miller,25.0,mem,74.0,30.6,13.7,5.4,2.7,0.7,0.4,0.466,0.407,0.8,7.4,0.157,millemi01,awards_raw,,,,,,,,,,,2005,2006
2004-05,NBA,Ben Gordon,21.0,chi,82.0,24.4,15.1,2.6,2.0,0.6,0.1,0.411,0.405,0.863,3.5,0.084,gordobe01,awards_raw,,,,,,,,,,,2004,2005
2003-04,NBA,Antawn Jamison,27.0,dal,82.0,29.0,14.8,6.3,0.9,1.0,0.4,0.535,0.4,0.748,9.0,0.183,jamisan01,awards_raw,,,,,,,,,,,2003,2004
2002-03,NBA,Bobby Jackson,29.0,sac,59.0,28.4,15.2,3.7,3.1,1.2,0.1,0.464,0.379,0.846,5.5,0.157,jacksbo01,awards_raw,,,,,,,,,,,2002,2003
2001-02,NBA,Corliss Williamson,28.0,det,78.0,21.8,13.6,4.1,1.2,0.6,0.3,0.51,0.2,0.805,5.1,0.144,willico02,awards_raw,,,,,,,,,,,2001,2002
2000-01,NBA,Aaron McKie,28.0,phi,76.0,31.5,11.6,4.1,5.0,1.4,0.1,0.473,0.312,0.768,5.9,0.118,mckieaa01,awards_raw,,,,,,,,,,,2000,2001
1999-00,NBA,Rodney Rogers,28.0,pho,82.0,27.9,13.8,5.5,2.1,1.1,0.6,0.486,0.439,0.639,7.4,0.154,rogerro01,awards_raw,,,,,,,,,,,1999,2000
1998-99,NBA,Darrell Armstrong,30.0,orl,50.0,30.0,13.8,3.6,6.7,2.2,0.1,0.441,0.365,0.904,6.4,0.205,armstda01,awards_raw,,,,,,,,,,,1998,1999
1997-98,NBA,Danny Manning,31.0,pho,70.0,25.6,13.5,5.6,2.0,1.0,0.7,0.516,0.0,0.739,6.5,0.174,mannida01,awards_raw,,,,,,,,,,,1997,1998
1996-97,NBA,John Starks,31.0,nyk,77.0,26.5,13.8,2.7,2.8,1.2,0.1,0.431,0.369,0.769,5.8,0.136,starkjo01,awards_raw,,,,,,,,,,,1996,1997
1995-96,NBA,Toni Kukoč,27.0,chi,81.0,26.0,13.1,4.0,3.5,0.8,0.3,0.49,0.403,0.772,10.1,0.231,kukocto01,awards_raw,,,,,,,,,,,1995,1996
1994-95,NBA,Anthony Mason,28.0,nyk,77.0,32.4,9.9,8.4,3.1,0.9,0.3,0.566,0.0,0.641,8.6,0.166,masonan01,awards_raw,,,,,,,,,,,1994,1995
1993-94,NBA,Dell Curry,29.0,chh,82.0,26.5,16.3,3.2,2.7,1.2,0.3,0.455,0.402,0.873,5.0,0.11,curryde01,awards_raw,,,,,,,,,,,1993,1994
1992-93,NBA,Clifford Robinson,26.0,por,82.0,31.4,19.1,6.6,2.2,1.2,2.0,0.473,0.247,0.69,6.8,0.127,robincl02,awards_raw,,,,,,,,,,,1992,1993
1991-92,NBA,Detlef Schrempf,29.0,ind,80.0,32.6,17.3,9.6,3.9,0.8,0.5,0.536,0.324,0.828,9.8,0.181,schrede01,awards_raw,,,,,,,,,,,1991,1992
1990-91,NBA,Detlef Schrempf,28.0,ind,82.0,32.1,16.1,8.0,3.7,0.7,0.3,0.52,0.375,0.818,9.0,0.165,schrede01,awards_raw,,,,,,,,,,,1990,1991
1989-90,NBA,Ricky Pierce,30.0,mil,59.0,29.0,23.0,2.8,2.3,0.8,0.1,0.51,0.346,0.839,5.8,0.163,piercri01,awards_raw,,,,,,,,,,,1989,1990
1988-89,NBA,Eddie Johnson,29.0,pho,70.0,29.2,21.5,4.4,2.3,0.7,0.1,0.497,0.413,0.868,6.5,0.152,johnsed03,awards_raw,,,,,,,,,,,1988,1989
1987-88,NBA,Roy Tarpley,23.0,dal,81.0,28.5,13.5,11.8,1.1,1.3,1.1,0.5,0.0,0.74,7.8,0.163,tarplro01,awards_raw,,,,,,,,,,,1987,1988
1986-87,NBA,Ricky Pierce,27.0,mil,79.0,31.7,19.5,3.4,1.8,0.8,0.3,0.534,0.107,0.88,9.4,0.18,piercri01,awards_raw,,,,,,,,,,,1986,1987
1985-86,NBA,Bill Walton,33.0,bos,80.0,19.3,7.6,6.8,2.1,0.5,1.3,0.562,,0.713,5.0,0.157,waltobi01,awards_raw,,,,,,,,,,,1985,1986
1984-85,NBA,Kevin McHale,27.0,bos,79.0,33.6,19.8,9.0,1.8,0.4,1.5,0.57,0.0,0.76,11.0,0.199,mchalke01,awards_raw,,,,,,,,,,,1984,1985
1983-84,NBA,Kevin McHale,26.0,bos,82.0,31.4,18.4,7.4,1.3,0.3,1.5,0.556,0.333,0.765,10.5,0.196,mchalke01,awards_raw,,,,,,,,,,,1983,1984
1982-83,NBA,Bobby Jones,31.0,phi,74.0,23.6,9.0,4.6,1.9,1.1,1.2,0.543,0.0,0.793,6.4,0.175,jonesbo01,awards_raw,,,,,,,,,,,1982,1983
1975-76,ABA,,,dna,84.0,,,,,,,,,,,,,awards_raw,,60.0,24.0,0.714,,,,,,,1975,1976
1974-75,ABA,,,dna,84.0,,,,,,,,,,,,,awards_raw,,65.0,19.0,0.774,,,,,,,1974,1975
1973-74,ABA,,,uts,84.0,,,,,,,,,,,,,awards_raw,,51.0,33.0,0.607,,,,,,,1973,1974
1973-74,ABA,,,ken,84.0,,,,,,,,,,,,,awards_raw,,53.0,31.0,0.631,,,,,,,1973,1974
1972-73,ABA,,,car,84.0,,,,,,,,,,,,,awards_raw,,57.0,27.0,0.679,,,,,,,1972,1973
1971-72,ABA,,,dlc,84.0,,,,,,,,,,,,,awards_raw,,42.0,42.0,0.5,,,,,,,1971,1972
1970-71,ABA,,,vir,84.0,,,,,,,,,,,,,awards_raw,,55.0,29.0,0.655,,,,,,,1970,1971
1969-70,ABA,,,las,84.0,,,,,,,,,,,,,awards_raw,,43.0,41.0,0.512,,,,,,,1969,1970
1969-70,ABA,,,dnr,56.0,,,,,,,,,,,,,awards_raw,,42.0,14.0,0.75,,,,,,,1969,1970
1968-69,ABA,,,oak,78.0,,,,,,,,,,,,,awards_raw,,60.0,18.0,0.769,,,,,,,1968,1969
1967-68,ABA,,,ptp,78.0,,,,,,,,,,,,,awards_raw,,54.0,24.0,0.692,,,,,,,1967,1968
2024-25,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2024,2025
2024-25,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2024,2025
2023-24,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2023,2024
2023-24,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2023,2024
2022-23,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2022,2023
2022-23,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2022,2023
2021-22,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2021,2022
2021-22,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2021,2022
2020-21,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2020,2021
2020-21,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2020,2021
2019-20,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2019,2020
2019-20,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2019,2020
2018-19,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2018,2019
2018-19,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2018,2019
2017-18,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2017,2018
2017-18,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2017,2018
2016-17,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2016,2017
2016-17,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2016,2017
2015-16,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2015,2016
2015-16,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2015,2016
2014-15,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2014,2015
2014-15,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2014,2015
2013-14,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2013,2014
2013-14,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2013,2014
2012-13,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2012,2013
2012-13,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2012,2013
2011-12,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2011,2012
2011-12,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2011,2012
2010-11,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2010,2011
2010-11,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2010,2011
2009-10,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2009,2010
2009-10,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2009,2010
2008-09,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2008,2009
2008-09,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2008,2009
2007-08,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2007,2008
2007-08,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2007,2008
2006-07,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2006,2007
2006-07,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2006,2007
2005-06,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2005,2006
2005-06,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2005,2006
2004-05,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2004,2005
2004-05,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2004,2005
2003-04,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2003,2004
2003-04,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2003,2004
2002-03,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2002,2003
2002-03,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2002,2003
2001-02,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2001,2002
2001-02,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2001,2002
2000-01,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2000,2001
2000-01,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2000,2001
1999-00,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1999,2000
1999-00,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1999,2000
1998-99,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1998,1999
1998-99,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1998,1999
1997-98,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1997,1998
1997-98,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1997,1998
1996-97,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1996,1997
1996-97,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1996,1997
1995-96,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1995,1996
1995-96,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1995,1996
1994-95,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1994,1995
1994-95,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1994,1995
1993-94,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1993,1994
1993-94,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1993,1994
1992-93,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1992,1993
1992-93,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1992,1993
1991-92,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1991,1992
1991-92,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1991,1992
1990-91,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1990,1991
1990-91,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1990,1991
1989-90,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1989,1990
1989-90,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1989,1990
1988-89,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1988,1989
1988-89,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1988,1989
1987-88,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1987,1988
1987-88,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1987,1988
1986-87,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1986,1987
1986-87,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1986,1987
1985-86,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1985,1986
1985-86,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1985,1986
1984-85,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1984,1985
1984-85,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1984,1985
1983-84,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1983,1984
1983-84,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1983,1984
1982-83,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1982,1983
1982-83,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1982,1983
1981-82,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1981,1982
1981-82,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1981,1982
1980-81,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1980,1981
1980-81,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1980,1981
1979-80,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1979,1980
1979-80,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1979,1980
1978-79,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1978,1979
1978-79,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1978,1979
1977-78,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1977,1978
1977-78,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1977,1978
1976-77,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1976,1977
1976-77,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1976,1977
1975-76,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1975,1976
1975-76,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1975,1976
1975-76,ABA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1975,1976
1975-76,ABA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1975,1976
1974-75,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1974,1975
1974-75,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1974,1975
1974-75,ABA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1974,1975
1974-75,ABA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1974,1975
1973-74,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1973,1974
1973-74,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1973,1974
1973-74,ABA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1973,1974
1973-74,ABA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1973,1974
1972-73,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1972,1973
1972-73,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1972,1973
1972-73,ABA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1972,1973
1972-73,ABA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1972,1973
1971-72,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1971,1972
1971-72,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1971,1972
1970-71,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1970,1971
1970-71,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1970,1971
1969-70,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1969,1970
1969-70,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1969,1970
1968-69,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1968,1969
1968-69,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1968,1969
2024-25,NBA,,,3rd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2024,2025
2023-24,NBA,,,3rd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2023,2024
2022-23,NBA,,,3rd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2022,2023
2021-22,NBA,,,3rd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2021,2022
2020-21,NBA,,,3rd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2020,2021
2019-20,NBA,,,3rd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2019,2020
2018-19,NBA,,,3rd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2018,2019
2017-18,NBA,,,3rd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2017,2018
2016-17,NBA,,,3rd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2016,2017
2015-16,NBA,,,3rd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2015,2016
2014-15,NBA,,,3rd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2014,2015
2013-14,NBA,,,3rd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2013,2014
2012-13,NBA,,,3rd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2012,2013
2011-12,NBA,,,3rd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2011,2012
2010-11,NBA,,,3rd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2010,2011
2009-10,NBA,,,3rd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2009,2010
2008-09,NBA,,,3rd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2008,2009
2007-08,NBA,,,3rd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2007,2008
2006-07,NBA,,,3rd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2006,2007
2005-06,NBA,,,3rd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2005,2006
2004-05,NBA,,,3rd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2004,2005
2003-04,NBA,,,3rd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2003,2004
2002-03,NBA,,,3rd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2002,2003
2001-02,NBA,,,3rd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2001,2002
2000-01,NBA,,,3rd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,2000,2001
1999-00,NBA,,,3rd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1999,2000
1998-99,NBA,,,3rd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1998,1999
1997-98,NBA,,,3rd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1997,1998
1996-97,NBA,,,3rd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1996,1997
1995-96,NBA,,,3rd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1995,1996
1994-95,NBA,,,3rd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1994,1995
1993-94,NBA,,,3rd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1993,1994
1992-93,NBA,,,3rd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1992,1993
1991-92,NBA,,,3rd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1991,1992
1990-91,NBA,,,3rd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1990,1991
1989-90,NBA,,,3rd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1989,1990
1988-89,NBA,,,3rd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1988,1989
1971-72,ABA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1971,1972
1971-72,ABA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1971,1972
1970-71,ABA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1970,1971
1970-71,ABA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1970,1971
1969-70,ABA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1969,1970
1969-70,ABA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1969,1970
1968-69,ABA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1968,1969
1968-69,ABA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1968,1969
1967-68,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1967,1968
1967-68,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1967,1968
1967-68,ABA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1967,1968
1967-68,ABA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1967,1968
1966-67,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1966,1967
1966-67,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1966,1967
1965-66,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1965,1966
1965-66,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1965,1966
1964-65,NBA,,,1st,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1964,1965
1964-65,NBA,,,2nd,,,,,,,,,,,,,,awards_raw,,,,,,,,,,,1964,1965
