season,lg,player,age,team,g,mp,pts,trb,ast,stl,blk,fg_pct,3p_pct,ft_pct,-9999,award,season_start,season_end
2010-11,NBA,Dirk Nowitzki,32,DAL,6,40.3,26.0,9.7,2.0,0.7,0.7,0.416,0.368,0.978,,fmvp,2010,2011
2009-10,NBA,Kobe Bryant,31,LAL,7,41.1,28.6,8.0,3.9,2.1,0.7,0.405,0.319,0.883,,fmvp,2009,2010
2008-09,NBA,Kobe Bryant,30,LAL,5,43.8,32.4,5.6,7.4,1.4,1.4,0.43,0.36,0.841,,fmvp,2008,2009
2007-08,NBA,Paul Pierce,30,BOS,6,38.8,21.8,4.5,6.3,1.2,0.3,0.432,0.393,0.83,,fmvp,2007,2008
2006-07,NBA,Tony Parker,24,SAS,4,37.8,24.5,5.0,3.3,0.8,0.0,0.568,0.571,0.526,,fmvp,2006,2007
2005-06,NBA,Dwyane Wade,24,MIA,6,43.5,34.7,7.8,3.8,2.7,1.0,0.468,0.273,0.773,,fmvp,2005,2006
2004-05,NBA,Tim Duncan,28,SAS,7,40.7,20.6,14.1,2.1,0.4,2.1,0.419,,0.667,,fmvp,2004,2005
2003-04,NBA,Chauncey Billups,27,DET,5,38.8,21.0,3.2,5.2,1.2,0.0,0.509,0.471,0.929,,fmvp,2003,2004
2002-03,NBA,Tim Duncan,26,SAS,6,44.0,24.2,17.0,5.3,1.0,5.3,0.495,0.0,0.685,,fmvp,2002,2003
2001-02,NBA,Shaquille O'Neal,29,LAL,4,41.5,36.3,12.3,3.8,0.5,2.8,0.595,,0.662,,fmvp,2001,2002
2000-01,NBA,Shaquille O'Neal,28,LAL,5,45.0,33.0,15.8,4.8,0.4,3.4,0.573,,0.513,,fmvp,2000,2001
1999-00,NBA,Shaquille O'Neal,27,LAL,6,45.7,38.0,16.7,2.3,1.0,2.7,0.611,,0.387,,fmvp,1999,2000
1998-99,NBA,Tim Duncan,22,SAS,5,45.6,27.4,14.0,2.4,1.0,2.2,0.537,0.0,0.795,,fmvp,1998,1999
1997-98,NBA,Michael Jordan,34,CHI,6,41.7,33.5,4.0,2.3,1.8,0.7,0.427,0.308,0.814,,fmvp,1997,1998
1996-97,NBA,Michael Jordan,33,CHI,6,42.7,32.3,7.0,6.0,1.2,0.8,0.456,0.32,0.764,,fmvp,1996,1997
1995-96,NBA,Michael Jordan,32,CHI,6,42.0,27.3,5.3,4.2,1.7,0.2,0.415,0.316,0.836,,fmvp,1995,1996
1994-95,NBA,Hakeem Olajuwon,32,HOU,4,44.8,32.8,11.5,5.5,2.0,2.0,0.483,1.0,0.692,,fmvp,1994,1995
1993-94,NBA,Hakeem Olajuwon,31,HOU,7,43.1,26.9,9.1,3.6,1.6,3.9,0.5,1.0,0.86,,fmvp,1993,1994
1992-93,NBA,Michael Jordan,29,CHI,6,45.7,41.0,8.5,6.3,1.7,0.7,0.508,0.4,0.694,,fmvp,1992,1993
1991-92,NBA,Michael Jordan,28,CHI,6,42.3,35.8,4.8,6.5,1.7,0.3,0.526,0.429,0.891,,fmvp,1991,1992
1990-91,NBA,Michael Jordan,27,CHI,5,44.0,31.2,6.6,11.4,2.8,1.4,0.558,0.5,0.848,,fmvp,1990,1991
1989-90,NBA,Isiah Thomas,28,DET,5,38.4,27.6,5.2,7.0,1.6,0.4,0.542,0.688,0.742,,fmvp,1989,1990
1988-89,NBA,Joe Dumars,25,DET,4,36.8,27.3,1.8,6.0,0.5,0.3,0.576,0.0,0.868,,fmvp,1988,1989
1987-88,NBA,James Worthy,26,LAL,7,38.0,22.0,7.4,4.4,0.7,0.6,0.492,0.0,0.735,,fmvp,1987,1988
1986-87,NBA,Magic Johnson,27,LAL,6,39.3,26.2,8.0,13.0,2.3,0.3,0.541,0.5,0.96,,fmvp,1986,1987
1985-86,NBA,Larry Bird,29,BOS,6,44.8,24.0,9.7,9.5,2.7,0.3,0.482,0.368,0.939,,fmvp,1985,1986
1984-85,NBA,Kareem Abdul-Jabbar,37,LAL,6,35.5,25.7,9.0,5.2,1.0,1.5,0.604,,0.769,,fmvp,1984,1985
1983-84,NBA,Larry Bird,27,BOS,7,43.6,27.4,14.0,3.6,2.1,1.1,0.484,0.667,0.842,,fmvp,1983,1984
1982-83,NBA,Moses Malone,27,PHI,4,39.3,25.8,18.0,2.0,1.5,1.5,0.507,,0.66,,fmvp,1982,1983
1981-82,NBA,Magic Johnson,22,LAL,6,41.7,16.2,10.8,8.0,2.5,0.3,0.533,0.0,0.846,,fmvp,1981,1982
1980-81,NBA,Cedric Maxwell,25,BOS,6,37.8,17.7,9.5,2.8,0.2,1.0,0.568,,0.759,,fmvp,1980,1981
1979-80,NBA,Magic Johnson,20,LAL,6,42.7,21.5,11.2,8.7,2.7,0.3,0.573,0.0,0.875,,fmvp,1979,1980
1978-79,NBA,Dennis Johnson,24,SEA,5,44.8,22.6,6.0,6.0,1.8,2.2,0.459,,0.719,,fmvp,1978,1979
1977-78,NBA,Wes Unseld,31,WSB,7,38.6,9.0,11.7,3.9,0.6,0.1,0.52,,0.55,,fmvp,1977,1978
1976-77,NBA,Bill Walton,24,POR,6,37.7,18.5,19.0,5.2,1.0,3.7,0.545,,0.789,,fmvp,1976,1977
1975-76,NBA,Jo Jo White,29,BOS,6,46.5,21.7,4.3,5.8,1.5,0.0,0.439,,0.878,,fmvp,1975,1976
1974-75,NBA,Rick Barry,30,GSW,4,43.0,29.5,4.0,5.0,3.5,0.8,0.444,,0.938,,fmvp,1974,1975
1973-74,NBA,John Havlicek,33,BOS,7,47.1,26.4,7.7,4.7,1.9,0.0,0.429,,0.872,,fmvp,1973,1974
1972-73,NBA,Willis Reed,30,NYK,5,30.0,16.4,9.2,2.6,,,0.493,,0.889,,fmvp,1972,1973
1971-72,NBA,Wilt Chamberlain,35,LAL,5,47.2,19.4,23.2,2.6,,,0.6,,0.543,,fmvp,1971,1972
1970-71,NBA,Kareem Abdul-Jabbar,23,MIL,4,42.0,27.0,18.5,2.8,,,0.605,,0.762,,fmvp,1970,1971
1969-70,NBA,Willis Reed,27,NYK,6,37.7,23.0,10.5,2.8,,,0.484,,0.588,,fmvp,1969,1970
1968-69,NBA,Jerry West,30,LAL,7,43.9,37.9,4.7,7.4,,,0.49,,0.839,,fmvp,1968,1969
