Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,-9999
Jamal Murray,27.0,DEN,PG,67.0,67.0,2418.0,0.474,0.518,0.393,0.543,0.886,0.584,0.219,0.354,101.0,95.0,109.0,100.0,114.0,101.0,90.0,84.0,0.4,19.4,murraja01
Alperen Şengün,22.0,HOU,C,76.0,76.0,2395.0,0.496,0.519,0.233,0.505,0.692,0.545,0.374,0.079,106.0,95.0,65.0,93.0,89.0,95.0,154.0,19.0,-86.5,-83.2,sengual01
Dillon Brooks,29.0,HOU,SF,75.0,75.0,2388.0,0.429,0.465,0.397,0.533,0.818,0.555,0.135,0.524,92.0,85.0,110.0,98.0,105.0,96.0,56.0,124.0,-18.1,-39.7,brookdi01
Rudy Gobert,32.0,MIN,C,72.0,72.0,2388.0,0.669,0.669,,0.669,0.674,0.687,0.535,0.0,143.0,123.0,,123.0,86.0,119.0,220.0,0.0,128.1,139.9,goberru01
Tobias Harris,32.0,DET,PF,73.0,73.0,2305.0,0.477,0.542,0.345,0.534,0.861,0.571,0.206,0.328,102.0,99.0,96.0,98.0,110.0,99.0,85.0,78.0,-15.3,-9.8,harrito02
Darius Garland,25.0,CLE,PG,75.0,75.0,2301.0,0.472,0.53,0.401,0.562,0.878,0.6,0.217,0.451,101.0,97.0,111.0,104.0,113.0,104.0,89.0,107.0,44.9,61.8,garlada01
Jalen Brunson,28.0,NYK,PG,65.0,65.0,2301.0,0.488,0.539,0.383,0.551,0.821,0.605,0.373,0.331,104.0,99.0,106.0,101.0,105.0,105.0,154.0,79.0,18.6,80.0,brunsja01
Jarrett Allen,26.0,CLE,C,82.0,82.0,2296.0,0.706,0.712,0.0,0.706,0.718,0.724,0.433,0.008,151.0,131.0,0.0,130.0,92.0,126.0,178.0,2.0,208.9,225.0,allenja01
Chris Paul,39.0,SAS,PG,82.0,82.0,2292.0,0.427,0.514,0.377,0.547,0.924,0.58,0.158,0.636,91.0,94.0,105.0,101.0,118.0,101.0,65.0,151.0,4.8,4.5,paulch01
Anfernee Simons,25.0,POR,SG,70.0,70.0,2292.0,0.426,0.496,0.363,0.521,0.902,0.557,0.172,0.527,91.0,91.0,101.0,96.0,116.0,97.0,71.0,125.0,-48.9,-46.8,simonan01
Giannis Antetokounmpo,30.0,MIL,PF,67.0,67.0,2289.0,0.601,0.62,0.222,0.607,0.617,0.625,0.536,0.048,129.0,114.0,62.0,112.0,79.0,108.0,221.0,11.0,167.4,157.5,antetgi01
Malik Beasley,28.0,DET,SG,82.0,18.0,2283.0,0.43,0.466,0.416,0.579,0.679,0.59,0.131,0.715,92.0,85.0,116.0,107.0,87.0,102.0,54.0,170.0,77.7,30.8,beaslma01
Kentavious Caldwell-Pope,31.0,ORL,SG,77.0,77.0,2279.0,0.439,0.589,0.342,0.543,0.863,0.574,0.175,0.607,94.0,108.0,95.0,100.0,111.0,100.0,72.0,144.0,0.1,-2.1,caldwke01
Nikola Vučević,34.0,CHI,C,73.0,72.0,2278.0,0.53,0.587,0.402,0.592,0.805,0.611,0.144,0.309,113.0,108.0,112.0,109.0,103.0,106.0,59.0,73.0,101.6,77.3,vucevni01
Payton Pritchard,27.0,BOS,PG,80.0,3.0,2271.0,0.472,0.642,0.407,0.62,0.845,0.633,0.097,0.723,101.0,118.0,113.0,114.0,108.0,110.0,40.0,172.0,132.4,103.4,pritcpa01
Kevin Durant,36.0,PHO,PF,62.0,62.0,2265.0,0.527,0.574,0.43,0.598,0.839,0.642,0.321,0.331,113.0,105.0,119.0,110.0,108.0,111.0,132.0,79.0,123.2,168.7,duranke01
Shaedon Sharpe,21.0,POR,SG,72.0,52.0,2252.0,0.452,0.557,0.311,0.519,0.785,0.551,0.219,0.428,97.0,102.0,86.0,95.0,101.0,96.0,90.0,102.0,-54.1,-59.9,sharpsh01
Stephen Curry,36.0,GSW,PG,70.0,70.0,2252.0,0.448,0.534,0.397,0.572,0.933,0.618,0.238,0.623,96.0,98.0,110.0,105.0,120.0,107.0,98.0,148.0,72.6,116.7,curryst01
De'Aaron Fox,27.0,2TM,PG,62.0,62.0,2241.0,0.463,0.538,0.31,0.514,0.827,0.56,0.273,0.328,99.0,99.0,86.0,95.0,106.0,97.0,113.0,78.0,-67.2,-42.5,foxde01
De'Aaron Fox,27.0,SAC,PG,45.0,45.0,1663.0,0.469,0.539,0.322,0.521,0.829,0.567,0.279,0.324,100.0,99.0,89.0,96.0,106.0,98.0,115.0,77.0,-39.1,-18.3,foxde01
De'Aaron Fox,27.0,SAS,PG,17.0,17.0,578.0,0.446,0.535,0.274,0.493,0.819,0.537,0.257,0.339,96.0,98.0,76.0,91.0,105.0,93.0,106.0,81.0,-28.1,-24.2,foxde01
Jalen Williams,23.0,OKC,SG,69.0,69.0,2237.0,0.484,0.533,0.365,0.537,0.789,0.573,0.256,0.291,104.0,98.0,101.0,99.0,101.0,99.0,105.0,69.0,-14.6,-7.6,willija06
Donovan Mitchell,28.0,CLE,SG,71.0,71.0,2232.0,0.443,0.512,0.368,0.531,0.823,0.575,0.274,0.48,95.0,94.0,102.0,98.0,106.0,100.0,113.0,114.0,-30.7,-3.7,mitchdo01
Harrison Barnes,32.0,SAS,PF,82.0,82.0,2230.0,0.508,0.591,0.433,0.622,0.809,0.656,0.291,0.527,109.0,108.0,120.0,115.0,104.0,114.0,120.0,125.0,108.2,123.0,barneha02
Julius Randle,30.0,MIN,PF,69.0,69.0,2226.0,0.485,0.555,0.344,0.542,0.806,0.593,0.357,0.334,104.0,102.0,95.0,100.0,103.0,103.0,147.0,79.0,-1.9,36.1,randlju01
Amen Thompson,22.0,HOU,SF,69.0,42.0,2225.0,0.557,0.599,0.275,0.575,0.684,0.602,0.354,0.131,119.0,110.0,76.0,106.0,88.0,104.0,146.0,31.0,44.0,41.6,thompam01
Jaren Jackson Jr.,25.0,MEM,C,74.0,74.0,2207.0,0.488,0.541,0.375,0.548,0.781,0.591,0.328,0.321,104.0,99.0,104.0,101.0,100.0,103.0,135.0,76.0,12.5,41.4,jacksja02
