"PLAYER","TEAM","NUMBER","POSITION","HEIGHT","WEIGHT","LAST ATTENDED","COUNTRY"
"Monté Morris","PHX","23","G","6-2","183 lbs","Iowa State","USA"
"Trey Murphy III","NOP","25","F","6-8","206 lbs","Virginia","USA"
"Dejounte Murray","NOP","5","G","6-4","180 lbs","Washington","USA"
"Jamal Murray","DEN","27","G","6-4","215 lbs","Kentucky","Canada"
"Keegan Murray","SAC","13","F","6-8","225 lbs","Iowa","USA"
"Kris Murray","POR","24","F","6-8","216 lbs","Iowa","USA"
"Svi Mykhailiuk","UTA","19","G-F","6-7","205 lbs","Kansas","Ukraine"
"Pete Nance","MIL","35","F","6-10","225 lbs","North Carolina","USA"
"Larry Nance Jr.","ATL","22","F-C","6-8","245 lbs","Wyoming","USA"
"Andrew Nembhard","IND","2","G-F","6-4","191 lbs","Gonzaga","Canada"
"Aaron Nesmith","IND","23","G-F","6-6","215 lbs","Vanderbilt","USA"
"Tristen Newton","MIN","13","G","6-5","190 lbs","Connecticut","USA"
"Georges Niang","ATL","20","F","6-7","230 lbs","Iowa State","USA"
"Daishen Nix","","","G","6-4","238 lbs","NBA G League Ignite","USA"
"Zeke Nnaji","DEN","22","F-C","6-9","240 lbs","Arizona","USA"
"Miles Norris","BOS","0","F","6-7","220 lbs","California-Santa Barbara","USA"
"Jaylen Nowell","","","G","6-4","201 lbs","Washington","USA"
"Jusuf Nurkić","CHA","11","C","7-0","290 lbs","Cedevita","Bosnia and Herzegovina"
"Jahlil Okafor","","","C-F","6-10","270 lbs","Duke","USA"
"Chuma Okeke","CLE","18","F","6-7","229 lbs","Auburn","USA"
"Josh Okogie","CHA","12","G","6-4","213 lbs","Georgia Tech","Nigeria"
"Onyeka Okongwu","ATL","17","F-C","6-10","240 lbs","Southern California","USA"
"Isaac Okoro","CLE","35","F-G","6-5","225 lbs","Auburn","USA"
"Quincy Olivari","","","G","6-3","200 lbs","Xavier","USA"
"Kelly Olynyk","NOP","13","F-C","6-11","240 lbs","Gonzaga","Canada"
"Royce O'Neale","PHX","00","F","6-6","226 lbs","Baylor","USA"
"Kelly Oubre Jr.","PHI","9","F-G","6-8","203 lbs","Kansas","USA"
"Chris Paul","SAS","3","G","6-0","175 lbs","Wake Forest","USA"
"Cameron Payne","NYK","1","G","6-3","183 lbs","Murray State","USA"
"Elfrid Payton","NOP","4","G","6-3","195 lbs","Louisana-Lafayette","USA"
"Gary Payton II","GSW","0","G","6-2","195 lbs","Oregon State","USA"
"Drew Peterson","BOS","13","F","6-9","205 lbs","Southern California","USA"
"Julian Phillips","CHI","15","F","6-8","198 lbs","Tennessee","USA"
"Jalen Pickett","DEN","24","G","6-2","202 lbs","Penn State","USA"
"Scotty Pippen Jr.","MEM","1","G","6-1","170 lbs","Vanderbilt","USA"
"Daeqwon Plowden","ATL","29","G-F","6-6","216 lbs","Bowling Green","USA"
"Mason Plumlee","PHX","22","F-C","6-10","254 lbs","Duke","USA"
"Brandin Podziemski","GSW","2","G","6-4","205 lbs","Santa Clara","USA"
"Jakob Poeltl","TOR","19","C","7-0","260 lbs","Utah","Austria"
"Jordan Poole","WAS","13","G","6-4","194 lbs","Michigan","USA"
"Craig Porter Jr.","CLE","9","G","6-1","180 lbs","Wichita State","USA"
"Kevin Porter Jr.","MIL","3","G-F","6-4","203 lbs","Southern California","USA"
"Michael Porter Jr.","DEN","1","F","6-10","218 lbs","Missouri","USA"
"Bobby Portis","MIL","9","F","6-10","250 lbs","Arkansas","USA"
"Kristaps Porziņģis","BOS","8","F-C","7-2","240 lbs","Cajasol Sevilla","Latvia"
"Quinten Post","GSW","21","C","7-0","238 lbs","Boston College","Netherlands"
"Micah Potter","UTA","25","C","6-9","248 lbs","Wisconsin","USA"
"Dwight Powell","DAL","7","F-C","6-10","240 lbs","Stanford","Canada"
"Norman Powell","LAC","24","G","6-4","215 lbs","UCLA","USA"
"Taurean Prince","MIL","12","F","6-6","218 lbs","Baylor","USA"
"Payton Pritchard","BOS","11","G","6-1","195 lbs","Oregon","USA"
"Olivier-Maxence Prosper","DAL","8","F","6-7","230 lbs","Marquette","Canada"
"Zyon Pullin","MEM","","G","6-4","206 lbs","Florida","USA"
"Trevelin Queen","ORL","12","G","6-5","190 lbs","New Mexico State","USA"
"Neemias Queta","BOS","88","C","7-0","248 lbs","Utah State","Portugal"
"Immanuel Quickley","TOR","5","G","6-2","190 lbs","Kentucky","USA"
"Lester Quinones","NOP","22","G","6-4","208 lbs","Memphis","USA"
"Julius Randle","MIN","30","F-C","6-9","250 lbs","Kentucky","USA"
"Duop Reath","POR","26","C","6-9","245 lbs","Louisiana State","South Sudan"
"Austin Reaves","LAL","15","G","6-5","197 lbs","Oklahoma","USA"
"Cam Reddish","","","F-G","6-7","217 lbs","Duke","USA"
"Paul Reed","DET","7","F","6-9","210 lbs","DePaul","USA"
"Alex Reese","PHI","65","F-C","6-9","245 lbs","Alabama","USA"
"Antonio Reeves","NOP","12","G","6-5","205 lbs","Kentucky","USA"
"Naz Reid","MIN","11","C-F","6-9","264 lbs","Louisiana State","USA"
"Jared Rhoden","TOR","8","G","6-5","210 lbs","Seton Hall","USA"
"Nick Richards","PHX","2","C","7-0","245 lbs","Kentucky","Jamaica"
"Josh Richardson","","","G","6-5","200 lbs","Tennessee","USA"
"Zaccharie Risacher","ATL","10","F","6-8","200 lbs","JL Bourg-en-Bresse","France"
"Liam Robbins","","","C","7-0","250 lbs","Vanderbilt","USA"
"Duncan Robinson","MIA","55","F","6-7","215 lbs","Michigan","USA"
"Mitchell Robinson","NYK","23","C-F","7-0","240 lbs","Western Kentucky","USA"
"Orlando Robinson","","","C","6-10","235 lbs","Fresno State","USA"
"Jeremiah Robinson-Earl","NOP","50","F","6-8","240 lbs","Villanova","USA"
"David Roddy","HOU","45","F","6-4","255 lbs","Colorado State","USA"
"Ryan Rollins","MIL","13","G","6-3","180 lbs","Toledo","USA"
"Jackson Rowe","GSW","44","F","6-7","210 lbs","California State-Fullerton","Canada"
"Terry Rozier","MIA","2","G","6-1","190 lbs","Louisville","USA"
"Rayan Rupert","POR","21","G-F","6-6","195 lbs","New Zealand Breakers","France"
"D'Angelo Russell","BKN","1","G","6-3","193 lbs","Ohio State","USA"
"Matt Ryan","","","F","6-6","215 lbs","Tennessee-Chattanooga","USA"
"Domantas Sabonis","SAC","11","F-C","6-10","240 lbs","Gonzaga","Lithuania"
"Tidjane Salaün","CHA","31","F","6-8","207 lbs","Cholet","France"
"Adama Sanogo","","","F","6-9","245 lbs","Connecticut","Mali"
"Gui Santos","GSW","15","F","6-6","185 lbs","Minas","Brazil"
"Dario Šarić","DEN","9","F-C","6-10","225 lbs","Anadolu Efes","Croatia"
"Alex Sarr","WAS","20","C","7-0","205 lbs","Perth","France"
"Marcus Sasser","DET","25","G","6-2","195 lbs","Houston","USA"
"Baylor Scheierman","BOS","55","G","6-6","205 lbs","Creighton","USA"
"Dennis Schröder","DET","17","G","6-1","175 lbs","Braunschweig","Germany"
"Alperen Sengun","HOU","28","C","6-11","243 lbs","Besiktas","Turkey"
"Brice Sensabaugh","UTA","28","F","6-5","235 lbs","Ohio State","USA"
"Collin Sexton","UTA","2","G","6-3","190 lbs","Alabama","USA"
"Landry Shamet","NYK","44","G","6-4","190 lbs","Wichita State","USA"
"Terrence Shannon Jr.","MIN","00","G-F","6-6","215 lbs","Illinois","USA"
"Day'Ron Sharpe","BKN","20","C","6-9","265 lbs","North Carolina","USA"
"Shaedon Sharpe","POR","17","G","6-5","208 lbs","Kentucky","Canada"
"Jamal Shead","TOR","23","G","6-1","200 lbs","Houston","USA"
"Ben Sheppard","IND","26","G","6-6","190 lbs","Belmont","USA"
"Reed Sheppard","HOU","15","G","6-2","185 lbs","Kentucky","USA"
"Pascal Siakam","IND","43","F","6-8","245 lbs","New Mexico State","Cameroon"
"Ben Simmons","LAC","25","G-F","6-10","240 lbs","Louisiana State","Australia"
"Anfernee Simons","POR","1","G","6-3","200 lbs","Edgewater HS (FL)","USA"
"KJ Simpson","CHA","25","G","6-0","189 lbs","Colorado","USA"
"Jaylen Sims","","","G","6-6","210 lbs","UNC-Wilmington","USA"
"Jericho Sims","MIL","00","C","6-10","250 lbs","Texas","USA"
"Marcus Smart","WAS","36","G","6-3","220 lbs","Oklahoma State","USA"
"Dru Smith","MIA","12","G","6-2","203 lbs","Missouri","USA"
"Jalen Smith","CHI","7","F-C","6-9","215 lbs","Maryland","USA"
"Tolu Smith","DET","35","F","6-11","","Mississippi State","USA"
"Tyler Smith","MIL","21","F","6-9","224 lbs","NBA G League Ignite","USA"
"Jabari Smith Jr.","HOU","10","F","6-10","220 lbs","Auburn","USA"
"Nick Smith Jr.","CHA","8","G","6-2","185 lbs","Arkansas","USA"
"Jeremy Sochan","SAS","10","F","6-8","230 lbs","Baylor","Poland"
"Cam Spencer","MEM","24","G","6-4","205 lbs","Connecticut","USA"
"Pat Spencer","GSW","61","G","6-3","205 lbs","Northwestern","USA"
"Jaden Springer","UTA","11","G","6-4","202 lbs","Tennessee","USA"
"Isaiah Stevens","MIA","","G","6-0","185 lbs","Colorado State","USA"
"Lamar Stevens","MEM","8","F","6-7","230 lbs","Penn State","USA"
"Isaiah Stewart","DET","28","F-C","6-8","250 lbs","Washington","USA"
"Julian Strawther","DEN","3","G","6-6","205 lbs","Gonzaga","USA"
"Max Strus","CLE","1","G-F","6-5","215 lbs","DePaul","USA"
"Jalen Suggs","ORL","4","G","6-5","205 lbs","Gonzaga","USA"
"Cole Swider","","","F","6-8","220 lbs","Syracuse","USA"
"Jae'Sean Tate","HOU","8","F","6-4","230 lbs","Ohio State","USA"
"Jayson Tatum","BOS","0","F-G","6-8","210 lbs","Duke","USA"
"Terry Taylor","","","F","6-4","230 lbs","Austin Peay","USA"
"Garrett Temple","TOR","17","G-F","6-5","195 lbs","Louisiana State","USA"
"Dalen Terry","CHI","25","F","6-7","195 lbs","Arizona","USA"
"Daniel Theis","","","F-C","6-8","245 lbs","Brose Bamberg","Germany"
"Cam Thomas","BKN","24","G","6-3","210 lbs","Louisiana State","Japan"
"Amen Thompson","HOU","1","G-F","6-7","200 lbs","Overtime Elite","USA"
"Ausar Thompson","DET","9","G-F","6-6","205 lbs","Overtime Elite","USA"
"Ethan Thompson","ORL","55","G","6-5","195 lbs","Oregon State","Puerto Rico"
"Klay Thompson","DAL","31","G","6-5","220 lbs","Washington State","USA"
"Tristan Thompson","CLE","13","C-F","6-9","254 lbs","Texas-Austin","Canada"
"JT Thor","WAS","21","F","6-9","203 lbs","Auburn","USA"
"Matisse Thybulle","POR","4","G-F","6-5","201 lbs","Washington","USA"
"Xavier Tillman","BOS","26","F","6-7","245 lbs","Michigan State","USA"
"Drew Timme","BKN","26","F","6-10","235 lbs","Gonzaga","USA"
"Nae'Qwan Tomlin","CLE","30","F","6-10","210 lbs","Memphis","USA"
"Nikola Topić","OKC","44","G","6-6","200 lbs","Crvena zvezda","Serbia"
"Jacob Toppin","ATL","00","F","6-8","200 lbs","Kentucky","USA"
"Obi Toppin","IND","1","F","6-9","220 lbs","Dayton","USA"
"Karl-Anthony Towns","NYK","32","C-F","7-0","248 lbs","Kentucky","USA"
"Armel Traoré","","","F","6-9","245 lbs","ADA Blois","France"
"Luke Travers","CLE","33","F","6-7","207 lbs","Rockingham Flames (Aus.)","Australia"
"Gary Trent Jr.","MIL","5","G","6-5","204 lbs","Duke","USA"
"Oscar Tshiebwe","UTA","34","F-C","6-8","255 lbs","Kentucky","DRC"
"P.J. Tucker","NYK","","F","6-5","245 lbs","Texas","USA"
"Myles Turner","IND","33","C-F","6-11","250 lbs","Texas","USA"
"Hunter Tyson","DEN","5","F","6-8","215 lbs","Clemson","USA"
"Jaylon Tyson","CLE","24","G-F","6-6","215 lbs","California","USA"
"Stanley Umude","MIL","17","G","6-6","210 lbs","Arkansas","USA"
"Jonas Valančiūnas","SAC","17","C","6-11","265 lbs","Lietuvos rytas Vilnius","Lithuania"
"Jarred Vanderbilt","LAL","2","F","6-8","214 lbs","Kentucky","USA"
"Fred VanVleet","HOU","5","G","6-0","197 lbs","Wichita State","USA"
"Devin Vassell","SAS","24","G-F","6-5","200 lbs","Florida State","USA"
"Gabe Vincent","LAL","7","G","6-2","200 lbs","California-Santa Barbara","USA"
"Nikola Vučević","CHI","9","C","6-10","260 lbs","Southern California","Montenegro"
"Tristan Vukcevic","WAS","00","F","7-0","220 lbs","Real Madrid","Italy"
"Dean Wade","CLE","32","F-C","6-9","228 lbs","Kansas State","USA"
"Franz Wagner","ORL","22","F","6-10","220 lbs","Michigan","Germany"
"Moritz Wagner","ORL","21","F-C","6-11","245 lbs","Michigan","Germany"
"Jabari Walker","POR","34","F","6-7","237 lbs","Colorado","USA"
"Jarace Walker","IND","5","F","6-7","235 lbs","Houston","USA"
"Lonnie Walker IV","PHI","16","G-F","6-4","204 lbs","Miami","USA"
"Cason Wallace","OKC","22","G","6-3","195 lbs","Kentucky","USA"
"Keaton Wallace","ATL","2","G","6-3","185 lbs","Texas-San Antonio","USA"
"Jordan Walsh","BOS","27","G","6-6","205 lbs","Arkansas","USA"
"Ja'Kobe Walter","TOR","14","G","6-5","180 lbs","Baylor","USA"
"Kel'el Ware","MIA","7","C","7-0","230 lbs","Indiana","USA"
"P.J. Washington","DAL","25","F","6-6","230 lbs","Kentucky","USA"
"TyTy Washington Jr.","PHX","14","G","6-3","195 lbs","Kentucky","USA"
"Lindy Waters III","DET","43","F","6-6","210 lbs","Oklahoma State","USA"
"Trendon Watford","BKN","9","G-F","6-8","237 lbs","Louisiana State","USA"
"Anton Watson","NYK","28","F","6-8","225 lbs","Gonzaga","USA"
"Peyton Watson","DEN","8","G","6-7","200 lbs","UCLA","USA"
"Jaylen Wells","MEM","0","F","6-8","","Washington State","USA"
"Victor Wembanyama","SAS","1","F-C","7-3","235 lbs","Metropolitans 92","France"
"Blake Wesley","SAS","14","G","6-3","185 lbs","Notre Dame","USA"
"Russell Westbrook","DEN","4","G","6-4","200 lbs","UCLA","USA"
"Phillip Wheeler","","","F","6-8","185 lbs","","USA"
"Coby White","CHI","0","G","6-5","195 lbs","North Carolina","USA"
"Derrick White","BOS","9","G","6-4","190 lbs","Colorado","USA"
"Dariq Whitehead","BKN","0","G-F","6-6","220 lbs","Duke","USA"
"Cam Whitmore","HOU","7","F","6-7","230 lbs","Villanova","USA"
"Aaron Wiggins","OKC","21","G","6-5","190 lbs","Maryland","USA"
"Andrew Wiggins","MIA","22","F","6-7","197 lbs","Kansas","Canada"
"Alondes Williams","","","G","6-4","210 lbs","Wake Forest","USA"
"Brandon Williams","DAL","10","G","6-1","190 lbs","Arizona","USA"
"Cody Williams","UTA","5","F","6-7","190 lbs","Colorado","USA"
"Grant Williams","CHA","2","F","6-6","236 lbs","Tennessee","USA"
"Jalen Williams","OKC","8","G-F","6-5","211 lbs","Santa Clara","USA"
"Jaylin Williams","OKC","6","F","6-9","240 lbs","Arkansas","USA"
"Kenrich Williams","OKC","34","G-F","6-6","210 lbs","TCU","USA"
"Mark Williams","CHA","5","C","7-0","240 lbs","Duke","USA"
"Nate Williams","HOU","19","G","6-5","205 lbs","Buffalo","USA"
"Patrick Williams","CHI","44","F","6-7","215 lbs","Florida State","USA"
"Ziaire Williams","BKN","8","F","6-9","185 lbs","Stanford","USA"
"Robert Williams III","POR","35","C-F","6-9","249 lbs","Texas A&M","USA"
"Vince Williams Jr.","MEM","5","G","6-4","205 lbs","Virginia Commonwealth","USA"
"Zion Williamson","NOP","1","F","6-6","284 lbs","Duke","USA"
"Jalen Wilson","BKN","22","F","6-6","220 lbs","Kansas","USA"
"James Wiseman","","","C","6-11","240 lbs","Memphis","USA"
"Isaiah Wong","","","G","6-3","185 lbs","Miami","USA"
"Delon Wright","NYK","0","G","6-5","185 lbs","Utah","USA"
"Guerschon Yabusele","PHI","28","F","6-8","265 lbs","Rouen, France","France"
"Cui Yongxi","","","F","6-5","190 lbs","Guangzhou Loong Lions","China"
"Jahmir Young","CHI","11","G","6-1","185 lbs","Maryland","USA"
"Trae Young","ATL","11","G","6-1","164 lbs","Oklahoma","USA"
"Ivica Zubac","LAC","40","C","7-0","240 lbs","Mega Basket","Croatia"
