"player","team","number","position","height","weight","last_attended","country","profile_url"
"Keion
Brooks Jr.","NOP","","F","6-7","210 lbs","Washington","USA","https://www.nba.com/player/1631232/keion-brooks-jr/"
"Bruce
Brown","NOP","00","G-F","6-4","202 lbs","Miami","USA","https://www.nba.com/player/1628971/bruce-brown/"
"Jaylen
Brown","BOS","7","G-F","6-6","223 lbs","California","USA","https://www.nba.com/player/1627759/jaylen-brown/"
"Kobe
Brown","LAC","21","F","6-7","250 lbs","Missouri","USA","https://www.nba.com/player/1641738/kobe-brown/"
"Moses
Brown","","","C","7-2","258 lbs","UCLA","USA","https://www.nba.com/player/1629650/moses-brown/"
"Jalen
Brunson","NYK","11","G","6-2","190 lbs","Villanova","USA","https://www.nba.com/player/1628973/jalen-brunson/"
"Thomas
Bryant","IND","3","C-F","6-10","248 lbs","Indiana","USA","https://www.nba.com/player/1628418/thomas-bryant/"
"Kobe
Bufkin","ATL","4","G","6-4","195 lbs","Michigan","USA","https://www.nba.com/player/1641723/kobe-bufkin/"
"Alec
Burks","MIA","18","G","6-5","214 lbs","Colorado","USA","https://www.nba.com/player/202692/alec-burks/"
"Jared
Butler","PHI","12","G","6-3","193 lbs","Baylor","USA","https://www.nba.com/player/1630215/jared-butler/"
"Jimmy
Butler III","GSW","10","F","6-7","230 lbs","Marquette","USA","https://www.nba.com/player/202710/jimmy-butler-iii/"
"Matas
Buzelis","CHI","14","F","6-10","209 lbs","NBA G League Ignite","USA","https://www.nba.com/player/1641824/matas-buzelis/"
"Jamal
Cain","NOP","8","F","6-6","191 lbs","Oakland","USA","https://www.nba.com/player/1631288/jamal-cain/"
"Kentavious
Caldwell-Pope","ORL","3","G","6-5","204 lbs","Georgia","USA","https://www.nba.com/player/203484/kentavious-caldwell-pope/"
"Toumani
Camara","POR","33","F","6-7","229 lbs","Dayton","Belgium","https://www.nba.com/player/1641739/toumani-camara/"
"Vlatko
Čančar","DEN","31","F","6-8","236 lbs","San Pablo Burgos","Slovenia","https://www.nba.com/player/1628427/vlatko-cancar/"
"Clint
Capela","ATL","15","C","6-10","256 lbs","Elan Chalon","Switzerland","https://www.nba.com/player/203991/clint-capela/"
"Branden
Carlson","OKC","15","C","7-0","220 lbs","Utah","USA","https://www.nba.com/player/1642382/branden-carlson/"
"Bub
Carrington","WAS","8","G","6-4","190 lbs","Pittsburgh","USA","https://www.nba.com/player/1642267/bub-carrington/"
"Devin
Carter","SAC","22","G","6-2","195 lbs","Providence","USA","https://www.nba.com/player/1642269/devin-carter/"
"Jevon
Carter","CHI","5","G","6-1","200 lbs","West Virginia","USA","https://www.nba.com/player/1628975/jevon-carter/"
"Wendell
Carter Jr.","ORL","34","C-F","6-10","270 lbs","Duke","USA","https://www.nba.com/player/1628976/wendell-carter-jr/"
"D.J.
Carton","","","G","6-3","200 lbs","Marquette","USA","https://www.nba.com/player/1630618/dj-carton/"
"Alex
Caruso","OKC","9","G","6-5","186 lbs","Texas A&M","USA","https://www.nba.com/player/1627936/alex-caruso/"
"Stephon
Castle","SAS","5","G","6-6","215 lbs","Connecticut","USA","https://www.nba.com/player/1642264/stephon-castle/"
"Colin
Castleton","TOR","11","C","6-10","250 lbs","Florida","USA","https://www.nba.com/player/1630658/colin-castleton/"
"Julian
Champagnie","SAS","30","F","6-7","217 lbs","St. John's","USA","https://www.nba.com/player/1630577/julian-champagnie/"
"Justin
Champagnie","WAS","9","G-F","6-6","206 lbs","Pittsburgh","USA","https://www.nba.com/player/1630551/justin-champagnie/"
"Ulrich
Chomche","TOR","22","C","6-11","235 lbs","NBA Global Academy","Cameroon","https://www.nba.com/player/1642279/ulrich-chomche/"
"Cam
Christie","LAC","12","G","6-6","190 lbs","Minnesota","USA","https://www.nba.com/player/1642353/cam-christie/"
"Max
Christie","DAL","00","G","6-5","190 lbs","Michigan State","USA","https://www.nba.com/player/1631108/max-christie/"
"Josh
Christopher","MIA","8","G","6-4","215 lbs","Arizona State","USA","https://www.nba.com/player/1630528/josh-christopher/"
"Sidy
Cissoko","POR","25","G","6-6","200 lbs","NBA G League Ignite","France","https://www.nba.com/player/1631321/sidy-cissoko/"
"Jaylen
Clark","MIN","22","G","6-4","205 lbs","UCLA","USA","https://www.nba.com/player/1641740/jaylen-clark/"
"Brandon
Clarke","MEM","15","F","6-8","215 lbs","Gonzaga","Canada","https://www.nba.com/player/1629634/brandon-clarke/"
"Jordan
Clarkson","UTA","00","G","6-3","194 lbs","Missouri","USA","https://www.nba.com/player/203903/jordan-clarkson/"
"Nic
Claxton","BKN","33","C","6-11","215 lbs","Georgia","USA","https://www.nba.com/player/1629651/nic-claxton/"
"Donovan
Clingan","POR","23","C","7-2","280 lbs","Connecticut","USA","https://www.nba.com/player/1642270/donovan-clingan/"
"Noah
Clowney","BKN","21","F-C","6-9","210 lbs","Alabama","USA","https://www.nba.com/player/1641730/noah-clowney/"
"Amir
Coffey","LAC","7","G-F","6-7","210 lbs","Minnesota","USA","https://www.nba.com/player/1629599/amir-coffey/"
"Isaiah
Collier","UTA","13","G","6-3","210 lbs","Southern California","USA","https://www.nba.com/player/1642268/isaiah-collier/"
"John
Collins","UTA","20","F-C","6-9","226 lbs","Wake Forest","USA","https://www.nba.com/player/1628381/john-collins/"
"Yuri
Collins","","","G","6-0","190 lbs","St. Louis","USA","https://www.nba.com/player/1641879/yuri-collins/"
"Zach
Collins","CHI","12","F-C","6-11","250 lbs","Gonzaga","USA","https://www.nba.com/player/1628380/zach-collins/"
"Mike
Conley","MIN","10","G","6-0","175 lbs","Ohio State","USA","https://www.nba.com/player/201144/mike-conley/"
"Pat
Connaughton","MIL","24","G","6-5","209 lbs","Notre Dame","USA","https://www.nba.com/player/1626192/pat-connaughton/"
"Bilal
Coulibaly","WAS","0","G","6-8","195 lbs","Metropolitans 92","France","https://www.nba.com/player/1641731/bilal-coulibaly/"
"Ricky
Council IV","PHI","14","G","6-6","207 lbs","Arkansas","USA","https://www.nba.com/player/1641741/ricky-council-iv/"
"Torrey
Craig","BOS","12","F","6-5","221 lbs","South Carolina Upstate","USA","https://www.nba.com/player/1628470/torrey-craig/"
"Isaiah
Crawford","SAC","24","F","6-6","220 lbs","Louisiana Tech","USA","https://www.nba.com/player/1642384/isaiah-crawford/"
"Jae
Crowder","SAC","99","F","6-6","235 lbs","Marquette","USA","https://www.nba.com/player/203109/jae-crowder/"
"Cade
Cunningham","DET","2","G","6-6","220 lbs","Oklahoma State","USA","https://www.nba.com/player/1630595/cade-cunningham/"
"Seth
Curry","CHA","30","G","6-1","185 lbs","Duke","USA","https://www.nba.com/player/203552/seth-curry/"
"Stephen
Curry","GSW","30","G","6-2","185 lbs","Davidson","USA","https://www.nba.com/player/201939/stephen-curry/"
"Tristan
da Silva","ORL","23","F","6-8","217 lbs","Colorado","Germany","https://www.nba.com/player/1641783/tristan-da-silva/"
"Pacôme
Dadiet","NYK","4","F","6-8","210 lbs","Ratiopharm Ulm","France","https://www.nba.com/player/1642359/pacome-dadiet/"
"Dyson
Daniels","ATL","5","G","6-7","199 lbs","NBA G League Ignite","Australia","https://www.nba.com/player/1630700/dyson-daniels/"
"N'Faly
Dante","HOU","3","C","6-11","230 lbs","Oregon","Mali","https://www.nba.com/player/1642368/nfaly-dante/"
"Anthony
Davis","DAL","3","F-C","6-10","253 lbs","Kentucky","USA","https://www.nba.com/player/203076/anthony-davis/"
"Johnny
Davis","","","G","6-4","195 lbs","Wisconsin","USA","https://www.nba.com/player/1631098/johnny-davis/"
"Terence
Davis","SAC","3","G","6-4","201 lbs","Mississippi","USA","https://www.nba.com/player/1629056/terence-davis/"
"JD
Davison","BOS","20","G","6-1","195 lbs","Alabama","USA","https://www.nba.com/player/1631120/jd-davison/"
"RayJ
Dennis","IND","10","G","6-2","180 lbs","Baylor","USA","https://www.nba.com/player/1642484/rayj-dennis/"
"DeMar
DeRozan","SAC","10","G-F","6-6","220 lbs","Southern California","USA","https://www.nba.com/player/201942/demar-derozan/"
"Moussa
Diabaté","CHA","14","F","6-9","210 lbs","Michigan","France","https://www.nba.com/player/1631217/moussa-diabate/"
"Gradey
Dick","TOR","1","G-F","6-6","200 lbs","Kansas","USA","https://www.nba.com/player/1641711/gradey-dick/"
"Ousmane
Dieng","OKC","13","F","6-9","185 lbs","New Zealand Breakers","France","https://www.nba.com/player/1631172/ousmane-dieng/"
"Rob
Dillingham","MIN","4","G","6-3","175 lbs","Kentucky","USA","https://www.nba.com/player/1642265/rob-dillingham/"
"Spencer
Dinwiddie","DAL","26","G","6-5","215 lbs","Colorado","USA","https://www.nba.com/player/203915/spencer-dinwiddie/"
"Donte
DiVincenzo","MIN","0","G","6-4","203 lbs","Villanova","USA","https://www.nba.com/player/1628978/donte-divincenzo/"
"Luka
Dončić","LAL","77","F-G","6-6","230 lbs","Real Madrid","Slovenia","https://www.nba.com/player/1629029/luka-doncic/"
"Luguentz
Dort","OKC","5","G","6-4","220 lbs","Arizona State","Canada","https://www.nba.com/player/1629652/luguentz-dort/"
"Ayo
Dosunmu","CHI","11","G","6-5","200 lbs","Illinois","USA","https://www.nba.com/player/1630245/ayo-dosunmu/"
"Jeff
Dowtin Jr.","PHI","11","G","6-3","177 lbs","Rhode Island","USA","https://www.nba.com/player/1630288/jeff-dowtin-jr/"
"PJ
Dozier","","","G-F","6-6","205 lbs","South Carolina","USA","https://www.nba.com/player/1628408/pj-dozier/"
"Andre
Drummond","PHI","1","C","6-11","279 lbs","Connecticut","USA","https://www.nba.com/player/203083/andre-drummond/"
"Chris
Duarte","","","G","6-5","190 lbs","Oregon","Dominican Republic","https://www.nba.com/player/1630537/chris-duarte/"
"Alex
Ducas","OKC","88","G","6-7","220 lbs","St.Mary's College of California","Australia","https://www.nba.com/player/1642505/alex-ducas/"
"David
Duke Jr.","SAS","7","G","6-4","204 lbs","Providence","USA","https://www.nba.com/player/1630561/david-duke-jr/"
"Kris
Dunn","LAC","8","G","6-3","205 lbs","Providence","USA","https://www.nba.com/player/1627739/kris-dunn/"
"Ryan
Dunn","PHX","0","F","6-8","216 lbs","Virginia","USA","https://www.nba.com/player/1642346/ryan-dunn/"
"Kevin
Durant","PHX","35","F","6-11","240 lbs","Texas","USA","https://www.nba.com/player/201142/kevin-durant/"
"Jalen
Duren","DET","0","C","6-10","250 lbs","Memphis","USA","https://www.nba.com/player/1631105/jalen-duren/"
"Tari
Eason","HOU","17","F","6-8","215 lbs","Louisiana State","USA","https://www.nba.com/player/1631106/tari-eason/"
"Zach
Edey","MEM","14","C","7-4","305 lbs","Purdue","Canada","https://www.nba.com/player/1641744/zach-edey/"
"Anthony
Edwards","MIN","5","G","6-4","225 lbs","Georgia","USA","https://www.nba.com/player/1630162/anthony-edwards/"
"Jesse
Edwards","MIN","14","C","7-0","236 lbs","West Virginia","Netherlands","https://www.nba.com/player/1642399/jesse-edwards/"
"Justin
Edwards","PHI","19","F","6-7","203 lbs","Kentucky","USA","https://www.nba.com/player/1642348/justin-edwards/"
"Kessler
Edwards","DAL","20","F","6-7","203 lbs","Pepperdine","USA","https://www.nba.com/player/1630556/kessler-edwards/"
"Keon
Ellis","SAC","23","G","6-4","175 lbs","Alabama","USA","https://www.nba.com/player/1631165/keon-ellis/"
"Joel
Embiid","PHI","21","C-F","7-0","280 lbs","Kansas","Cameroon","https://www.nba.com/player/203954/joel-embiid/"
"Tyson
Etienne","BKN","10","G","6-2","200 lbs","Wichita State","USA","https://www.nba.com/player/1630623/tyson-etienne/"
"Drew
Eubanks","LAC","15","F-C","6-10","245 lbs","Oregon State","USA","https://www.nba.com/player/1629234/drew-eubanks/"
"Tosan
Evbuomwan","BKN","12","F","6-7","217 lbs","Princeton","United Kingdom","https://www.nba.com/player/1641787/tosan-evbuomwan/"
"Danté
Exum","DAL","0","G","6-5","214 lbs","Australian Institute of Sport","Australia","https://www.nba.com/player/203957/dante-exum/"
"Bruno
Fernando","","","F-C","6-9","240 lbs","Maryland","Angola","https://www.nba.com/player/1628981/bruno-fernando/"
"Kyle
Filipowski","UTA","22","C","6-11","250 lbs","Duke","USA","https://www.nba.com/player/1642271/kyle-filipowski/"
"Dorian
Finney-Smith","LAL","17","F","6-7","220 lbs","Florida","USA","https://www.nba.com/player/1627827/dorian-finney-smith/"
"Adam
Flagler","OKC","14","G","6-3","180 lbs","Baylor","USA","https://www.nba.com/player/1641745/adam-flagler/"
"Trentyn
Flowers","LAC","9","F","6-9","185 lbs","Adelaide","USA","https://www.nba.com/player/1642280/trentyn-flowers/"
"Malachi
Flynn","","","G","6-1","185 lbs","San Diego State","USA","https://www.nba.com/player/1630201/malachi-flynn/"
"Simone
Fontecchio","DET","19","F","6-7","209 lbs","Baskonia","Italy","https://www.nba.com/player/1631323/simone-fontecchio/"
"De'Aaron
Fox","SAS","4","G","6-3","185 lbs","Kentucky","USA","https://www.nba.com/player/1628368/deaaron-fox/"
"Enrique
Freeman","IND","8","F","6-7","220 lbs","Akron","USA","https://www.nba.com/player/1642402/enrique-freeman/"
"Markelle
Fultz","SAC","20","G","6-4","209 lbs","Washington","USA","https://www.nba.com/player/1628365/markelle-fultz/"
"Johnny
Furphy","IND","12","G","6-9","200 lbs","Kansas","Australia","https://www.nba.com/player/1642277/johnny-furphy/"
"Daniel
Gafford","DAL","21","F-C","6-10","265 lbs","Arkansas","USA","https://www.nba.com/player/1629655/daniel-gafford/"
"Darius
Garland","CLE","10","G","6-1","192 lbs","Vanderbilt","USA","https://www.nba.com/player/1629636/darius-garland/"
"Marcus
Garrett","","","G","6-5","205 lbs","Kansas","USA","https://www.nba.com/player/1630585/marcus-garrett/"
"Luka
Garza","MIN","55","C","6-10","243 lbs","Iowa","USA","https://www.nba.com/player/1630568/luka-garza/"
"Keyonte
George","UTA","3","G","6-4","185 lbs","Baylor","USA","https://www.nba.com/player/1641718/keyonte-george/"
"Kyshawn
George","WAS","18","F","6-8","200 lbs","Miami","Switzerland","https://www.nba.com/player/1642273/kyshawn-george/"
"Paul
George","PHI","8","F","6-8","220 lbs","Fresno State","USA","https://www.nba.com/player/202331/paul-george/"
"Taj
Gibson","CHA","67","F","6-9","232 lbs","Southern California","USA","https://www.nba.com/player/201959/taj-gibson/"
"Josh
Giddey","CHI","3","G","6-8","216 lbs","NBA Global Academy","Australia","https://www.nba.com/player/1630581/josh-giddey/"
"Shai
Gilgeous-Alexander","OKC","2","G","6-6","195 lbs","Kentucky","Canada","https://www.nba.com/player/1628983/shai-gilgeous-alexander/"
"Anthony
Gill","WAS","16","F","6-8","230 lbs","Virginia","USA","https://www.nba.com/player/1630264/anthony-gill/"
"Collin
Gillespie","PHX","12","G","6-1","195 lbs","Villanova","USA","https://www.nba.com/player/1631221/collin-gillespie/"
"Rudy
Gobert","MIN","27","C","7-1","258 lbs","Cholet","France","https://www.nba.com/player/203497/rudy-gobert/"
"Jordan
Goodwin","LAL","30","G","6-5","215 lbs","St. Louis","USA","https://www.nba.com/player/1630692/jordan-goodwin/"
"Aaron
Gordon","DEN","32","F","6-8","235 lbs","Arizona","USA","https://www.nba.com/player/203932/aaron-gordon/"
"Eric
Gordon","PHI","23","G","6-3","215 lbs","Indiana","USA","https://www.nba.com/player/201569/eric-gordon/"
"Jazian
Gortman","","","G","6-2","184 lbs","Overtime Elite","USA","https://www.nba.com/player/1641789/jazian-gortman/"
"Jerami
Grant","POR","9","F","6-7","210 lbs","Syracuse","USA","https://www.nba.com/player/203924/jerami-grant/"
"AJ
Green","MIL","20","G","6-4","190 lbs","Northern Iowa","USA","https://www.nba.com/player/1631260/aj-green/"
"Draymond
Green","GSW","23","F","6-6","230 lbs","Michigan State","USA","https://www.nba.com/player/203110/draymond-green/"
"Jalen
Green","HOU","4","G","6-4","186 lbs","NBA G League Ignite","USA","https://www.nba.com/player/1630224/jalen-green/"
"Javonte
Green","CLE","8","G","6-5","205 lbs","Radford","USA","https://www.nba.com/player/1629750/javonte-green/"
"Jeff
Green","HOU","32","F","6-8","235 lbs","Georgetown","USA","https://www.nba.com/player/201145/jeff-green/"
"Josh
Green","CHA","10","G","6-5","200 lbs","Arizona","Australia","https://www.nba.com/player/1630182/josh-green/"
"Quentin
Grimes","PHI","5","G","6-4","210 lbs","Houston","USA","https://www.nba.com/player/1629656/quentin-grimes/"
"Mouhamed
Gueye","ATL","18","F","6-10","210 lbs","Washington State","Senegal","https://www.nba.com/player/1631243/mouhamed-gueye/"
"Rui
Hachimura","LAL","28","F","6-8","230 lbs","Gonzaga","Japan","https://www.nba.com/player/1629060/rui-hachimura/"
"Tyrese
Haliburton","IND","0","G","6-5","185 lbs","Iowa State","USA","https://www.nba.com/player/1630169/tyrese-haliburton/"
"PJ
Hall","DEN","13","C","6-10","245 lbs","Clemson","USA","https://www.nba.com/player/1641790/pj-hall/"
"Tim
Hardaway Jr.","DET","8","G-F","6-5","205 lbs","Michigan","USA","https://www.nba.com/player/203501/tim-hardaway-jr/"
"James
Harden","LAC","1","G","6-5","220 lbs","Arizona State","USA","https://www.nba.com/player/201935/james-harden/"
"Jaden
Hardy","DAL","1","G","6-3","198 lbs","NBA G League Ignite","USA","https://www.nba.com/player/1630702/jaden-hardy/"
"Elijah
Harkless","UTA","16","G","6-3","195 lbs","UNLV","USA","https://www.nba.com/player/1641989/elijah-harkless/"
"Ron
Harper Jr.","DET","13","G-F","6-4","233 lbs","Rutgers","USA","https://www.nba.com/player/1631199/ron-harper-jr/"
"Gary
Harris","ORL","14","G","6-4","210 lbs","Michigan State","USA","https://www.nba.com/player/203914/gary-harris/"
"Tobias
Harris","DET","12","F","6-8","226 lbs","Tennessee","USA","https://www.nba.com/player/202699/tobias-harris/"
"Josh
Hart","NYK","3","G","6-4","215 lbs","Villanova","USA","https://www.nba.com/player/1628404/josh-hart/"
"Isaiah
Hartenstein","OKC","55","C-F","7-0","250 lbs","Zalgiris","Germany","https://www.nba.com/player/1628392/isaiah-hartenstein/"
"Sam
Hauser","BOS","30","F","6-7","217 lbs","Virginia","USA","https://www.nba.com/player/1630573/sam-hauser/"
"Jordan
Hawkins","NOP","24","G","6-5","190 lbs","Connecticut","USA","https://www.nba.com/player/1641722/jordan-hawkins/"
"Jaxson
Hayes","LAL","11","C-F","7-0","220 lbs","Texas","USA","https://www.nba.com/player/1629637/jaxson-hayes/"
"Killian
Hayes","","","G","6-5","195 lbs","Ratiopharm Ulm","France","https://www.nba.com/player/1630165/killian-hayes/"
"Scoot
Henderson","POR","00","G","6-3","206 lbs","NBA G League Ignite","USA","https://www.nba.com/player/1630703/scoot-henderson/"
"Taylor
Hendricks","UTA","0","F","6-9","215 lbs","Central Florida","USA","https://www.nba.com/player/1641707/taylor-hendricks/"
"Tyler
Herro","MIA","14","G","6-5","195 lbs","Kentucky","USA","https://www.nba.com/player/1629639/tyler-herro/"
"Buddy
Hield","GSW","7","G","6-4","220 lbs","Oklahoma","Bahamas","https://www.nba.com/player/1627741/buddy-hield/"
"Haywood
Highsmith","MIA","24","F","6-5","220 lbs","Wheeling Jesuit","USA","https://www.nba.com/player/1629312/haywood-highsmith/"
"Aaron
Holiday","HOU","0","G","6-0","185 lbs","UCLA","USA","https://www.nba.com/player/1628988/aaron-holiday/"
"Jrue
Holiday","BOS","4","G","6-4","205 lbs","UCLA","USA","https://www.nba.com/player/201950/jrue-holiday/"
"Ronald
Holland II","DET","00","F","6-8","206 lbs","NBA G League Ignite","USA","https://www.nba.com/player/1641842/ronald-holland-ii/"
"Richaun
Holmes","WAS","22","F","6-9","235 lbs","Bowling Green","USA","https://www.nba.com/player/1626158/richaun-holmes/"
"DaRon
Holmes II","DEN","14","F","6-10","225 lbs","Dayton","USA","https://www.nba.com/player/1641747/daron-holmes-ii/"
"Chet
Holmgren","OKC","7","C-F","7-1","208 lbs","Gonzaga","USA","https://www.nba.com/player/1631096/chet-holmgren/"
"Jalen
Hood-Schifino","PHI","17","G","6-5","210 lbs","Indiana","USA","https://www.nba.com/player/1641720/jalen-hood-schifino/"
"Al
Horford","BOS","42","C-F","6-9","240 lbs","Florida","Dominican Republic","https://www.nba.com/player/201143/al-horford/"
"Talen
Horton-Tucker","CHI","22","G","6-4","234 lbs","Iowa State","USA","https://www.nba.com/player/1629659/talen-horton-tucker/"
