"player","team","number","position","height","weight","last_attended","country","profile_url","is_active","is_free_agent","is_retired","headshot_url","birthdate","draft","experience","legacy"
"Donald Ackerman","","","","","","","","https://www.nba.com/player/76008/HISTADD-buddy-ackerman",False,False,True,"","","","",True
"Mark Acres","","","","","","","","https://www.nba.com/player/76009/HISTADD-mark-acres",False,False,True,"","1962-11-15T00:00:00","1985 #40","6 Years",True
"Charles Acton","","","","","","","","https://www.nba.com/player/76010/HISTADD-bud-acton",False,False,True,"","1942-01-11T00:00:00","Undrafted #Undrafted","1 Years",True
"Quincy Acy","","","","","","","","https://www.nba.com/player/203112/quincy-acy",False,False,True,"","October 6, 1990","2012 R2 Pick 37","7 Years",False
"Alvan Adams","","","","","","","","https://www.nba.com/player/76011/HISTADD-alvan-adams",False,False,True,"","1954-07-19T00:00:00","1975 #4","13 Years",True
"Don Adams","","","","","","","","https://www.nba.com/player/76012/HISTADD-don-adams",False,False,True,"","1947-11-27T00:00:00","1970 #120","7 Years",True
"Hassan Adams","","","","","","","","https://www.nba.com/player/200801/hassan-adams",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/200801.png","June 20, 1984","2006 R2 Pick 54","2 Years",False
"Jaylen Adams","","","","","","","","https://www.nba.com/player/1629121/jaylen-adams",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/1629121.png","May 4, 1996","Undrafted","3 Years",False
"Jordan Adams","","","","","","","","https://www.nba.com/player/203919/jordan-adams",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/203919.png","July 8, 1994","2014 R1 Pick 22","3 Years",False
"Michael Adams","","","","","","","","https://www.nba.com/player/149/michael-adams",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/149.png","January 19, 1963","1985 R3 Pick 66","11 Years",False
"Steven Adams","HOU","","","","","","","https://www.nba.com/player/203500/steven-adams",True,False,False,"","July 20, 1993","2013 R1 Pick 12","10 Years",False
"Rafael Addison","","","","","","","","https://www.nba.com/player/912/rafael-addison",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/912.png","July 22, 1964","1986 R2 Pick 39","6 Years",False
"Bam Adebayo","MIA","","","","","","","https://www.nba.com/player/1628389/bam-adebayo",True,False,False,"","July 18, 1997","2017 R1 Pick 14","7 Years",False
"Deng Adel","","","","","","","","https://www.nba.com/player/1629061/deng-adel",False,False,True,"","February 1, 1997","2018","2 Years",False
"Rick Adelman","","","","","","","","https://www.nba.com/player/76015/HISTADD-rick-adelman",False,False,True,"","1946-06-16T00:00:00","1968 #79","7 Years",True
"Jeff Adrien","","","","","","","","https://www.nba.com/player/202399/jeff-adrien",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/202399.png","February 10, 1986","Undrafted","6 Years",False
"Arron Afflalo","","","","","","","","https://www.nba.com/player/201167/arron-afflalo",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/201167.png","October 15, 1985","2007 R1 Pick 27","12 Years",False
"Ochai Agbaji","TOR","","","","","","","https://www.nba.com/player/1630534/ochai-agbaji",True,False,False,"","April 20, 2000","2022 R1 Pick 14","2 Years",False
"Maurice Ager","","","","","","","","https://www.nba.com/player/200772/maurice-ager",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/200772.png","February 9, 1984","2006 R1 Pick 28","4 Years",False
"Mark Aguirre","","","","","","","","https://www.nba.com/player/76016/HISTADD-mark-aguirre",False,False,True,"","1959-12-10T00:00:00","1981 #1","13 Years",True
"Blake Ahearn","","","","","","","","https://www.nba.com/player/201336/blake-ahearn",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/201336.png","May 27, 1984","Undrafted","4 Years",False
"Danny Ainge","","","","","","","","https://www.nba.com/player/76017/HISTADD-danny-ainge",False,False,True,"","1959-03-17T00:00:00","1981 #31","14 Years",True
"Alexis Ajinca","","","","","","","","https://www.nba.com/player/201582/alexis-ajinca",False,False,True,"","May 6, 1988","2008 R1 Pick 20","8 Years",False
"Henry Akin","","","","","","","","https://www.nba.com/player/76018/HISTADD-henry-akin",False,False,True,"","1944-07-31T00:00:00","1966 #11","2 Years",True
"Josh Akognon","","","","","","","","https://www.nba.com/player/203006/josh-akognon",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/203006.png","February 10, 1986","Undrafted","2 Years",False
"DeVaughn Akoon-Purcell","","","","","","","","https://www.nba.com/player/1629152/devaughn-akoon-purcell",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/1629152.png","June 5, 1993","2016","2 Years",False
"Solomon Alabi","","","","","","","","https://www.nba.com/player/202374/solomon-alabi",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/202374.png","March 21, 1988","2010 R2 Pick 50","3 Years",False
"Mark Alarie","","","","","","","","https://www.nba.com/player/76019/HISTADD-mark-alarie",False,False,True,"","1963-12-11T00:00:00","1986 #18","5 Years",True
"Gary Alcorn","","","","","","","","https://www.nba.com/player/76020/HISTADD-gary-alcorn",False,False,True,"","1936-10-08T00:00:00","1959 #16","2 Years",True
"Santi Aldama","MEM","","","","","","","https://www.nba.com/player/1630583/santi-aldama",True,False,False,"","January 10, 2001","2021 R1 Pick 30","3 Years",False
"Furkan Aldemir","","","","","","","","https://www.nba.com/player/203128/furkan-aldemir",False,False,True,"","August 9, 1991","2012 R2 Pick 53","2 Years",False
"Cole Aldrich","","","","","","","","https://www.nba.com/player/202332/cole-aldrich",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/202332.png","October 31, 1988","2010 R1 Pick 11","9 Years",False
"LaMarcus Aldridge","","","","","","","","https://www.nba.com/player/200746/lamarcus-aldridge",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/200746.png","July 19, 1985","2006 R1 Pick 2","17 Years",False
"Chuck Aleksinas","","","","","","","","https://www.nba.com/player/76021/HISTADD-chuck-aleksinas",False,False,True,"","1959-02-26T00:00:00","1982 #76","1 Years",True
"Cliff Alexander","","","","","","","","https://www.nba.com/player/1626146/cliff-alexander",False,False,True,"","November 16, 1995","Undrafted","2 Years",False
"Cory Alexander","","","","","","","","https://www.nba.com/player/724/cory-alexander",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/724.png","June 22, 1973","1995 R1 Pick 29","8 Years",False
"Courtney Alexander","","","","","","","","https://www.nba.com/player/2042/courtney-alexander",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/2042.png","April 27, 1977","2000 R1 Pick 13","4 Years",False
"Gary Alexander","","","","","","","","https://www.nba.com/player/76022/HISTADD-gary-alexander",False,False,True,"","1969-11-01T00:00:00","Undrafted #Undrafted","1 Years",True
"Joe Alexander","","","","","","","","https://www.nba.com/player/201570/joe-alexander",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/201570.png","December 26, 1986","2008 R1 Pick 8","3 Years",False
"Kyle Alexander","","","","","","","","https://www.nba.com/player/1629734/kyle-alexander",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/1629734.png","October 21, 1996","Undrafted","2 Years",False
"Trey Alexander","DEN","","","","","","","https://www.nba.com/player/1641725/trey-alexander",True,False,False,"","May 2, 2003","Undrafted","Rookie",False
"Ty-Shon Alexander","","","","","","","","https://www.nba.com/player/1630234/ty-shon-alexander",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/1630234.png","July 16, 1998","Undrafted","2 Years",False
"Victor Alexander","","","","","","","","https://www.nba.com/player/2349/victor-alexander",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/2349.png","August 31, 1969","1991 R1 Pick 17","5 Years",False
"Nickeil Alexander-Walker","MIN","","","","","","","https://www.nba.com/player/1629638/nickeil-alexander-walker",True,False,False,"","September 2, 1998","2019 R1 Pick 17","5 Years",False
"Steve Alford","","","","","","","","https://www.nba.com/player/76024/HISTADD-steve-alford",False,False,True,"","1964-11-23T00:00:00","1987 #26","4 Years",True
"Rawle Alkins","","","","","","","","https://www.nba.com/player/1628959/rawle-alkins",False,False,True,"","October 29, 1997","Undrafted","2 Years",False
"Bob Allen","","","","","","","","https://www.nba.com/player/76028/HISTADD-bob-allen",False,False,True,"","1946-07-17T00:00:00","1968 #71","1 Years",True
"Grayson Allen","PHX","","","","","","","https://www.nba.com/player/1628960/grayson-allen",True,False,False,"","October 8, 1995","2018 R1 Pick 21","6 Years",False
"Jarrett Allen","CLE","","","","","","","https://www.nba.com/player/1628386/jarrett-allen",True,False,False,"","April 21, 1998","2017 R1 Pick 22","7 Years",False
"Jerome Allen","","","","","","","","https://www.nba.com/player/706/jerome-allen",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/706.png","January 28, 1973","1995 R2 Pick 49","2 Years",False
"Kadeem Allen","","","","","","","","https://www.nba.com/player/1628443/kadeem-allen",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/1628443.png","January 15, 1993","2017 R2 Pick 53","3 Years",False
"Lavoy Allen","","","","","","","","https://www.nba.com/player/202730/lavoy-allen",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/202730.png","February 4, 1989","2011 R2 Pick 50","7 Years",False
"Lucius Allen","","","","","","","","https://www.nba.com/player/76027/HISTADD-lucius-allen",False,False,True,"","1947-09-26T00:00:00","1969 #3","10 Years",True
"Malik Allen","","","","","","","","https://www.nba.com/player/2124/malik-allen",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/2124.png","June 27, 1978","Undrafted","11 Years",False
"Randy Allen","","","","","","","","https://www.nba.com/player/76025/HISTADD-randy-allen",False,False,True,"","1965-01-26T00:00:00","Undrafted #Undrafted","2 Years",True
"Ray Allen","","","","","","","","https://www.nba.com/player/951/ray-allen",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/951.png","July 20, 1975","1996 R1 Pick 5","18 Years",False
"Timmy Allen","","","","","","","","https://www.nba.com/player/1641851/timmy-allen",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/1641851.png","January 9, 2000","Undrafted","1 Year",False
"Tony Allen","","","","","","","","https://www.nba.com/player/2754/tony-allen",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/2754.png","January 11, 1982","2004 R1 Pick 25","14 Years",False
"Odis Allison","","","","","","","","https://www.nba.com/player/76029/HISTADD-odis-allison",False,False,True,"","1949-10-02T00:00:00","1971 #76","1 Years",True
"Lance Allred","","","","","","","","https://www.nba.com/player/200984/lance-allred",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/200984.png","February 2, 1981","Undrafted","2 Years",False
"Darrell Allums","","","","","","","","https://www.nba.com/player/76030/HISTADD-darrell-allums",False,False,True,"","1958-09-12T00:00:00","1980 #103","1 Years",True
"Morris Almond","","","","","","","","https://www.nba.com/player/201165/morris-almond",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/201165.png","February 2, 1985","2007 R1 Pick 25","4 Years",False
"Derrick Alston","","","","","","","","https://www.nba.com/player/308/derrick-alston",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/308.png","August 20, 1972","1994 R2 Pick 33","3 Years",False
"Rafer Alston","","","","","","","","https://www.nba.com/player/1747/rafer-alston",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/1747.png","July 24, 1976","1998 R2 Pick 39","11 Years",False
"Peter Aluma","","","","","","","","https://www.nba.com/player/1824/peter-aluma",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/1824.png","April 26, 1973","Undrafted","1 Year",False
"Jose Alvarado","NOP","","","","","","","https://www.nba.com/player/1630631/jose-alvarado",True,False,False,"","April 12, 1998","Undrafted","3 Years",False
"John Amaechi","","","","","","","","https://www.nba.com/player/680/john-amaechi",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/680.png","November 26, 1970","Undrafted","6 Years",False
"Ashraf Amaya","","","","","","","","https://www.nba.com/player/732/ashraf-amaya",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/732.png","November 23, 1971","Undrafted","2 Years",False
"Al-Farouq Aminu","","","","","","","","https://www.nba.com/player/202329/al-farouq-aminu",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/202329.png","September 21, 1990","2010 R1 Pick 8","12 Years",False
"Lou Amundson","","","","","","","","https://www.nba.com/player/200811/lou-amundson",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/200811.png","December 7, 1982","Undrafted","11 Years",False
"Bob Anderegg","","","","","","","","https://www.nba.com/player/76034/HISTADD-bob-anderegg",False,False,True,"","1937-08-24T00:00:00","1959 #20","1 Years",True
"Chris Andersen","","","","","","","","https://www.nba.com/player/2365/chris-andersen",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/2365.png","July 7, 1978","Undrafted","15 Years",False
"David Andersen","","","","","","","","https://www.nba.com/player/2431/david-andersen",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/2431.png","June 23, 1980","2002 R2 Pick 36","20 Years",False
"Alan Anderson","","","","","","","","https://www.nba.com/player/101187/alan-anderson",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/101187.png","October 16, 1982","Undrafted","9 Years",False
"Antonio Anderson","","","","","","","","https://www.nba.com/player/202079/antonio-anderson",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/202079.png","June 5, 1985","Undrafted","2 Years",False
"Cliff Anderson","","","","","","","","https://www.nba.com/player/76035/HISTADD-cliff-anderson",False,False,True,"","1944-09-07T00:00:00","1967 #35","3 Years",True
"Daniel Anderson","","","","","","","","https://www.nba.com/player/76036/HISTADD-daniel-anderson",False,False,True,"","1951-01-01T00:00:00","1974 #92","2 Years",True
"Derek Anderson","","","","","","","","https://www.nba.com/player/1507/derek-anderson",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/1507.png","July 18, 1974","1997 R1 Pick 13","12 Years",False
"Dwight Anderson","","","","","","","","https://www.nba.com/player/76037/HISTADD-dwight-anderson",False,False,True,"","1960-12-28T00:00:00","1982 #41","1 Years",True
"Eric Anderson","","","","","","","","https://www.nba.com/player/944/eric-anderson",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/944.png","May 26, 1970","Undrafted","2 Years",False
"Greg Anderson","","","","","","","","https://www.nba.com/player/246/greg-anderson",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/246.png","June 22, 1964","1987 R1 Pick 23","10 Years",False
"James Anderson","","","","","","","","https://www.nba.com/player/202341/james-anderson",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/202341.png","March 25, 1989","2010 R1 Pick 20","6 Years",False
"Jerome Anderson","","","","","","","","https://www.nba.com/player/76040/HISTADD-jerome-anderson",False,False,True,"","1953-10-09T00:00:00","1975 #53","2 Years",True
"Justin Anderson","","","","","","","","https://www.nba.com/player/1626147/justin-anderson",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/1626147.png","November 19, 1993","2015 R1 Pick 21","7 Years",False
"Kenny Anderson","","","","","","","","https://www.nba.com/player/72/kenny-anderson",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/72.png","October 9, 1970","1991 R1 Pick 2","14 Years",False
"Kim Anderson","","","","","","","","https://www.nba.com/player/76041/HISTADD-kim-anderson",False,False,True,"","1955-05-12T00:00:00","1978 #146","1 Years",True
"Kyle Anderson","MIA","","","","","","","https://www.nba.com/player/203937/kyle-anderson",True,False,False,"","September 20, 1993","2014 R1 Pick 30","10 Years",False
"Michael Anderson","","","","","","","","https://www.nba.com/player/76042/HISTADD-michael-anderson",False,False,True,"","1966-03-23T00:00:00","1988 #73","1 Years",True
"Mitchell Anderson","","","","","","","","https://www.nba.com/player/76043/HISTADD-jj-anderson",False,False,True,"","1960-09-23T00:00:00","1982 #36","3 Years",True
"Nick Anderson","","","","","","","","https://www.nba.com/player/98/nick-anderson",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/98.png","January 20, 1968","1989 R1 Pick 11","14 Years",False
"Richard Anderson","","","","","","","","https://www.nba.com/player/76045/HISTADD-richard-anderson",False,False,True,"","1960-11-19T00:00:00","1982 #32","6 Years",True
"Ron Anderson","","","","","","","","https://www.nba.com/player/76046/HISTADD-ron-anderson",False,False,True,"","1958-10-15T00:00:00","1984 #27","10 Years",True
"Ryan Anderson","","","","","","","","https://www.nba.com/player/201583/ryan-anderson",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/201583.png","May 6, 1988","2008 R1 Pick 21","12 Years",False
"Shandon Anderson","","","","","","","","https://www.nba.com/player/1000/shandon-anderson",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/1000.png","December 31, 1973","1996 R2 Pick 54","10 Years",False
"Willie Anderson","","","","","","","","https://www.nba.com/player/335/willie-anderson",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/335.png","January 8, 1967","1988 R1 Pick 10","8 Years",False
"Wally Anderzunas","","","","","","","","https://www.nba.com/player/76048/HISTADD-wally-anderzunas",False,False,True,"","1946-01-11T00:00:00","1969 #25","1 Years",True
"Martynas Andriuskevicius","","","","","","","","https://www.nba.com/player/101149/martynas-andriuskevicius",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/101149.png","March 12, 1986","2005 R2 Pick 44","2 Years",False
"Don Anielak","","","","","","","","https://www.nba.com/player/76049/HISTADD-don-anielak",False,False,True,"","1930-11-01T00:00:00","1954 #26","1 Years",True
"Ike Anigbogu","","","","","","","","https://www.nba.com/player/1628387/ike-anigbogu",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/1628387.png","October 16, 1998","2017 R2 Pick 47","3 Years",False
"Michael Ansley","","","","","","","","https://www.nba.com/player/76050/HISTADD-michael-ansley",False,False,True,"","1967-02-08T00:00:00","1989 #37","3 Years",True
"Chris Anstey","","","","","","","","https://www.nba.com/player/1512/chris-anstey",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/1512.png","January 1, 1975","1997 R1 Pick 18","2 Years",False
"Giannis Antetokounmpo","MIL","","","","","","","https://www.nba.com/player/203507/giannis-antetokounmpo",True,False,False,"","December 6, 1994","2013 R1 Pick 15","11 Years",False
"Kostas Antetokounmpo","","","","","","","","https://www.nba.com/player/1628961/kostas-antetokounmpo",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/1628961.png","November 20, 1997","2018 R2 Pick 60","4 Years",False
"Thanasis Antetokounmpo","","","","","","","","https://www.nba.com/player/203648/thanasis-antetokounmpo",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/203648.png","July 18, 1992","2014 R2 Pick 51","7 Years",False
"Carmelo Anthony","","","","","","","","https://www.nba.com/player/2546/carmelo-anthony",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/2546.png","May 29, 1984","2003 R1 Pick 3","20 Years",False
"Cole Anthony","ORL","","","","","","","https://www.nba.com/player/1630175/cole-anthony",True,False,False,"","May 15, 2000","2020 R1 Pick 15","4 Years",False
"Greg Anthony","","","","","","","","https://www.nba.com/player/21/greg-anthony",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/21.png","November 15, 1967","1991 R1 Pick 12","11 Years",False
"Joel Anthony","","","","","","","","https://www.nba.com/player/201202/joel-anthony",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/201202.png","August 9, 1982","Undrafted","11 Years",False
"Pero Antic","","","","","","","","https://www.nba.com/player/203544/pero-antic",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/203544.png","July 29, 1982","Undrafted","2 Years",False
"OG Anunoby","NYK","","","","","","","https://www.nba.com/player/1628384/og-anunoby",True,False,False,"","July 17, 1997","2017 R1 Pick 23","7 Years",False
"Keith Appling","","","","","","","","https://www.nba.com/player/203951/keith-appling",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/203951.png","February 13, 1992","Undrafted","1 Year",False
"Rafael Araujo","","","","","","","","https://www.nba.com/player/2737/rafael-araujo",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/2737.png","August 12, 1980","2004 R1 Pick 8","4 Years",False
"Stacey Arceneaux","","","","","","","","https://www.nba.com/player/76053/HISTADD-stacey-arceneaux",False,False,True,"","1936-02-17T00:00:00","Undrafted #Undrafted","1 Years",True
"Nate Archibald","","","","","","","","https://www.nba.com/player/76054/HISTADD-nate-archibald",False,False,True,"","1948-09-02T00:00:00","1970 #19","13 Years",True
"Robert Archibald","","","","","","","","https://www.nba.com/player/2425/robert-archibald",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/2425.png","March 29, 1980","2002 R2 Pick 31","3 Years",False
"Ryan Arcidiacono","","","","","","","","https://www.nba.com/player/1627853/ryan-arcidiacono",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/1627853.png","March 26, 1994","Undrafted","7 Years",False
"Jim Ard","","","","","","","","https://www.nba.com/player/76055/HISTADD-jim-ard",False,False,True,"","1948-09-19T00:00:00","1970 #6","4 Years",True
"Gilbert Arenas","","","","","","","","https://www.nba.com/player/2240/gilbert-arenas",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/2240.png","January 6, 1982","2001 R2 Pick 30","12 Years",False
"Trevor Ariza","","","","","","","","https://www.nba.com/player/2772/trevor-ariza",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/2772.png","June 30, 1985","2004 R2 Pick 43","18 Years",False
"Paul Arizin","","","","","","","","https://www.nba.com/player/76056/HISTADD-paul-arizin",False,False,True,"","","","",True
"Joe Arlauckas","","","","","","","","https://www.nba.com/player/76057/HISTADD-joe-arlauckas",False,False,True,"","1965-07-20T00:00:00","1987 #74","1 Years",True
"B.J. Armstrong","","","","","","","","https://www.nba.com/player/769/b.j.-armstrong",False,False,True,"https://cdn.nba.com/headshots/nba/latest/260x190/1630173.png","","","",False
"Bob Armstrong","","","","","","","","https://www.nba.com/player/76061/HISTADD-bob-armstrong",False,False,True,"","","","",True
"Brandon Armstrong","","","","","","","","https://www.nba.com/player/2220/brandon-armstrong",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/2220.png","June 16, 1980","2001 R1 Pick 23","4 Years",False
"Darrell Armstrong","","","","","","","","https://www.nba.com/player/353/darrell-armstrong",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/353.png","June 22, 1968","Undrafted","15 Years",False
"Hilton Armstrong","","","","","","","","https://www.nba.com/player/200756/hilton-armstrong",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/200756.png","November 23, 1984","2006 R1 Pick 12","6 Years",False
"Paul Armstrong","","","","","","","","https://www.nba.com/player/76060/HISTADD-curly-armstrong",False,False,True,"","1918-11-01T00:00:00","Undrafted #Undrafted","3 Years",True
"Taran Armstrong","GSW","","","","","","","https://www.nba.com/player/1642379/tmp-taran-armstrong",True,False,False,"https://cdn.nba.com/headshots/nba/latest/1040x760/1642379.png","January 15, 2002","Undrafted","Rookie",False
"Tate Armstrong","","","","","","","","https://www.nba.com/player/76059/HISTADD-tate-armstrong",False,False,True,"","1955-10-05T00:00:00","1977 #13","2 Years",True
"Jesse Arnelle","","","","","","","","https://www.nba.com/player/76062/HISTADD-jesse-arnelle",False,False,True,"","1933-12-30T00:00:00","1955 #13","1 Years",True
"Jay Arnette","","","","","","","","https://www.nba.com/player/76063/HISTADD-jay-arnette",False,False,True,"","1938-12-19T00:00:00","1960 #9","3 Years",True
"Bob Arnzen","","","","","","","","https://www.nba.com/player/76064/HISTADD-bob-arnzen",False,False,True,"","1947-11-03T00:00:00","1969 #103","1 Years",True
"Carlos Arroyo","","","","","","","","https://www.nba.com/player/2306/carlos-arroyo",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/2306.png","July 30, 1979","Undrafted","10 Years",False
"Darrell Arthur","","","","","","","","https://www.nba.com/player/201589/darrell-arthur",False,False,True,"","March 25, 1988","2008 R1 Pick 27","10 Years",False
"John Arthurs","","","","","","","","https://www.nba.com/player/76065/HISTADD-john-arthurs",False,False,True,"","1947-08-15T00:00:00","1969 #73","1 Years",True
"Jamel Artis","","","","","","","","https://www.nba.com/player/1628503/jamel-artis",False,False,True,"","January 12, 1993","Undrafted","2 Years",False
"Omer Asik","","","","","","","","https://www.nba.com/player/201600/omer-asik",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/201600.png","July 4, 1986","2008 R2 Pick 36","9 Years",False
"Vincent Askew","","","","","","","","https://www.nba.com/player/355/vincent-askew",False,False,True,"","February 28, 1966","1987 R2 Pick 39","9 Years",False
"Keith Askins","","","","","","","","https://www.nba.com/player/173/keith-askins",False,False,True,"","December 15, 1967","Undrafted","9 Years",False
"Don Asmonga","","","","","","","","https://www.nba.com/player/76068/HISTADD-don-asmonga",False,False,True,"","1928-02-15T00:00:00","Undrafted #Undrafted","1 Years",True
"Richard Atha","","","","","","","","https://www.nba.com/player/76069/HISTADD-dick-atha",False,False,True,"","","","",True
"Chucky Atkins","","","","","","","","https://www.nba.com/player/1088/chucky-atkins",False,False,True,"","August 14, 1974","Undrafted","12 Years",False
"Alvin Attles","","","","","","","","https://www.nba.com/player/76070/HISTADD-alvin-attles",False,False,True,"","1936-11-07T00:00:00","1960 #39","11 Years",True
"Chet Aubuchon","","","","","","","","https://www.nba.com/player/76071/HISTADD-chet-aubuchon",False,False,True,"","1916-05-08T00:00:00","Undrafted #Undrafted","1 Years",True
