PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,LAST ATTENDED,COUNTRY
"Terry
Catledge",WAS,33,F,6-8,220 lbs,South Alabama,USA
"Sid
Catlett",SAC,43,F,6-6,230 lbs,Notre Dame,USA
"Kelvin
Cato",HOU,26,C,6-11,275 lbs,Iowa State,USA
"Bobby
Cattage",UTA,45,F,6-9,250 lbs,Auburn,USA
"Willie
Cauley-Stein",PHI,00,C,7-0,240 lbs,Kentucky,USA
"Troy
Caupain",ORL,3,G,6-4,210 lbs,Cincinnati,USA
"Duane
Causwell",SAC,4,C,7-0,255 lbs,Temple,USA
"Tyler
Cavanaugh",ATL,34,F,6-9,238 lbs,George Washington,USA
"Ron
Cavenall",NYK,40,C,7-1,230 lbs,Texas Southern,USA
"Ahmad
Caver",IND,,G,6-2,174 lbs,Old Dominion,USA
"Malcolm
Cazalon",DET,20,G,6-6,185 lbs,Mega Basket,France
"Cedric
Ceballos",PHX,23,F,6-7,220 lbs,California State-Fullerton,USA
"John
Celestand",LAL,20,G,6-3,190 lbs,Villanova,USA
"Al
Cervi",PHI,15,G,5-11,170 lbs,East HS (NY),USA
"Lionel
Chalmers",LAC,0,G,6-0,180 lbs,Xavier,USA
"Mario
Chalmers",MIA,6,G,6-2,190 lbs,Kansas,USA
"Bill
Chamberlain",PHX,24,F,6-6,188 lbs,North Carolina,USA
"Wilt
Chamberlain",GSW,13,C,7-1,250 lbs,Kansas,USA
"Jerry
Chambers",PHX,40,F,6-5,185 lbs,Utah,USA
"Tom
Chambers",OKC,24,F,6-10,220 lbs,Utah,USA
"Julian
Champagnie",SAS,30,F,6-7,217 lbs,St. John's,USA
"Justin
Champagnie",WAS,9,G-F,6-6,206 lbs,Pittsburgh,USA
"Mike
Champion",OKC,41,F,6-10,230 lbs,Gonzaga,USA
"Kennedy
Chandler",MEM,1,G,5-11,170 lbs,Tennessee,USA
"Tyson
Chandler",NYK,6,C,7-0,235 lbs,Dominguez HS (CA),USA
"Wilson
Chandler",DEN,21,F,6-8,235 lbs,DePaul,USA
"Don
Chaney",BOS,12,G,6-5,210 lbs,Houston,USA
"John
Chaney",SHE,,,,,Louisiana State,USA
"Rex
Chapman",PHX,3,G,6-4,195 lbs,Kentucky,USA
"Len
Chappell",NYK,25,F,6-8,240 lbs,Wake Forest,USA
"Ken
Charles",LAC,44,G,6-3,180 lbs,Fordham,USA
"Lorenzo
Charles",ATL,43,F,6-7,225 lbs,North Carolina State,USA
"Joe
Chealey",CHA,31,G,6-3,190 lbs,College of Charleston,USA
"Calbert
Cheaney",WAS,40,G-F,6-7,210 lbs,Indiana,USA
"Zylan
Cheatham",NOP,45,F,6-5,220 lbs,Arizona State,USA
"Maurice
Cheeks",PHI,10,G,6-1,180 lbs,West Texas A&M,USA
"Phil
Chenier",WAS,15,G,6-3,180 lbs,California,USA
"Will
Cherry",CLE,,,,,Montana,USA
"Derrick
Chievous",HOU,33,F,6-7,195 lbs,Missouri,USA
"Pete
Chilcutt",MEM,24,F,6-10,245 lbs,North Carolina,USA
"Josh
Childress",ATL,1,F,6-8,210 lbs,Stanford,USA
"Randolph
Childress",POR,12,G,6-2,188 lbs,Wake Forest,USA
"Chris
Childs",NYK,,G,6-3,195 lbs,Boise State,USA
"Chris
Chiozza",BKN,2,G,5-11,175 lbs,Florida,USA
"Leroy
Chollet",PHI,11,F,6-2,190 lbs,Canisius,USA
"Ulrich
Chomche",TOR,22,C,6-11,235 lbs,NBA Global Academy,Cameroon
"Jim
Chones",CLE,9,C,6-11,220 lbs,Marquette,USA
"Marquese
Chriss",DAL,35,F,6-9,240 lbs,Washington,USA
"Fred
Christ",NYK,9,G,6-4,210 lbs,Fordham,USA
"Cal
Christensen",SAC,18,F,6-5,210 lbs,Toledo,USA
"Bob
Christian",ATL,31,C,6-10,255 lbs,Grambling,USA
"Cam
Christie",LAC,12,G,6-6,190 lbs,Minnesota,USA
"Doug
Christie",SAC,13,G-F,6-6,205 lbs,Pepperdine,USA
"Max
Christie",DAL,00,G,6-5,190 lbs,Michigan State,USA
"Dionte
Christmas",PHX,25,G,6-5,205 lbs,Temple,USA
"Rakeem
Christmas",IND,25,F,6-9,250 lbs,Syracuse,USA
"Semaj
Christon",OKC,6,G,6-3,190 lbs,Xavier,USA
"Josh
Christopher",MIA,8,G,6-4,215 lbs,Arizona State,USA
"Patrick
Christopher",UTA,,,,,California,USA
"Robert
Churchwell",GSW,21,F,6-6,195 lbs,Georgetown,USA
"Sidy
Cissoko",POR,25,G,6-6,200 lbs,NBA G League Ignite,France
"Archie
Clark",PHI,11,G,6-2,175 lbs,Minnesota,USA
"Carlos
Clark",BOS,40,G,6-4,210 lbs,Mississippi,USA
"Earl
Clark",ORL,55,F,6-10,234 lbs,Louisville,USA
"Gary
Clark",NOP,12,F,6-6,225 lbs,Cincinnati,USA
"Ian
Clark",GSW,2,G,6-3,175 lbs,Belmont,USA
"Jaylen
Clark",MIN,22,G,6-4,205 lbs,UCLA,USA
"Keon
Clark",DEN,13,C-F,6-11,221 lbs,UNLV,USA
"Brandon
Clarke",MEM,15,F,6-8,215 lbs,Gonzaga,Canada
"Coty
Clarke",BOS,63,F,6-7,225 lbs,Arkansas,USA
"Jordan
Clarkson",UTA,00,G,6-3,194 lbs,Missouri,USA
"Gian
Clavell",DAL,8,G,6-4,185 lbs,Colorado State,Puerto Rico
"Victor
Claver",POR,18,F,6-9,224 lbs,Valencia,Spain
"Charles
Claxton",BOS,51,C,7-0,265 lbs,Georgia,USA
"Nic
Claxton",BKN,33,C,6-11,215 lbs,Georgia,USA
"Speedy
Claxton",GSW,12,G,5-11,170 lbs,Hofstra,USA
"Jim
Cleamons",CLE,35,G,6-3,185 lbs,Ohio State,USA
"Mateen
Cleaves",DET,24,G,6-2,210 lbs,Michigan State,USA
"John
Clemens",OKC,40,F,6-6,210 lbs,Ohio Wesleyan,USA
"Chris
Clemons",HOU,3,G,5-9,180 lbs,Campbell University,USA
"Antonius
Cleveland",DAL,3,G,6-5,195 lbs,S.E. Missouri,USA
"Nat
Clifton",NYK,24,C,6-6,220 lbs,Xavier of Louisiana,USA
"Donovan
Clingan",POR,23,C,7-2,280 lbs,Connecticut,USA
"Bill
Closs",GSW,14,F,6-6,195 lbs,Rice,USA
"Keith
Closs",LAC,33,C,7-3,212 lbs,Central Connecticut State,USA
"Noah
Clowney",BKN,21,F-C,6-9,210 lbs,Alabama,USA
"Paul
Cloyd",WAT,,,,,Wisconsin,USA
"Marion
Cluggish",NYK,3,C,6-10,235 lbs,Kentucky,USA
"Ben
Clyde",BOS,33,F,6-7,198 lbs,Florida State,USA
"Amir
Coffey",LAC,7,G-F,6-7,210 lbs,Minnesota,USA
"Richard
Coffey",MIN,33,G,6-6,212 lbs,Minnesota,USA
"Fred
Cofield",NYK,11,G,6-3,190 lbs,Eastern Michigan,USA
"John
Coker",WAS,51,C,7-0,253 lbs,Boise State,USA
"Norris
Cole",MIA,30,G,6-2,175 lbs,Cleveland State,USA
"Ben
Coleman",PHI,51,F,6-9,235 lbs,Maryland,USA
"Derrick
Coleman",BKN,44,C-F,6-10,270 lbs,Syracuse,USA
"E.C.
Coleman",UTA,12,F,6-8,225 lbs,Houston Baptist,USA
"Jack
Coleman",SAC,11,F,6-7,195 lbs,Louisville,USA
"Norris
Coleman",LAC,45,F,6-8,210 lbs,Kansas State,USA
"Bimbo
Coles",MIA,12,G,6-2,182 lbs,Virginia Tech,USA
"Isaiah
Collier",UTA,13,G,6-3,210 lbs,Southern California,USA
"Jason
Collier",ATL,40,C,7-0,260 lbs,Georgia Tech,USA
"Art
Collins",ATL,44,G,6-4,185 lbs,St. Thomas (FL),USA
"Don
Collins",WAS,12,G,6-6,190 lbs,Washington State,USA
"Doug
Collins",PHI,20,G,6-6,180 lbs,Illinois State,USA
"James
Collins",LAC,32,G,6-4,196 lbs,Florida State,USA
"Jarron
Collins",UTA,20,C,6-11,249 lbs,Stanford,USA
"Jason
Collins",BKN,98,C,7-0,255 lbs,Stanford,USA
"Jimmy
Collins",CHI,22,G,6-2,175 lbs,New Mexico State,USA
"John
Collins",UTA,20,F-C,6-9,226 lbs,Wake Forest,USA
"Mardy
Collins",NYK,25,G,6-6,220 lbs,Temple,USA
"Sherron
Collins",CHA,11,G,5-11,205 lbs,Kansas,USA
"Yuri
Collins",GSW,,G,6-0,190 lbs,St. Louis,USA
"Zach
Collins",CHI,12,F-C,6-11,250 lbs,Gonzaga,USA
"Kyle
Collinsworth",DAL,8,G,6-6,210 lbs,Brigham Young,USA
"Darren
Collison",LAL,2,G,6-0,175 lbs,UCLA,USA
"Nick
Collison",OKC,4,F-C,6-10,255 lbs,Kansas,USA
"Joe
Colone",NYK,18,F,6-5,210 lbs,Bloomsburg,USA
"Bonzie
Colson",MIL,50,F,6-6,225 lbs,Notre Dame,USA
"Sean
Colson",HOU,3,G,6-0,175 lbs,North Carolina-Charlotte,USA
"Steve
Colter",WAS,5,G,6-3,165 lbs,New Mexico State,USA
"Chance
Comanche",POR,,C,6-10,210 lbs,Arizona,USA
"Leroy
Combs",IND,34,F,6-8,210 lbs,Oklahoma State,USA
"Dallas
Comegys",BKN,22,C,6-9,205 lbs,DePaul,USA
"Larry
Comley",WAS,52,G,6-5,210 lbs,Kansas State,USA
"Gene
Conley",BOS,5,C,6-8,225 lbs,Washington State,USA
"Mike
Conley",MIN,10,G,6-0,175 lbs,Ohio State,USA
"Ed
Conlin",PHI,7,F,6-6,200 lbs,Fordham,USA
"Marty
Conlon",MIL,40,F,6-11,245 lbs,Providence,USA
"Pat
Connaughton",MIL,24,G,6-5,209 lbs,Notre Dame,USA
"Lester
Conner",GSW,7,G,6-4,180 lbs,Oregon State,USA
"Chuck
Connors",BOS,11,F,6-5,190 lbs,Seton Hall,USA
"Will
Conroy",HOU,10,G,6-2,195 lbs,Washington,USA
"Anthony
Cook",DEN,38,F,6-9,205 lbs,Arizona,USA
"Bert
Cook",NYK,5,G,6-3,185 lbs,Utah State,USA
"Bobby
Cook",SHE,,G,5-10,155 lbs,Wisconsin,USA
"Brian
Cook",LAL,43,C-F,6-9,250 lbs,Illinois,USA
"Daequan
Cook",MIA,14,G,6-5,210 lbs,Ohio State,USA
"Darwin
Cook",BKN,1,G,6-3,184 lbs,Portland,USA
"Jeff
Cook",PHX,45,F,6-10,215 lbs,Idaho State,USA
"Norm
Cook",BOS,30-52,F,6-8,210 lbs,Kansas,USA
"Omar
Cook",POR,1,G,6-1,190 lbs,St. John's (NY),USA
"Quinn
Cook",SAC,28,G,6-1,180 lbs,Duke,USA
"Tyler
Cook",CHI,25,F,6-8,255 lbs,Iowa,USA
"Charles
Cooke",NOP,4,G,6-5,196 lbs,Dayton,USA
"David
Cooke",SAC,14,F,6-8,230 lbs,Saint Mary's,USA
"Joe
Cooke",CLE,10,G,6-3,175 lbs,Indiana,USA
"Xavier
Cooks",WAS,12,F,6-8,183 lbs,Winthrop,Australia
"Jack
Cooley",UTA,45,C-F,6-10,274 lbs,Notre Dame,USA
"Chuck
Cooper",BOS,6,F,6-5,210 lbs,Duquesne,USA
"Duane
Cooper",LAL,10,G,6-1,185 lbs,Southern California,USA
"Joe
Cooper",LAC,53,C,6-10,230 lbs,Colorado,USA
"Michael
Cooper",LAL,21,G,6-7,170 lbs,New Mexico,USA
"Sharife
Cooper",CLE,2,G,6-1,176 lbs,Auburn,USA
"Wayne
Cooper",DEN,42,C,6-10,220 lbs,New Orleans,USA
"Tom
Copa",SAS,30,F,6-10,275 lbs,Marquette,USA
"Chris
Copeland",IND,22,F,6-8,235 lbs,Colorado,USA
"Hollis
Copeland",NYK,45,F,6-6,180 lbs,Rutgers,USA
"Lanard
Copeland",PHI,21,F,6-6,190 lbs,Georgia State,USA
"Tyrone
Corbin",ATL,23,F,6-6,225 lbs,DePaul,USA
"Chris
Corchiani",ORL,12,G,6-0,185 lbs,North Carolina State,USA
"Ken
Corley",CLR,,,,,Central Oklahoma,USA
"Ray
Corley",PHI,4,G,6-0,180 lbs,Georgetown,USA
"Petr
Cornelie",DEN,21,F,6-11,220 lbs,Pau Orthez,France
"Dave
Corzine",CHI,42,C,6-11,250 lbs,DePaul,USA
"Larry
Costello",PHI,21,G,6-1,186 lbs,Niagara,USA
"Matt
Costello",SAS,10,F-C,6-10,240 lbs,Michigan State,USA
"Bryce
Cotton",UTA,8,G,6-1,165 lbs,Providence,USA
"Jack
Cotton",DN,,F,6-7,200 lbs,Wyoming,USA
"James
Cotton",OKC,4,G,6-5,220 lbs,Long Beach State,USA
"John
Coughran",GSW,41,F,6-7,225 lbs,California,USA
"Bilal
Coulibaly",WAS,0,G,6-8,195 lbs,Metropolitans 92,France
"Ricky
Council IV",PHI,14,G,6-6,207 lbs,Arkansas,USA
"Mel
Counts",LAL,31,C,7-0,230 lbs,Oregon State,USA
"Steve
Courtin",PHI,5,G,6-1,188 lbs,St. Joseph's (PA),USA
"Joe
Courtney",PHX,40,F,6-8,235 lbs,Southern Mississippi,USA
"Marcus
Cousin",UTA,50,F,6-11,255 lbs,Houston,USA
"DeMarcus
Cousins",DEN,4,C,6-10,270 lbs,Kentucky,USA
"Bob
Cousy",BOS,14,G,6-1,175 lbs,Holy Cross,USA
"Robert
Covington",PHI,33,F,6-7,209 lbs,Tennessee State,USA
"Dave
Cowens",BOS,18,C,6-9,230 lbs,Florida State,USA
"John
Cox",WAS,32,G,6-2,180 lbs,San Francisco,USA
"Johnny
Cox",WAS,25,G,6-4,180 lbs,Kentucky,USA
"Wesley
Cox",GSW,41,F,6-6,215 lbs,Louisville,USA
"Allen
Crabbe",POR,33,G-F,6-6,212 lbs,California,USA
"Torrey
Craig",BOS,12,F,6-5,221 lbs,South Carolina Upstate,USA
"Chris
Crawford",ATL,4,F,6-9,235 lbs,Marquette,USA
"Freddie
Crawford",LAL,15,G,6-4,189 lbs,St. Bonaventure,USA
"Isaiah
Crawford",SAC,24,F,6-6,220 lbs,Louisiana Tech,USA
"Jamal
Crawford",LAC,1,G,6-5,200 lbs,Michigan,USA
"Joe
Crawford",NYK,5,G,6-5,210 lbs,Kentucky,USA
"Jordan
Crawford",WAS,27,G,6-5,195 lbs,Xavier,USA
"Mitchell
Creek",BKN,55,F-G,6-6,225 lbs,Gottingen,Australia
"Jim
Creighton",ATL,24,F,6-8,200 lbs,Colorado,USA
"Ron
Crevier",DET,42,C,7-0,235 lbs,Boston College,USA
"Hal
Crisler",BOS,15,F,6-3,215 lbs,Iowa State,USA
"Joe
Crispin",PHX,11,G,6-0,185 lbs,Penn State,USA
"Charlie
Criss",ATL,14,G,5-8,165 lbs,New Mexico State,USA
"Winston
Crite",PHX,12,F,6-7,233 lbs,Texas A&M,USA
"Javaris
Crittenton",WAS,8,G,6-5,200 lbs,Georgia Tech,USA
"Dillard
Crocker",ATL,7,F,6-4,205 lbs,Western Michigan,USA
"Jeffrey
Crompton",MIL,41,C,6-11,280 lbs,North Carolina,USA
"Terry
Crosby",SAC,12,G,6-4,195 lbs,Tennessee,USA
"Austin
Croshere",IND,44,F,6-10,235 lbs,Providence,USA
"Jeff
Cross",LAC,38,F,6-10,240 lbs,Maine,USA
"Pete
Cross",OKC,41,C,6-9,230 lbs,San Francisco,USA
"Russell
Cross",GSW,40,C,6-10,215 lbs,Purdue,USA
"Francis
Crossin",GSW,4,G,6-1,165 lbs,Pennsylvania,USA
"John
Crotty",UTA,22,G,6-2,194 lbs,Virginia,USA
"Mark
Crow",BKN,31,F,6-7,210 lbs,Duke,USA
"Corey
Crowder",UTA,23,F,6-5,214 lbs,Kentucky Wesleyan,USA
"Jae
Crowder",SAC,99,F,6-6,235 lbs,Marquette,USA
"Jalen
Crutcher",NOP,17,G,6-1,175 lbs,University of Dayton,USA
"Jarrett
Culver",ORL,23,G-F,6-6,195 lbs,Texas Tech,USA
"Jarron
Cumberland",POR,,G,6-5,205 lbs,Cincinnati,USA
"Pat
Cummings",MIL,50,C,6-9,230 lbs,Cincinnati,USA
"Terry
Cummings",MIL,35,F,6-9,250 lbs,DePaul,USA
"Vonteego
Cummings",GSW,5,G,6-3,190 lbs,Pittsburgh,USA
"Billy
Cunningham",PHI,32,F,6-6,210 lbs,North Carolina,USA
"Cade
Cunningham",DET,2,G,6-6,220 lbs,Oklahoma State,USA
"Dante
Cunningham",NOP,33,F,6-8,230 lbs,Villanova,USA
"Dick
Cunningham",MIL,19,C,6-10,245 lbs,Murray State,USA
"Jared
Cunningham",CLE,9,G,6-4,195 lbs,Oregon State,USA
"William
Cunningham",BKN,51,C,6-11,240 lbs,Temple,USA
"Radisav
Curcic",DAL,44,C,6-10,275 lbs,Union Olimpija,Serbia
"Armand
Cure",PRO,,F,6-0,198 lbs,Rhode Island,USA
"Earl
Cureton",DET,35,F,6-9,210 lbs,Detroit,USA
"Bill
Curley",DET,15,F,6-9,245 lbs,Boston College,USA
"Fran
Curran",SAC,15,G,6-0,175 lbs,Notre Dame,USA
"Dell
Curry",CHA,30,G-F,6-5,205 lbs,Virginia Tech,USA
"Eddy
Curry",CHI,34,C,7-0,295 lbs,Thornwood HS (IL),USA
"JamesOn
Curry",LAC,20,G,6-3,190 lbs,Oklahoma State,USA
"Michael
Curry",DET,12,F-G,6-5,210 lbs,Georgia Southern,USA
"Seth
Curry",CHA,30,G,6-1,185 lbs,Duke,USA
"Stephen
Curry",GSW,30,G,6-2,185 lbs,Davidson,USA
"Rastko
Cvetkovic",DEN,8,C,7-1,260 lbs,Crvena zvezda,Serbia
"Mike
D'Antoni",SAC,14,G,6-3,185 lbs,Marshall,USA
"Pacôme
Dadiet",NYK,4,F,6-8,210 lbs,Ratiopharm Ulm,France
"Ed
Dahler",GSW,16,F,6-5,190 lbs,Duquesne,USA
"Quintin
Dailey",CHI,20,G,6-3,180 lbs,San Francisco,USA
"Samuel
Dalembert",PHI,24,C,6-11,250 lbs,Seton Hall,Haiti
"Howie
Dallmar",GSW,12,F,6-4,200 lbs,Stanford,USA
"Erick
Dampier",GSW,25,C,6-11,265 lbs,Mississippi State,USA
"Lou
Dampier",SAS,,G,6-0,170 lbs,Kentucky,USA
"Bob
Dandridge",MIL,10,F,6-6,195 lbs,Norfolk State,USA
"Antonio
Daniels",SAS,22,G,6-4,205 lbs,Bowling Green,USA
"Dyson
Daniels",ATL,5,G,6-7,199 lbs,NBA G League Ignite,Australia
"Erik
Daniels",SAC,15,F,6-8,214 lbs,Kentucky,USA
"Lloyd
Daniels",SAS,24,G,6-7,205 lbs,Mt. San Antonio,USA
"Marquis
Daniels",DAL,6,F,6-6,200 lbs,Auburn,USA
"Mel
Daniels",BKN,34,C,6-9,220 lbs,New Mexico,USA
"Troy
Daniels",PHX,30,G,6-4,200 lbs,Va Commonwealth,USA
"Sasha
Danilovic",MIA,5,G,6-6,200 lbs,Virtus Bologna,Serbia
"N'Faly
Dante",HOU,3,C,6-11,230 lbs,Oregon,Mali
"Adrian
Dantley",UTA,4,F,6-5,208 lbs,Notre Dame,USA
"Henry
Darcey",ATL,10,C,6-7,217 lbs,Oklahoma State,USA
"Jimmy
Darden",DN,,G,6-1,170 lbs,Denver,USA
"Yinka
Dare",BKN,33,C-F,7-0,265 lbs,George Washington,USA
"Jesse
Dark",NYK,11,G,6-4,210 lbs,Virginia Commonwealth,USA
"Nate
Darling",LAC,30,G,6-6,200 lbs,Delaware,Canada
"Jimmy
Darrow",ATL,,G,5-10,170 lbs,Bowling Green,USA
"Gigi
Datome",DET,70,F,6-8,215 lbs,Virtus Roma,Italy
"Brad
Daugherty",CLE,43,C,7-0,245 lbs,North Carolina,USA
"Kornel
David",CHI,9,F,6-9,230 lbs,Budapest AEH,USA
"Jermareo
Davidson",CHA,33,F,6-10,230 lbs,Alabama,USA
"Bob
Davies",SAC,11,G,6-1,175 lbs,Seton Hall,USA
"Brandon
Davies",PHI,20,F,6-10,240 lbs,Brigham Young,USA
"Anthony
Davis",DAL,3,F-C,6-10,253 lbs,Kentucky,USA
"Antonio
Davis",IND,34,F-C,6-9,245 lbs,Texas-El Paso,USA
"Aubrey
Davis",BOM,,G,6-2,175 lbs,Oklahoma Baptist,USA
"Baron
Davis",CHA,85,G,6-3,212 lbs,UCLA,USA
"Ben
Davis",PHX,43,F,6-9,245 lbs,Arizona,USA
"Bill
Davis",CHS,,F,6-3,215 lbs,Notre Dame,USA
"Bob
Davis",POR,11,F,6-7,215 lbs,Weber State,USA
"Brad
Davis",DAL,15,G,6-3,180 lbs,Maryland,USA
"Brian
Davis",MIN,23,F,6-7,200 lbs,Duke,USA
"Charlie
Davis",WAS,22,F,6-7,215 lbs,Vanderbilt,USA
"Charlie
Davis",POR,,G,6-1,160 lbs,Wake Forest,USA
"Dale
Davis",IND,34,C-F,6-11,252 lbs,Clemson,USA
"Deyonta
Davis",MEM,21,C-F,6-11,237 lbs,Michigan State,USA
"Double D
Davis",CLE,42,F,6-8,220 lbs,Houston,USA
"Ed
Davis",CLE,21,C-F,6-9,218 lbs,North Carolina,USA
"Edward
Davis",MIL,20,F,6-7,195 lbs,Duquesne,USA
"Emanual
Davis",OKC,15,G,6-5,195 lbs,Delaware State,USA
"Glen
Davis",BOS,0,F-C,6-9,289 lbs,Louisiana State,USA
"Harry
Davis",CLE,23,F,6-7,220 lbs,Florida State,USA
"Hubert
Davis",NYK,44,G,6-5,183 lbs,North Carolina,USA
"James
Davis",SAC,6,C,6-7,220 lbs,St. John's (NY),USA
"Jim
Davis",ATL,20,C,6-9,225 lbs,Colorado,USA
"Johnny
Davis",IND,16,G,6-2,170 lbs,Dayton,USA
"Johnny
Davis",WAS,1,G,6-4,195 lbs,Wisconsin,USA
"Josh
Davis",PHI,23,F,6-8,235 lbs,Wyoming,USA
"Mark
Davis",PHI,7,G-F,6-7,205 lbs,Texas Tech,USA
"Mark
Davis",MIL,,F,6-6,195 lbs,Old Dominion,USA
"Mel
Davis",NYK,31,F,6-6,220 lbs,St. John's (NY),USA
"Michael
Davis",NYK,,F,6-10,230 lbs,Maryland,USA
"Mike
Davis",LAC,32,G,6-3,185 lbs,Virginia Union,USA
"Monti
Davis",DAL,43,F,6-7,205 lbs,Tennessee State,USA
"Paul
Davis",LAC,40,C,6-11,270 lbs,Michigan State,USA
"Ralph
Davis",WAS,25,G,6-4,180 lbs,Cincinnati,USA
"Ricky
Davis",CLE,31,F-G,6-7,195 lbs,Iowa,USA
"Ron
Davis",LAC,42,G,6-6,198 lbs,Washington State,USA
"Terence
Davis",SAC,3,G,6-4,201 lbs,Mississippi,USA
"Terry
Davis",DAL,54,C-F,6-10,270 lbs,Virginia Union,USA
"Tyler
Davis",OKC,34,C,6-10,266 lbs,Texas A&M,USA
"Walt
Davis",GSW,12,C,6-8,205 lbs,Texas A&M,USA
"Walter
Davis",PHX,6,G,6-6,193 lbs,North Carolina,USA
"JD
Davison",BOS,20,G,6-1,195 lbs,Alabama,USA
"Andre
Dawkins",MIA,24,G,6-5,219 lbs,Duke,USA
"Darryl
Dawkins",PHI,50,C,6-11,251 lbs,Maynard Evans HS (FL),USA
"Johnny
Dawkins",PHI,12,G,6-2,165 lbs,Duke,USA
"Paul
Dawkins",UTA,31,F,6-5,190 lbs,Northern Illinois,USA
"Branden
Dawson",LAC,22,F,6-6,225 lbs,Michigan State,USA
"Eric
Dawson",SAS,18,F,6-9,255 lbs,Midwestern State,USA
"Tony
Dawson",SAC,45,F,6-7,215 lbs,Florida State,USA
"Todd
Day",MIL,11,G-F,6-6,188 lbs,Arkansas,USA
"Austin
Daye",DET,3,F,6-11,220 lbs,Gonzaga,USA
"Darren
Daye",WAS,20,F,6-8,220 lbs,UCLA,USA
"Darius
Days",HOU,5,F,6-7,245 lbs,Winnipeg Sea Bears,USA
"Nando
De Colo",SAS,3,G,6-5,195 lbs,Valencia,France
"Dave
DeBusschere",DET,22,F,6-6,220 lbs,Detroit,USA
"Andrew
DeClercq",ORL,55,C,6-10,255 lbs,Florida,USA
"Javin
DeLaurier",MIL,12,C,6-10,234 lbs,Duke,USA
"Nate
DeLong",ATL,21,C,6-6,220 lbs,Wisconsin-River Falls,USA
"DeMar
DeRozan",SAC,10,G-F,6-6,220 lbs,Southern California,USA
"Hank
DeZonie",ATL,10,F,6-5,215 lbs,Clark Atlanta,USA
"Greg
Deane",UTA,33,G,6-4,190 lbs,Utah,USA
"Gabriel
Deck",OKC,6,F,6-6,231 lbs,Real Madrid,Argentina
"Dewayne
Dedmon",PHI,14,C,6-10,245 lbs,USC,USA
"Archie
Dees",DET,44,F,6-8,205 lbs,Indiana,USA
"Terry
Dehere",LAC,24,G,6-4,190 lbs,Seton Hall,USA
"Red
Dehnert",PRO,,,,,Columbia,USA
"Bryce
Dejean-Jones",NOP,31,G,6-6,203 lbs,Iowa State,USA
"Sam
Dekker",TOR,8,F,6-9,230 lbs,Wisconsin,USA
"Vinny
Del Negro",SAS,8,G,6-4,200 lbs,North Carolina State,USA
"Malcolm
Delaney",ATL,5,G,6-3,190 lbs,Virginia Tech,USA
"Bison
Dele",DEN,8,C-F,6-11,260 lbs,Arizona,USA
"Carlos
Delfino",DET,10,G-F,6-6,230 lbs,Fortitudo Bologna,Argentina
"Angel
Delgado",LAC,31,C,6-10,245 lbs,Seton Hall,Dominican Republic
"Tony
Delk",PHX,00,G,6-2,189 lbs,Kentucky,USA
"Matthew
Dellavedova",SAC,8,G,6-3,200 lbs,Saint Mary's,Australia
"Fennis
Dembo",DET,34,F,6-5,215 lbs,Wyoming,USA
"Larry
Demic",NYK,42,F,6-9,225 lbs,Arizona,USA
"Dell
Demps",SAS,5,G,6-3,205 lbs,Pacific,USA
"George
Dempsey",GSW,3,G,6-3,190 lbs,King's,USA
"Luol
Deng",CHI,9,F,6-9,237 lbs,Duke,United Kingdom
"Kenny
Dennard",SAC,33,F,6-8,220 lbs,Duke,USA
"Blaine
Denning",BAL,,G,6-2,175 lbs,Lawrence Tech,USA
"Dexter
Dennis",DAL,38,G,6-5,210 lbs,Texas A&M,USA
"RayJ
Dennis",IND,10,G,6-2,180 lbs,Baylor,USA
"Justin
Dentmon",TOR,7,G,5-11,185 lbs,Washington,USA
"Randy
Denton",ATL,34,C,6-10,240 lbs,Duke,USA
"Rod
Derline",OKC,25,G,6-0,175 lbs,Seattle,USA
"Marcus
Derrickson",GSW,32,F,6-7,249 lbs,Georgetown,USA
"Dave
Deutsch",NYK,3,G,6-1,170 lbs,Rochester,USA
"Walter
Devlin",DET,13,G,6-5,195 lbs,George Washington,USA
"Ernie
DiGregorio",LAC,7,G,6-0,180 lbs,Providence,USA
"Donte
DiVincenzo",MIN,0,G,6-4,203 lbs,Villanova,USA
"Moussa
Diabaté",CHA,14,F,6-9,210 lbs,Michigan,France
"Mamadi
Diakite",PHX,21,F,6-9,228 lbs,Virginia,Guinea
"Derrick
Dial",SAS,13,G,6-4,184 lbs,Eastern Michigan,USA
"Cheick
Diallo",MIA,14,F-C,6-8,219 lbs,Kansas,Mali
"Hamidou
Diallo",WAS,6,G,6-5,202 lbs,Kentucky,USA
"Boris
Diaw",SAS,33,C-F,6-8,250 lbs,Pau Orthez,France
"Yakhouba
Diawara",DEN,9,F-G,6-7,225 lbs,Pepperdine,USA
"Guillermo
Diaz",LAC,1,G,6-2,185 lbs,Miami,USA
"Gradey
Dick",TOR,1,G-F,6-6,200 lbs,Kansas,USA
"Dan
Dickau",ATL,10,G,6-0,180 lbs,Gonzaga,USA
"Kaniel
Dickens",BKN,45,F,6-8,215 lbs,Idaho,USA
"Henry
Dickerson",DET,13,G,6-4,190 lbs,University of Charleston,USA
"Michael
Dickerson",MEM,8,G,6-5,190 lbs,Arizona,USA
"Derrek
Dickey",GSW,40,F,6-7,218 lbs,Cincinnati,USA
"Dick
Dickey",BOS,23,G,6-1,175 lbs,North Carolina State,USA
