"player","headshot_url","experience","birthdate"
"Brandon
Clarke","","",""
"Jordan
Clarkson","","",""
"Nic
Claxton","","",""
"Donovan
Clingan","","",""
"Noah
Clowney","","",""
"Amir
Coffey","","",""
"Isaiah
Collier","","",""
"John
Collins","","",""
"Yuri
Collins","https://cdn.nba.com/headshots/nba/latest/1040x760/1641879.png","Rookie","March 7, 2001"
"Zach
Collins","","",""
"Mike
Conley","","17 Years","October 11, 1987"
"Pat
Connaughton","","",""
"Bilal
Coulibaly","","",""
"Ricky
Council IV","","",""
"Torrey
Craig","","",""
"Isaiah
Crawford","","",""
"Jae
Crowder","","",""
"Cade
Cunningham","","",""
"Seth
Curry","","",""
"Stephen
Curry","","",""
"Tristan
da Silva","","",""
"Pacôme
Dadiet","https://cdn.nba.com/headshots/nba/latest/260x190/1626153.png","Rookie","July 27, 2005"
"Dyson
Daniels","","",""
"N'Faly
Dante","","",""
"Anthony
Davis","","",""
"Johnny
Davis","","",""
"Terence
Davis","","",""
"JD
Davison","","",""
"RayJ
Dennis","","",""
"DeMar
DeRozan","","",""
"Moussa
Diabaté","","",""
"Gradey
Dick","","",""
"Ousmane
Dieng","","",""
"Rob
Dillingham","","",""
"Spencer
Dinwiddie","","",""
"Donte
DiVincenzo","","",""
"Luka
Dončić","","",""
"Luguentz
Dort","","",""
"Ayo
Dosunmu","","",""
"Jeff
Dowtin Jr.","","",""
"PJ
Dozier","","",""
"Andre
Drummond","","",""
"Chris
Duarte","","",""
"Alex
Ducas","","",""
"David
Duke Jr.","","",""
"Kris
Dunn","","",""
"Ryan
Dunn","","",""
"Kevin
Durant","","",""
"Jalen
Duren","","",""
"Tari
Eason","","",""
"Zach
Edey","","",""
"Anthony
Edwards","","",""
"Jesse
Edwards","","",""
"Justin
Edwards","","",""
"Kessler
Edwards","","",""
"Keon
Ellis","","",""
"Joel
Embiid","","",""
"Tyson
Etienne","","",""
"Drew
Eubanks","","",""
"Tosan
Evbuomwan","","",""
"Danté
Exum","","",""
"Bruno
Fernando","","",""
"Kyle
Filipowski","","",""
"Dorian
Finney-Smith","","",""
"Adam
Flagler","","",""
"Trentyn
Flowers","","",""
"Malachi
Flynn","","",""
"Simone
Fontecchio","","",""
"De'Aaron
Fox","","",""
"Enrique
Freeman","","",""
"Markelle
Fultz","","",""
"Johnny
Furphy","","",""
"Daniel
Gafford","","",""
"Darius
Garland","","",""
"Marcus
Garrett","","",""
"Luka
Garza","","",""
"Keyonte
George","","",""
"Kyshawn
George","","",""
"Paul
George","","",""
"Taj
Gibson","","",""
"Josh
Giddey","","",""
"Shai
Gilgeous-Alexander","","",""
"Anthony
Gill","","",""
"Collin
Gillespie","","",""
"Rudy
Gobert","","",""
"Jordan
Goodwin","","",""
"Aaron
Gordon","","",""
"Eric
Gordon","","",""
"Jazian
Gortman","","",""
"Jerami
Grant","","",""
"AJ
Green","","",""
"Draymond
Green","","",""
"Jalen
Green","","",""
"Javonte
Green","","",""
"Jeff
Green","","",""
"Josh
Green","","",""
"Quentin
Grimes","","",""
"Mouhamed
Gueye","","",""
"Rui
Hachimura","","",""
"Tyrese
Haliburton","","",""
"PJ
Hall","","",""
"Tim
Hardaway Jr.","","",""
"James
Harden","","",""
"Jaden
Hardy","","",""
"Elijah
Harkless","","",""
"Ron
Harper Jr.","","",""
"Gary
Harris","","",""
"Tobias
Harris","","",""
"Josh
Hart","","",""
"Isaiah
Hartenstein","","",""
"Sam
Hauser","","",""
"Jordan
Hawkins","","",""
"Jaxson
Hayes","","",""
"Killian
Hayes","","",""
"Scoot
Henderson","","",""
"Taylor
Hendricks","","",""
"Tyler
Herro","","",""
"Buddy
Hield","","",""
"Haywood
Highsmith","","",""
"Aaron
Holiday","","",""
"Jrue
Holiday","","",""
"Ronald
Holland II","","",""
"Richaun
Holmes","","",""
"DaRon
Holmes II","","",""
"Chet
Holmgren","","",""
"Jalen
Hood-Schifino","","",""
"Al
Horford","","",""
"Talen
Horton-Tucker","","",""
"Caleb
Houstan","","",""
"Jett
Howard","","",""
"Kevin
Huerter","","",""
"Jay
Huff","","",""
"Ariel
Hukporti","","",""
"De'Andre
Hunter","","",""
"Bones
Hyland","","",""
"Oso
Ighodaro","","",""
"Joe
Ingles","","",""
"Brandon
Ingram","","",""
"Harrison
Ingram","","",""
"Kyrie
Irving","","",""
"Jonathan
Isaac","","",""
"Jaden
Ivey","","",""
"GG
Jackson","","",""
"Isaiah
Jackson","","",""
"Quenton
Jackson","","",""
"Reggie
Jackson","","",""
"Andre
Jackson Jr.","","",""
"Jaren
Jackson Jr.","","",""
"Trayce
Jackson-Davis","","",""
"Bronny
James","","",""
"LeBron
James","","",""
"Jaime
Jaquez Jr.","","",""
"DaQuan
Jeffries","","",""
"Trey
Jemison III","","",""
"Daniss
Jenkins","","",""
"Ty
Jerome","","",""
"Isaiah
Joe","","",""
"AJ
Johnson","","",""
"Cameron
Johnson","","",""
"Jalen
Johnson","","",""
"James
Johnson","","",""
"Keldon
Johnson","","",""
"Keon
Johnson","","",""
"Keshad
Johnson","","",""
"Nikola
Jokić","","",""
"Colby
Jones","","",""
"Dillon
Jones","","",""
"Herbert
Jones","","",""
"Isaac
Jones","","",""
"Kai
Jones","","",""
"Mason
Jones","","",""
"Spencer
Jones","","",""
"Tre
Jones","","",""
"Tyus
Jones","","",""
"Derrick
Jones Jr.","","",""
"DeAndre
Jordan","","",""
"Cory
Joseph","","",""
"Nikola
Jović","","",""
"Johnny
Juzang","","",""
"Yuki
Kawamura","","",""
"Kylor
Kelley","","",""
"Luke
Kennard","","",""
"Walker
Kessler","","",""
"Braxton
Key","","",""
"Corey
Kispert","","",""
"Maxi
Kleber","","",""
"Bobi
Klintman","","",""
"Dalton
Knecht","","",""
"Kevin
Knox II","","",""
"Tyler
Kolek","","",""
"Christian
Koloko","","",""
"John
Konchar","","",""
"Luke
Kornet","","",""
"Vít
Krejčí","","",""
"Jonathan
Kuminga","","",""
"Kyle
Kuzma","","",""
"Skal
Labissiere","","",""
"Jock
Landale","","",""
"Jake
LaRavia","","",""
"Pelle
Larsson","","",""
"Zach
LaVine","","",""
"A.J.
Lawson","","",""
"Damion
Lee","","",""
"Alex
Len","","",""
"Kawhi
Leonard","","",""
"Malevy
Leons","","",""
"Caris
LeVert","","",""
"Maxwell
Lewis","","",""
"E.J.
Liddell","","",""
"Damian
Lillard","","",""
"Dereck
Lively II","","",""
"Chris
Livingston","","",""
"Kevon
Looney","","",""
"Brook
Lopez","","",""
"Kevin
Love","","",""
"Kyle
Lowry","","",""
"Seth
Lundy","","",""
"Trey
Lyles","","",""
"Sandro
Mamukelashvili","","",""
"Terance
Mann","","",""
"Tre
Mann","","",""
"Lauri
Markkanen","","",""
"Naji
Marshall","","",""
"Caleb
Martin","","",""
"Cody
Martin","","",""
"Jaylen
Martin","","",""
"KJ
Martin","","",""
"Tyrese
Martin","","",""
"Garrison
Mathews","","",""
"Bennedict
Mathurin","","",""
"Karlo
Matković","","",""
"Tyrese
Maxey","","",""
"Miles
McBride","","",""
"Jared
McCain","","",""
"Mac
McClung","","",""
"CJ
McCollum","","",""
"T.J.
McConnell","","",""
"Kevin
McCullar Jr.","","",""
"Jaden
McDaniels","","",""
"Jalen
McDaniels","","",""
"Doug
McDermott","","",""
"Bryce
McGowens","","",""
"Jordan
McLaughlin","","",""
"Jack
McVeigh","","",""
"De'Anthony
Melton","","",""
"Sam
Merrill","","",""
"Vasilije
Micić","","",""
"Khris
Middleton","","",""
"Brandon
Miller","","",""
"Emanuel
Miller","","",""
"Jordan
Miller","","",""
"Leonard
Miller","","",""
"Patty
Mills","","",""
"Shake
Milton","","",""
"Justin
Minaya","","",""
"Riley
Minix","","",""
"Josh
Minott","","",""
"Yves
Missi","","",""
"Ajay
Mitchell","","",""
"Davion
Mitchell","","",""
"Donovan
Mitchell","","",""
"Evan
Mobley","","",""
"Isaiah
Mobley","","",""
"Jonathan
Mogbo","","",""
"Malik
Monk","","",""
"Moses
Moody","","",""
"Tazé
Moore","","",""
"Wendell
Moore Jr.","","",""
"Ja
Morant","","",""
"Markieff
Morris","","",""
"Monté
Morris","","",""
"Trey
Murphy III","","",""
"Dejounte
Murray","","",""
"Jamal
Murray","","",""
"Keegan
Murray","","",""
"Kris
Murray","","",""
"Svi
Mykhailiuk","","",""
"Pete
Nance","","",""
"Larry
Nance Jr.","","",""
"Andrew
Nembhard","","",""
"Aaron
Nesmith","","",""
"Tristen
Newton","","",""
"Georges
Niang","","",""
"Daishen
Nix","","",""
"Zeke
Nnaji","","",""
"Miles
Norris","","",""
"Jaylen
Nowell","","",""
"Jusuf
Nurkić","","",""
"Jahlil
Okafor","","",""
"Chuma
Okeke","","",""
"Josh
Okogie","","",""
"Onyeka
Okongwu","","",""
"Isaac
Okoro","","",""
"Quincy
Olivari","","",""
"Kelly
Olynyk","","",""
"Royce
O'Neale","","",""
"Kelly
Oubre Jr.","","",""
"Chris
Paul","","",""
"Cameron
Payne","","",""
"Elfrid
Payton","","",""
"Gary
Payton II","","",""
"Drew
Peterson","","",""
"Julian
Phillips","","",""
"Jalen
Pickett","","",""
"Scotty
Pippen Jr.","","",""
"Daeqwon
Plowden","","",""
"Mason
Plumlee","","",""
"Brandin
Podziemski","","",""
"Jakob
Poeltl","","",""
"Jordan
Poole","","",""
"Craig
Porter Jr.","","",""
"Kevin
Porter Jr.","","",""
"Michael
Porter Jr.","","",""
"Bobby
Portis","","",""
"Kristaps
Porziņģis","","",""
"Quinten
Post","","",""
"Micah
Potter","","",""
"Dwight
Powell","","",""
"Norman
Powell","","",""
"Taurean
Prince","","",""
"Payton
Pritchard","","",""
"Olivier-Maxence
Prosper","","",""
"Zyon
Pullin","","",""
"Trevelin
Queen","","",""
"Neemias
Queta","","",""
"Immanuel
Quickley","","",""
"Lester
Quinones","","",""
"Julius
Randle","","",""
"Duop
Reath","","",""
"Austin
Reaves","","",""
"Cam
Reddish","","",""
"Paul
Reed","","",""
"Alex
Reese","","",""
"Antonio
Reeves","","",""
"Naz
Reid","","",""
"Jared
Rhoden","","",""
"Nick
Richards","","",""
"Josh
Richardson","","",""
"Zaccharie
Risacher","","",""
"Liam
Robbins","","",""
"Duncan
Robinson","","",""
"Mitchell
Robinson","","",""
"Orlando
Robinson","","",""
"Jeremiah
Robinson-Earl","","",""
"David
Roddy","","",""
"Ryan
Rollins","","",""
"Jackson
Rowe","","",""
"Terry
Rozier","","",""
"Rayan
Rupert","","",""
"D'Angelo
Russell","","",""
"Matt
Ryan","","",""
"Domantas
Sabonis","","",""
"Tidjane
Salaün","","",""
"Adama
Sanogo","","",""
"Gui
Santos","","",""
"Dario
Šarić","","",""
"Alex
Sarr","","",""
"Marcus
Sasser","","",""
"Baylor
Scheierman","","",""
"Dennis
Schröder","","",""
"Alperen
Sengun","","",""
"Brice
Sensabaugh","","",""
"Collin
Sexton","","",""
"Landry
Shamet","","",""
"Terrence
Shannon Jr.","","",""
"Day'Ron
Sharpe","","",""
"Shaedon
Sharpe","","",""
"Jamal
Shead","","",""
"Ben
Sheppard","","",""
"Reed
Sheppard","","",""
"Pascal
Siakam","","",""
"Ben
Simmons","","",""
"Anfernee
Simons","","",""
"KJ
Simpson","","",""
"Jaylen
Sims","","",""
"Jericho
Sims","","",""
"Marcus
Smart","","",""
"Dru
Smith","","",""
"Jalen
Smith","","",""
"Tolu
Smith","","",""
"Tyler
Smith","","",""
"Jabari
Smith Jr.","","",""
"Nick
Smith Jr.","","",""
"Jeremy
Sochan","","",""
"Cam
Spencer","","",""
"Pat
Spencer","","",""
"Jaden
Springer","","",""
"Isaiah
Stevens","","",""
"Lamar
Stevens","","",""
"Isaiah
Stewart","","",""
"Julian
Strawther","","",""
"Max
Strus","","",""
"Jalen
Suggs","","",""
"Cole
Swider","","",""
"Jae'Sean
Tate","","",""
"Jayson
Tatum","","",""
"Terry
Taylor","","",""
"Garrett
Temple","","",""
"Dalen
Terry","","",""
"Daniel
Theis","","",""
"Cam
Thomas","","",""
"Amen
Thompson","","",""
"Ausar
Thompson","","",""
"Ethan
Thompson","","",""
"Klay
Thompson","","",""
"Tristan
Thompson","","",""
"JT
Thor","","",""
"Matisse
Thybulle","","",""
"Xavier
Tillman","","",""
"Drew
Timme","","",""
"Nae'Qwan
Tomlin","","",""
"Nikola
Topić","","",""
"Jacob
Toppin","","",""
"Obi
Toppin","","",""
"Karl-Anthony
Towns","","",""
"Armel
Traoré","","",""
"Luke
Travers","","",""
"Gary
Trent Jr.","","",""
"Oscar
Tshiebwe","","",""
"P.J.
Tucker","","",""
"Myles
Turner","","",""
"Hunter
Tyson","","",""
"Jaylon
Tyson","","",""
"Stanley
Umude","","",""
"Jonas
Valančiūnas","","",""
"Jarred
Vanderbilt","","",""
"Fred
VanVleet","","",""
"Devin
Vassell","","",""
"Gabe
Vincent","","",""
"Nikola
Vučević","","",""
"Tristan
Vukcevic","","",""
"Dean
Wade","","",""
"Franz
Wagner","","",""
"Moritz
Wagner","","",""
"Jabari
Walker","","",""
"Jarace
Walker","","",""
"Lonnie
Walker IV","","",""
"Cason
Wallace","","",""
"Keaton
Wallace","","",""
"Jordan
Walsh","","",""
"Ja'Kobe
Walter","","",""
"Kel'el
Ware","","",""
"P.J.
Washington","","",""
"TyTy
Washington Jr.","","",""
"Lindy
Waters III","","",""
"Trendon
Watford","","",""
"Anton
Watson","","",""
"Peyton
Watson","","",""
"Jaylen
Wells","","",""
"Victor
Wembanyama","","",""
"Blake
Wesley","","",""
"Russell
Westbrook","","",""
"Phillip
Wheeler","","",""
"Coby
White","","",""
"Derrick
White","","",""
"Dariq
Whitehead","","",""
"Cam
Whitmore","","",""
"Aaron
Wiggins","","",""
"Andrew
Wiggins","","",""
"Alondes
Williams","","",""
"Brandon
Williams","","",""
"Cody
Williams","","",""
"Grant
Williams","","",""
"Jalen
Williams","","",""
"Jaylin
Williams","","",""
"Kenrich
Williams","","",""
"Mark
Williams","","",""
"Nate
Williams","","",""
"Patrick
Williams","","",""
"Ziaire
Williams","","",""
"Robert
Williams III","","",""
"Vince
Williams Jr.","","",""
"Zion
Williamson","","",""
"Jalen
Wilson","","",""
"James
Wiseman","","",""
"Isaiah
Wong","","",""
"Delon
Wright","","",""
"Guerschon
Yabusele","","",""
"Cui
Yongxi","","",""
"Jahmir
Young","","",""
"Trae
Young","","",""
"Ivica
Zubac","","",""
