team,game_id,game_date,away_team,home_team,pf,opp_pf,round,game_no_in_series
GSW,42400154,2025-04-28,HOU,GSW,109,106.0,rnd1,4
GSW,42400155,2025-04-30,GSW,HOU,116,131.0,rnd1,5
GSW,42400156,2025-05-02,HOU,GSW,107,115.0,rnd1,6
GSW,42400157,2025-05-04,GSW,HOU,103,89.0,rnd1,7
GSW,42400231,2025-05-06,GSW,MIN,99,88.0,sf,1
GSW,42400232,2025-05-08,GSW,MIN,93,117.0,sf,2
GSW,42400233,2025-05-10,MIN,GSW,97,102.0,sf,3
GSW,42400234,2025-05-12,MIN,GSW,110,117.0,sf,4
GSW,42400235,2025-05-14,GSW,MIN,110,121.0,sf,5
HOU,42400151,2025-04-20,GSW,HOU,85,95.0,rnd1,1
HOU,42400152,2025-04-23,GSW,HOU,109,94.0,rnd1,2
HOU,42400153,2025-04-26,HOU,GSW,93,104.0,rnd1,3
HOU,42400154,2025-04-28,HOU,GSW,106,109.0,rnd1,4
HOU,42400155,2025-04-30,GSW,HOU,131,116.0,rnd1,5
HOU,42400156,2025-05-02,HOU,GSW,115,107.0,rnd1,6
HOU,42400157,2025-05-04,GSW,HOU,89,103.0,rnd1,7
IND,42400131,2025-04-19,MIL,IND,117,98.0,rnd1,1
IND,42400132,2025-04-22,MIL,IND,123,115.0,rnd1,2
IND,42400133,2025-04-25,IND,MIL,101,117.0,rnd1,3
IND,42400134,2025-04-27,IND,MIL,129,103.0,rnd1,4
IND,42400135,2025-04-29,MIL,IND,119,118.0,rnd1,5
IND,42400201,2025-05-04,IND,CLE,121,112.0,sf,1
IND,42400202,2025-05-06,IND,CLE,120,119.0,sf,2
IND,42400203,2025-05-09,CLE,IND,104,126.0,sf,3
IND,42400204,2025-05-11,CLE,IND,129,109.0,sf,4
IND,42400205,2025-05-13,IND,CLE,114,105.0,sf,5
IND,42400301,2025-05-21,IND,NYK,138,135.0,conf,1
IND,42400302,2025-05-23,IND,NYK,114,109.0,conf,2
IND,42400303,2025-05-25,NYK,IND,100,106.0,conf,3
IND,42400304,2025-05-27,NYK,IND,130,121.0,conf,4
IND,42400305,2025-05-29,IND,NYK,94,111.0,conf,5
IND,42400306,2025-05-31,NYK,IND,125,108.0,conf,6
IND,42400401,2025-06-05,IND,OKC,111,110.0,finals,1
IND,42400402,2025-06-08,IND,OKC,107,123.0,finals,2
IND,42400403,2025-06-11,OKC,IND,116,107.0,finals,3
IND,42400404,2025-06-13,OKC,IND,104,111.0,finals,4
LAC,42400171,2025-04-19,LAC,DEN,110,112.0,rnd1,1
LAC,42400172,2025-04-21,LAC,DEN,105,102.0,rnd1,2
LAC,42400173,2025-04-24,DEN,LAC,117,83.0,rnd1,3
LAC,42400174,2025-04-26,DEN,LAC,99,101.0,rnd1,4
LAC,42400175,2025-04-29,LAC,DEN,115,131.0,rnd1,5
LAC,42400176,2025-05-01,DEN,LAC,111,105.0,rnd1,6
LAC,42400177,2025-05-03,LAC,DEN,101,120.0,rnd1,7
LAL,42400161,2025-04-19,MIN,LAL,95,117.0,rnd1,1
LAL,42400162,2025-04-22,MIN,LAL,94,85.0,rnd1,2
LAL,42400163,2025-04-25,LAL,MIN,104,116.0,rnd1,3
LAL,42400164,2025-04-27,LAL,MIN,113,116.0,rnd1,4
LAL,42400165,2025-04-30,MIN,LAL,96,103.0,rnd1,5
MEM,42400141,2025-04-20,MEM,OKC,80,131.0,rnd1,1
MEM,42400142,2025-04-22,MEM,OKC,99,118.0,rnd1,2
MEM,42400143,2025-04-24,OKC,MEM,108,114.0,rnd1,3
MEM,42400144,2025-04-26,OKC,MEM,115,117.0,rnd1,4
MIA,42400101,2025-04-20,MIA,CLE,100,121.0,rnd1,1
MIA,42400102,2025-04-23,MIA,CLE,112,121.0,rnd1,2
MIA,42400103,2025-04-26,CLE,MIA,87,124.0,rnd1,3
MIA,42400104,2025-04-28,CLE,MIA,83,138.0,rnd1,4
MIL,42400131,2025-04-19,MIL,IND,98,117.0,rnd1,1
MIL,42400132,2025-04-22,MIL,IND,115,123.0,rnd1,2
MIL,42400133,2025-04-25,IND,MIL,117,101.0,rnd1,3
MIL,42400134,2025-04-27,IND,MIL,103,129.0,rnd1,4
MIL,42400135,2025-04-29,MIL,IND,118,119.0,rnd1,5
MIN,42400161,2025-04-19,MIN,LAL,117,95.0,rnd1,1
MIN,42400162,2025-04-22,MIN,LAL,85,94.0,rnd1,2
MIN,42400163,2025-04-25,LAL,MIN,116,104.0,rnd1,3
MIN,42400164,2025-04-27,LAL,MIN,116,113.0,rnd1,4
MIN,42400165,2025-04-30,MIN,LAL,103,96.0,rnd1,5
MIN,42400231,2025-05-06,GSW,MIN,88,99.0,sf,1
MIN,42400232,2025-05-08,GSW,MIN,117,93.0,sf,2
MIN,42400233,2025-05-10,MIN,GSW,102,97.0,sf,3
MIN,42400234,2025-05-12,MIN,GSW,117,110.0,sf,4
MIN,42400235,2025-05-14,GSW,MIN,121,110.0,sf,5
MIN,42400311,2025-05-20,MIN,OKC,88,114.0,conf,1
MIN,42400312,2025-05-22,MIN,OKC,103,118.0,conf,2
MIN,42400313,2025-05-24,OKC,MIN,143,101.0,conf,3
MIN,42400314,2025-05-26,OKC,MIN,126,128.0,conf,4
MIN,42400315,2025-05-28,MIN,OKC,94,124.0,conf,5
NYK,42400121,2025-04-19,DET,NYK,123,112.0,rnd1,1
NYK,42400122,2025-04-21,DET,NYK,94,100.0,rnd1,2
NYK,42400123,2025-04-24,NYK,DET,118,116.0,rnd1,3
NYK,42400124,2025-04-27,NYK,DET,94,93.0,rnd1,4
NYK,42400125,2025-04-29,DET,NYK,103,106.0,rnd1,5
NYK,42400126,2025-05-01,NYK,DET,116,113.0,rnd1,6
NYK,42400211,2025-05-05,NYK,BOS,108,105.0,sf,1
NYK,42400212,2025-05-07,NYK,BOS,91,90.0,sf,2
NYK,42400213,2025-05-10,BOS,NYK,93,115.0,sf,3
NYK,42400214,2025-05-12,BOS,NYK,121,113.0,sf,4
NYK,42400215,2025-05-14,NYK,BOS,102,127.0,sf,5
NYK,42400216,2025-05-16,BOS,NYK,119,81.0,sf,6
NYK,42400301,2025-05-21,IND,NYK,135,138.0,conf,1
NYK,42400302,2025-05-23,IND,NYK,109,114.0,conf,2
NYK,42400303,2025-05-25,NYK,IND,106,100.0,conf,3
NYK,42400304,2025-05-27,NYK,IND,121,130.0,conf,4
NYK,42400305,2025-05-29,IND,NYK,111,94.0,conf,5
NYK,42400306,2025-05-31,NYK,IND,108,125.0,conf,6
OKC,42400141,2025-04-20,MEM,OKC,131,80.0,rnd1,1
OKC,42400142,2025-04-22,MEM,OKC,118,99.0,rnd1,2
OKC,42400143,2025-04-24,OKC,MEM,114,108.0,rnd1,3
OKC,42400144,2025-04-26,OKC,MEM,117,115.0,rnd1,4
OKC,42400221,2025-05-05,DEN,OKC,119,121.0,sf,1
OKC,42400222,2025-05-07,DEN,OKC,149,106.0,sf,2
OKC,42400223,2025-05-09,OKC,DEN,104,113.0,sf,3
OKC,42400224,2025-05-11,OKC,DEN,92,87.0,sf,4
OKC,42400225,2025-05-13,DEN,OKC,112,105.0,sf,5
OKC,42400226,2025-05-15,OKC,DEN,107,119.0,sf,6
OKC,42400227,2025-05-18,DEN,OKC,125,93.0,sf,7
OKC,42400311,2025-05-20,MIN,OKC,114,88.0,conf,1
OKC,42400312,2025-05-22,MIN,OKC,118,103.0,conf,2
OKC,42400313,2025-05-24,OKC,MIN,101,143.0,conf,3
OKC,42400314,2025-05-26,OKC,MIN,128,126.0,conf,4
OKC,42400315,2025-05-28,MIN,OKC,124,94.0,conf,5
OKC,42400401,2025-06-05,IND,OKC,110,111.0,finals,1
OKC,42400402,2025-06-08,IND,OKC,123,107.0,finals,2
OKC,42400403,2025-06-11,OKC,IND,107,116.0,finals,3
OKC,42400404,2025-06-13,OKC,IND,111,104.0,finals,4
ORL,42400111,2025-04-20,ORL,BOS,86,103.0,rnd1,1
ORL,42400112,2025-04-23,ORL,BOS,100,109.0,rnd1,2
ORL,42400113,2025-04-25,BOS,ORL,95,93.0,rnd1,3
ORL,42400114,2025-04-27,BOS,ORL,98,107.0,rnd1,4
ORL,42400115,2025-04-29,ORL,BOS,89,120.0,rnd1,5
